Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),242.77,0.00,762276.63,,,,,,214.71,,434.24,469.55,574.35,974.51
Active Decode Throughput Per User (tokens/sec/user),89.90,0.00,402836.13,,,,,,94.04,,120.03,126.12,143.85,417.72
Active Prefill Throughput (tokens/sec),17148.06,612.45,74613.62,,,,,,15798.31,,29417.98,32955.47,45743.27,9127.82
Active Prefill Throughput Per User (tokens/sec/user),5760.66,612.45,39784.65,,,,,,4613.65,,8664.58,13042.53,27517.85,4431.96
Active Total Throughput (tokens/sec),16114.18,94.65,94903.85,,,,,,15708.74,,28513.40,33003.07,44959.85,9807.35
Inter Token Latency (error-adjusted) (ms),,0.01,,,7.99,8.90,10.07,12.14,14.22,17.39,22.53,26.72,80.52,
Request Latency (error-adjusted) (ms),,1011.10,,,3714.63,6269.04,7349.86,13224.36,23350.71,34596.55,58944.26,84837.07,180266.91,
Time to First Token (error-adjusted) (ms),,819.54,,,1402.14,2474.36,3051.11,7791.48,13769.18,24463.93,33286.76,40108.47,57222.31,
Credit Drop Latency (ms),3.74,0.95,26.36,179.37,0.96,1.04,1.11,1.46,2.04,3.13,4.69,17.44,25.27,5.46
Credit-to-Start Latency (ms),2.01,0.63,30.63,368.57,0.67,0.78,0.83,0.93,1.11,1.62,3.17,4.86,22.04,3.36
E2E Output Token Throughput (tokens/sec/user),26.04,0.19,115.29,4712.45,0.25,0.68,1.21,5.18,13.46,39.94,68.97,79.58,110.73,27.74
Effective Concurrency,5.71,0.00,8.00,,,,,,6.00,,8.00,8.00,8.00,1.58
Effective Decode Concurrency,2.45,0.00,7.00,,,,,,2.00,,4.00,5.00,6.00,1.42
Effective Decode Throughput (tokens/sec),220.04,0.00,762276.63,,,,,,193.25,,425.12,460.30,570.60,930.45
Effective Decode Throughput Per User (tokens/sec/user),81.49,0.00,402836.13,,,,,,90.98,,119.39,125.50,143.67,398.54
Effective Latency (CO-aware) (ms),28994.74,1.11,180268.53,5306038.22,830.16,5524.79,7252.26,12831.44,22215.51,34401.12,55617.14,78168.63,138352.94,26125.45
Effective Prefill Concurrency,3.26,0.00,8.00,,,,,,3.00,,6.00,7.00,8.00,1.95
Effective Prefill Throughput (tokens/sec),15664.47,0.00,74613.62,,,,,,15372.19,,28513.40,32580.29,44788.41,9967.38
Effective Prefill Throughput Per User (tokens/sec/user),5262.27,0.00,39784.65,,,,,,4337.92,,8492.77,11922.12,27517.85,4534.93
Effective Total Throughput (tokens/sec),15884.50,0.00,94903.85,,,,,,15630.17,,28513.40,32766.54,44959.85,9922.78
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,397.35,2.00,5258.00,71921.00,5.60,9.00,16.00,36.00,111.00,349.00,936.00,2087.00,4084.60,762.35
HTTP Chunks Sent,1.00,1.00,1.00,181.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,0.61,25.96,0.00,0.00,0.00,0.00,0.00,0.40,0.47,0.50,0.57,0.21
HTTP Connection Overhead (ms),0.14,0.00,0.61,25.96,0.00,0.00,0.00,0.00,0.00,0.40,0.47,0.50,0.57,0.21
HTTP Connection Reused (ratio),0.68,0.00,1.00,123.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),107.10,1.81,1417.08,19385.09,2.00,2.33,4.18,9.56,31.27,96.14,251.31,558.35,1105.81,204.92
HTTP Data Sent (KB),311.22,67.54,944.37,56330.62,87.24,116.63,140.33,194.58,261.06,392.26,543.33,622.30,919.68,171.96
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),29313.01,1011.07,180266.85,5305655.38,3449.61,6269.01,7349.83,12907.90,22753.82,34412.06,55700.80,79039.46,138629.44,26089.63
HTTP Receiving (ms),12579.38,0.11,167861.46,2276867.48,98.10,187.83,418.15,1148.56,3529.91,11013.18,29037.42,64475.18,128510.19,23956.38
HTTP Sending (ms),0.32,0.11,0.92,58.72,0.12,0.13,0.14,0.16,0.19,0.58,0.69,0.73,0.84,0.23
HTTP Total Time (ms),29313.16,1011.49,180266.85,5305681.34,3449.69,6269.45,7350.31,12907.90,22753.82,34412.06,55700.80,79039.46,138629.44,26089.59
HTTP Waiting (TTFB) (ms),16733.31,818.74,57221.92,3028729.18,1317.68,2474.14,3050.39,7704.72,13577.31,24292.94,32505.02,38406.09,44035.46,11311.01
Input Sequence Length (tokens),80486.15,17342.00,244918.00,14567994.00,22412.00,30039.00,36074.00,50208.00,67529.00,101304.00,140494.00,161230.00,238327.20,44475.06
Inter Chunk Latency (ms),30.82,0.00,992.54,2276853.28,0.00,0.04,26.67,28.18,29.35,30.31,31.64,32.39,217.56,33.06
Inter Token Latency (ms),15.48,0.01,80.52,2802.54,6.41,8.90,10.07,12.01,14.07,16.97,22.20,25.59,46.25,7.63
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1131.59,8.00,20000.00,204817.00,8.00,10.00,23.00,70.00,234.00,967.00,2848.00,5977.00,11553.80,2472.30
Output Token Count (tokens),1131.59,8.00,20000.00,204817.00,8.00,10.00,23.00,70.00,234.00,967.00,2848.00,5977.00,11553.80,2472.30
Output Token Throughput Per User (tokens/sec/user),555.79,12.42,74722.46,100598.41,21.77,39.08,45.05,58.92,71.09,83.24,99.31,112.40,2709.77,5611.15
Prefill Throughput Per User (tokens/sec/user),7790.77,494.28,39784.65,1410128.48,1081.17,1565.06,2023.88,3406.77,5580.43,8753.94,15989.52,23881.25,38584.52,7439.31
Request Latency (ms),29313.05,1011.10,180266.91,5305661.20,3449.63,6269.04,7349.86,12907.89,22753.83,34412.11,55700.82,79039.51,138629.50,26089.63
Requested OSL (tokens),1131.59,8.00,20000.00,204817.00,8.00,10.00,23.00,70.00,234.00,967.00,2848.00,5977.00,11553.80,2472.30
Time to First Output Token (ms),16733.75,819.54,57222.31,3028807.92,1318.54,2474.36,3051.11,7705.02,13577.60,24293.15,32505.70,38406.45,44035.75,11310.96
Time to First Token (ms),16733.75,819.54,57222.31,3028807.92,1318.54,2474.36,3051.11,7705.02,13577.60,24293.15,32505.70,38406.45,44035.75,11310.96
Time to Second Token (ms),80.93,0.00,646.42,14647.44,0.00,0.11,42.28,53.91,59.13,63.20,173.15,261.30,485.59,91.60
Tokens In Flight (tokens),525374.81,0.00,972396.19,,,,,,529255.00,,740464.95,790238.22,937255.41,172921.61
Usage Completion Tokens (tokens),1131.59,8.00,20000.00,204817.00,8.00,10.00,23.00,70.00,234.00,967.00,2848.00,5977.00,11553.80,2472.30
Usage Prompt Cache Read Tokens (tokens),53291.31,15232.00,136576.00,7087744.00,18119.68,22400.00,26662.40,34304.00,48704.00,62784.00,88896.00,102400.00,133199.36,25559.85
Usage Prompt Tokens (tokens),80486.15,17342.00,244918.00,14567994.00,22412.00,30039.00,36074.00,50208.00,67529.00,101304.00,140494.00,161230.00,238327.20,44475.06
Usage Total Tokens (tokens),81617.74,17419.00,245097.00,14772811.00,23528.00,30435.00,36948.00,50715.00,69564.00,101499.00,141494.00,161453.00,241430.40,44722.06

Metric,Value
Benchmark Duration (sec),916.75
Completed Requests (Success + Error),183.00
Context Overflow Count,0.00
Error Request Count,2.00
Input Token Throughput (tokens/sec),15664.47
Maximum Response Timestamp (ns),1785822536573283072.00
Minimum Request Timestamp (ns),1785821619826319360.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),220.23
Request Count,181.00
Request Error Rate (%),1.09
Request Throughput (requests/sec),0.19
Theoretical Prefix Cache Hit (%),48.74
Total Input Sequence Length (tokens),14567994.00
Total Output Sequence Length (tokens),204817.00
Total Output Tokens (tokens),204817.00
Total Token Throughput (tokens/sec),15884.70
Total Usage Completion Tokens (tokens),204817.00
Total Usage Prompt Cache Read Tokens (tokens),7087744.00
Total Usage Prompt Tokens (tokens),14567994.00
Total Usage Total Tokens (tokens),14772811.00
