Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),212.59,0.00,235565.46,,,,,,223.51,,294.41,299.44,322.32,593.18
Active Decode Throughput Per User (tokens/sec/user),45.15,0.00,96947.58,,,,,,44.90,,50.71,51.36,52.63,148.19
Active Prefill Throughput (tokens/sec),25485.83,4908.19,132859.45,,,,,,21493.35,,42958.27,59041.27,73091.60,14935.01
Active Prefill Throughput Per User (tokens/sec/user),15635.22,3069.85,72254.23,,,,,,10375.94,,32614.28,48699.77,65087.38,13503.99
Active Total Throughput (tokens/sec),14934.09,42.48,132859.45,,,,,,14178.73,,35603.59,47181.19,67407.70,16926.08
Inter Token Latency (error-adjusted) (ms),,17.55,,,19.87,20.65,20.96,21.50,22.23,23.27,25.05,25.93,33.56,
Request Latency (error-adjusted) (ms),,943.91,,,1531.31,2793.09,3861.37,7154.21,14493.60,29177.50,70230.38,159429.74,348568.43,
Time to First Token (error-adjusted) (ms),,372.77,,,504.20,830.96,939.45,1763.17,4249.09,10813.78,17161.87,19902.74,27586.13,
Credit Drop Latency (ms),3.62,0.76,25.29,163.01,0.80,0.89,1.01,1.29,1.87,2.66,4.51,19.08,24.47,5.50
Credit-to-Start Latency (ms),2.41,0.55,55.85,423.85,0.59,0.69,0.74,0.82,0.95,1.42,3.63,9.40,22.41,5.40
E2E Output Token Throughput (tokens/sec/user),24.17,0.39,46.45,4229.97,0.54,1.65,2.80,9.95,24.42,38.48,43.41,44.58,46.18,15.01
Effective Concurrency,5.99,0.00,8.00,,,,,,6.00,,8.00,8.00,8.00,1.40
Effective Decode Concurrency,4.70,0.00,8.00,,,,,,5.00,,7.00,7.00,7.00,1.51
Effective Decode Throughput (tokens/sec),210.82,0.00,235565.46,,,,,,223.36,,294.15,299.38,322.03,591.04
Effective Decode Throughput Per User (tokens/sec/user),44.78,0.00,96947.58,,,,,,44.88,,50.71,51.35,52.63,147.63
Effective Latency (CO-aware) (ms),31678.88,1.66,451993.41,5575483.67,1344.13,2449.98,3542.84,6867.48,14348.50,28580.99,68833.65,141909.88,285449.62,55905.83
Effective Prefill Concurrency,1.29,0.00,7.00,,,,,,1.00,,4.00,4.00,6.00,1.53
Effective Prefill Throughput (tokens/sec),14669.11,0.00,132859.45,,,,,,13751.81,,35459.73,46914.26,67229.25,16942.76
Effective Prefill Throughput Per User (tokens/sec/user),8999.30,0.00,72254.23,,,,,,5617.06,,22138.63,35911.49,61982.55,12832.77
Effective Total Throughput (tokens/sec),14879.93,0.00,132859.45,,,,,,14016.85,,35603.59,47181.19,67407.70,16919.19
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1094.77,7.00,19474.00,191584.00,9.74,13.00,25.40,72.50,219.00,859.00,2779.20,6135.30,11606.94,2440.90
HTTP Chunks Sent,1.00,1.00,1.00,175.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.13,0.00,0.60,22.44,0.00,0.00,0.00,0.00,0.00,0.36,0.44,0.47,0.53,0.20
HTTP Connection Overhead (ms),0.13,0.00,0.60,22.44,0.00,0.00,0.00,0.00,0.00,0.36,0.44,0.47,0.53,0.20
HTTP Connection Reused (ratio),0.70,0.00,1.00,122.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),284.52,2.80,5048.14,49791.07,2.81,4.02,7.39,19.54,57.24,222.59,719.53,1577.92,3003.95,633.12
HTTP Data Sent (KB),301.50,67.54,944.37,52763.34,84.25,103.91,137.21,190.72,253.91,379.96,495.59,609.38,889.93,165.12
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),31857.42,943.86,451992.05,5575047.87,1517.01,2689.98,3752.62,7019.53,14375.30,28777.28,69077.73,143077.11,286289.48,56014.10
HTTP Receiving (ms),24997.97,154.91,443676.09,4374644.21,162.10,367.92,591.69,1615.97,4984.89,19517.82,64512.36,141118.47,269319.50,55826.56
HTTP Sending (ms),0.29,0.10,0.87,50.40,0.10,0.11,0.12,0.14,0.17,0.51,0.64,0.67,0.77,0.21
HTTP Total Time (ms),31857.54,943.86,451992.05,5575070.31,1517.01,2690.12,3752.62,7019.71,14375.30,28777.28,69077.73,143077.11,286289.48,56014.08
HTTP Waiting (TTFB) (ms),6859.16,372.46,29528.75,1200353.26,490.49,823.70,936.22,1741.34,4223.64,10379.59,16998.38,19790.82,26060.80,6523.20
Input Sequence Length (tokens),77955.91,17343.00,244919.00,13642285.00,21725.14,27241.60,35379.60,49340.50,65916.00,98146.50,128041.20,158137.00,230133.66,42682.45
Inter Chunk Latency (ms),22.32,0.00,1038.27,4374631.29,0.00,0.17,20.32,21.00,22.56,23.14,23.92,24.18,26.01,22.15
Inter Token Latency (ms),22.91,17.55,59.96,4008.57,19.34,20.65,20.92,21.48,22.21,23.26,24.86,25.89,33.31,3.50
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1121.38,8.00,20000.00,196242.00,8.00,12.70,26.00,74.00,223.00,876.50,2840.40,6241.60,11861.84,2504.85
Output Token Count (tokens),1121.38,8.00,20000.00,196242.00,8.00,12.70,26.00,74.00,223.00,876.50,2840.40,6241.60,11861.84,2504.85
