Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),144.73,0.00,855053.45,,,,,,125.61,,224.29,226.20,239.64,336.54
Active Decode Throughput Per User (tokens/sec/user),112.22,0.00,855053.45,,,,,,113.35,,127.86,130.54,132.53,333.14
Active Prefill Throughput (tokens/sec),19657.59,3513.05,94606.68,,,,,,15341.40,,33864.20,67046.11,72805.24,14956.66
Active Prefill Throughput Per User (tokens/sec/user),17437.11,3513.05,79265.28,,,,,,13775.92,,31817.14,67046.11,72801.73,15076.21
Active Total Throughput (tokens/sec),7492.48,54.88,94606.68,,,,,,220.46,,20079.58,25022.75,69512.03,13178.72
Inter Token Latency (error-adjusted) (ms),,7.85,,,7.95,8.19,8.50,10.40,11.91,13.67,16.34,17.48,21.36,
Request Latency (error-adjusted) (ms),,940.18,,,980.84,1445.15,2226.61,3812.58,9000.95,17919.74,57068.07,79641.65,115853.14,
Time to First Token (error-adjusted) (ms),,289.30,,,392.60,474.81,550.71,954.86,2572.39,8406.88,14953.75,16294.36,24786.98,
Credit Drop Latency (ms),5.36,0.65,54.85,107.19,0.69,0.84,0.93,1.27,1.72,2.34,5.42,22.51,48.39,12.11
Credit-to-Start Latency (ms),2.44,0.71,55.13,177.85,0.75,0.79,0.80,0.86,1.03,1.56,2.57,4.95,31.37,6.76
E2E Output Token Throughput (tokens/sec/user),48.60,0.82,126.35,3499.10,2.41,4.32,5.72,14.06,45.01,76.84,103.58,114.33,124.16,37.46
Effective Concurrency,1.30,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.61
Effective Decode Concurrency,0.88,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.72
Effective Decode Throughput (tokens/sec),98.10,0.00,855053.45,,,,,,119.17,,221.56,225.23,238.09,285.20
Effective Decode Throughput Per User (tokens/sec/user),76.06,0.00,855053.45,,,,,,106.01,,126.69,129.59,131.91,279.23
Effective Latency (CO-aware) (ms),16180.35,1.82,115855.73,1181165.84,678.21,1246.36,1875.87,3750.69,8234.59,16013.24,28261.36,72842.25,105495.66,22862.30
Effective Prefill Concurrency,0.42,0.00,2.00,,,,,,0.00,,1.00,2.00,2.00,0.63
Effective Prefill Throughput (tokens/sec),6771.71,0.00,94606.68,,,,,,0.00,,20079.58,23383.28,69310.68,12818.78
Effective Prefill Throughput Per User (tokens/sec/user),6006.80,0.00,79265.28,,,,,,0.00,,15469.39,23383.28,69310.68,12122.62
Effective Total Throughput (tokens/sec),6869.81,0.00,94606.68,,,,,,211.96,,20079.58,23383.28,69310.68,12787.59
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,402.78,6.00,3592.00,29000.00,6.00,11.10,21.30,40.00,104.50,258.25,758.90,2562.20,3087.90,781.62
HTTP Chunks Sent,1.00,1.00,1.00,72.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
