# sampler start 2026-09-15T17:48:11Z endpoints=p0,p1,d0
17:48:11 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:48:26 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:48:41 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:48:56 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:49:11 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:49:26 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:49:41 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:49:56 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:50:11 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:50:26 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:50:41 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:50:56 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:51:11 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:51:26 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:51:41 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:51:57 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
