# sampler start 2026-09-15T21:03:01Z endpoints=p0,p1,d0,d1
21:03:01 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:03:16 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:03:31 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:03:46 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:04:01 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:04:16 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:04:31 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:04:46 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:05:01 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:05:16 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:05:31 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:05:46 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:06:01 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:06:16 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:06:31 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:06:46 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:07:01 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:07:17 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:07:32 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
