phase	topology	conc	mem	verdict	per_gpu_tps	note
A1	p4d8	32	0.85	PASS	8670.86	
A2	p4d8	48	0.85	PASS	3274.57	
A3	p4d8	64	0.85	BENCH_FAILED		unclassified
B1	p8d8	96	0.85	BENCH_FAILED		unclassified
B2	p8d8	128	0.85	PASS	5358.08	
A4	p4d8	40	0.85	PASS	8257.17	
A3	p4d8	64	0.85	PASS	2059.90	
B1	p8d8	96	0.85	PASS	13423.83	
A5	p4d8	24	0.85	PASS	6268.14	
B3	p8d8	56	0.85	PASS	12861.91	
B5	p8d8	72	0.85	PASS	15625.18	
B4	p8d8	80	0.85	PASS	16268.53	
A7	p4d8	36	0.85	PASS	8498.05	
B7	p8d8	88	0.85	PASS	15253.66	
