# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://inferencex.semianalysis.com/inference/glm-5-3).
# Official API snapshot retrieved 2026-09-09; latest included benchmark date 2026-09-03; 58 rows.
# Attribution to InferenceX is required for derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Token Throughput per Chip (tok/s/chip),P90 Interactivity (tok/s/user),Throughput/Chip (tok/s),Output Throughput/Chip (tok/s),Input Throughput/Chip (tok/s),Mean TTFT (s),Median TTFT (s),P99 TTFT (s),Std TTFT (s),Mean TPOT (s),Median TPOT (s),P99 TPOT (s),Std TPOT (s),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (s),Median ITL (s),P99 ITL (s),Std ITL (s),Mean E2E Latency (s),Median E2E Latency (s),P99 E2E Latency (s),Std E2E Latency (s),Disaggregated,Num Prefill Chips,Num Decode Chips,Spec Decoding,EP,DP Attention,Is Multinode,Run URL
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,1,2026-09-02,2507.1772,301.2048192771084,2507.1772,18.34676,2488.83044,0.83364,0.72885,,0.65279,0.00321,0.00314,,0.0004,311.5264797507788,318.47133757961785,,23.60842,0.00321,0.00314,,0.0004,7.08463,3.38072,,8.47219,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,4,2026-09-02,3894.73934,259.7402597402597,3894.73934,27.50196,3867.23738,0.62781,0.38874,,0.77251,0.00351,0.00322,,0.00242,284.09090909090907,310.5590062111801,,1313.83696,0.00352,0.00322,,0.00242,4.99264,2.00248,,7.67609,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,8,2026-09-02,6923.88665,196.85039370078738,6923.88665,51.07356,6872.81309,0.64006,0.36589,,1.18503,0.00414,0.00379,,0.00163,241.5458937198068,263.85224274406335,,494.59716,0.00414,0.00379,,0.00163,5.05859,2.37432,,7.50568,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,12,2026-09-02,8083.82318,149.2537313432836,8083.82318,63.07025,8020.75293,0.75522,0.41277,,1.14282,0.00571,0.00428,,0.02152,175.13134851138355,233.6448598130841,,821.48306,0.00571,0.00428,,0.02152,5.83197,2.50597,,10.23683,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,16,2026-09-02,11262.71714,95.69377990430623,11262.71714,78.36675,11184.35039,2.04632,0.5588,,3.28525,0.00698,0.0053,,0.00842,143.26647564469914,188.67924528301887,,890.19022,0.00698,0.0053,,0.00842,8.12728,3.69094,,13.21382,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,1,2026-08-18,2643.69293,307.6923076923077,2643.69293,18.7487,2624.94424,0.79882,0.67435,,0.69093,0.00299,0.00292,,0.00051,334.44816053511704,342.4657534246576,,53.74005,0.00299,0.00292,,0.00051,6.6402,3.26635,,7.83648,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32174968310/attempts/1
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,4,2026-08-18,4094.96303,259.0673575129534,4094.96303,28.20759,4066.75544,0.68575,0.47027,,0.6528,0.00344,0.00311,,0.0024,290.69767441860466,321.54340836012864,,4094.37991,0.00344,0.00311,,0.0024,4.92588,2.06766,,7.18823,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32174968310/attempts/1
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,8,2026-08-18,7067.25845,174.52006980802793,7067.25845,51.49228,7015.76616,0.66466,0.42085,,1.13253,0.00435,0.00377,,0.00316,229.8850574712644,265.2519893899204,,2031.2119,0.00435,0.00377,,0.00316,5.08216,2.38066,,7.2616,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32174968310/attempts/1
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,12,2026-08-18,8087.65541,161.0305958132045,8087.65541,62.95115,8024.70426,0.69886,0.40262,,1.05141,0.00512,0.00427,,0.01646,195.31249999999997,234.19203747072598,,1031.14022,0.00512,0.00427,,0.01646,5.62407,2.29574,,10.01135,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32174968310/attempts/1
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,16,2026-08-18,13148.32953,125.31328320802007,13148.32953,84.74257,13063.58696,0.77079,0.41063,,1.24806,0.0062,0.00486,,0.01429,161.29032258064515,205.76131687242798,,1626.30908,0.0062,0.00486,,0.01429,6.01418,2.6351,,10.89836,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32174968310/attempts/1
