gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,304,1,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,5.1691,sol2,0.0,0.18,180.3
gfx942,304,2,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,skinny,2,0,5.6841,sol2,0.0,0.32,166.51
gfx942,304,4,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,6.1717,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0391,0.59,158.04
gfx942,304,5,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,14,6.4344,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0281,0.71,153.83
gfx942,304,6,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,5.9214,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0234,0.93,169.6
gfx942,304,8,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,6.2761,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0176,1.17,164.63
gfx942,304,11,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,6.0058,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0327,1.68,179.26
gfx942,304,12,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,6.3278,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0273,1.74,172.43
gfx942,304,16,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,3,16,6.3875,_ZN5aiter39bf16gemm_fp32bf16_tn_48x64_splitk_cleanE,0.0342,2.3,179.87
gfx942,304,24,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,6.2211,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0299,3.54,203.28
gfx942,304,32,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,asm,1,16,6.1011,_ZN5aiter39bf16gemm_fp32bf16_tn_32x64_splitk_cleanE,0.0317,4.81,226.25
gfx942,304,1,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,5.9169,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0104,0.93,932.94
gfx942,304,2,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,5.9544,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0247,1.85,929.6
gfx942,304,4,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,5.9787,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0208,3.68,930.88
gfx942,304,5,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,6.012,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0161,4.58,928.23
gfx942,304,6,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,5.5777,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0239,5.92,1003.22
gfx942,304,8,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,6.0715,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0182,7.25,926.6
gfx942,304,11,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,6.108,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0201,9.91,928.48
gfx942,304,12,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,6.1532,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0195,10.74,924.12
gfx942,304,16,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,6.2025,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0208,14.2,926.51
gfx942,304,24,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,6.0681,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.02,21.77,966.95
gfx942,304,32,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,6.3261,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0209,27.85,946.61
gfx942,304,1,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,5.8877,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0195,1.25,1249.28
gfx942,304,2,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,5.8045,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0215,2.53,1269.83
gfx942,304,4,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,6.2701,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0181,4.68,1180.44
gfx942,304,5,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,6.2172,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0176,5.9,1192.95
gfx942,304,6,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,5.9369,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0208,7.42,1251.86
