request_index,success,input_tokens,output_tokens,start_time_monotonic_s,e2e_ms,ttft_ms,tpot_ms,decode_tokens_s,e2e_tokens_s,pass_70,pass_80,itl_p50_ms,itl_p90_ms,itl_p99_ms,raw_chunk_gap_p90_ms,raw_chunk_gap_p99_ms,itl_samples
0,True,10000,500,3896274.619072881,2084.3147691339254,6.46831514313817,4.164020949881337,240.15249011379186,239.88699183269713,True,True,3.748181974515319,5.000845994800329,6.238740247984727,15.123924799263477,17.478482220321908,499
1,True,10000,500,3896276.703960004,2108.8193710893393,13.680002186447382,4.198676089985755,238.17031334831853,237.0994912388908,True,True,3.7688895827159286,4.995742657532294,5.0857386862238245,15.13336910866201,15.417014332488177,499
2,True,10000,500,3896278.813322339,2047.8428970091045,13.272535987198353,4.0772953126691505,245.26062581063388,244.1593545726848,True,True,3.7441920721903443,4.9860562818745775,5.166190986831983,15.09715267457068,15.483691287226975,499
3,True,10000,500,3896280.86171792,2099.273218307644,13.440174981951714,4.180026138929243,239.23295375759548,238.17766817559905,True,True,3.7648819852620363,5.00327938546737,5.096311991413434,15.158709231764078,15.488594127818942,499
4,True,10000,500,3896282.961482423,2096.1878881789744,13.167967088520527,4.174388619419748,239.5560383017245,238.5282363378056,True,True,3.7663470720872283,5.005582422018051,5.172190248655754,15.189857874065638,15.38766392506659,499
5,True,10000,500,3896285.058116126,2089.232618920505,13.186727184802294,4.160412608688783,240.36077525377107,239.32232125417764,True,True,3.741114749573171,5.008942602823178,5.210250616073608,15.117653645575047,15.62116869725287,499
6,True,10000,500,3896287.147970349,2045.8900961093605,12.956298887729645,4.074015625694651,245.45806689916472,244.3924045337737,True,True,3.7285347934812307,4.957413300871849,5.096698645502329,15.117072267457843,15.795649122446777,499
7,True,10000,500,3896289.194478169,2095.7575431093574,12.851989828050137,4.174159425413442,239.56919180223983,238.57721597803635,True,True,3.761411993764341,5.014989369859298,5.387919023633003,15.124314650893211,16.96110623888672,499
8,True,10000,500,3896291.290772376,2080.3379686549306,13.185746967792511,4.142589622619515,241.3948981428825,240.34556285259816,True,True,3.7528270622715354,5.004508917530377,5.17055885943892,15.188635047525167,16.138830366544422,499
9,True,10000,500,3896293.371714699,2083.105720113963,12.826770078390837,4.148855611293731,241.0303210547671,240.02622390794738,True,True,3.7595295580103993,5.00405269364516,5.099418728301923,15.145187126472592,15.30676675029099,499
10,True,10000,500,3896295.455202236,2081.3754480332136,13.655771967023611,4.143726805743868,241.32865096556077,240.2257605529424,True,True,3.741829772479832,4.97022969648242,5.117334891110659,15.047888178378344,15.322030717507005,499
11,True,10000,500,3896297.53693221,2091.606105212122,13.086188118904829,4.16537057533711,240.0746780900925,239.05074610082573,True,True,3.7616670597344637,4.993189747134845,6.217739777639508,15.122527536004782,15.288445642217994,499
12,True,10000,500,3896299.628898171,2116.347985342145,13.368705287575722,4.214387334778696,237.2824139223339,236.25604270328265,True,True,3.7484595086425543,4.985558365782102,5.142875878761193,15.075607225298882,15.335093438625336,499
13,True,10000,500,3896301.745585862,2049.81966689229,12.96149892732501,4.081880096122175,244.9851481306395,243.92389636793988,True,True,3.75200470443815,4.98895642037193,5.073328657696645,15.128647210076451,15.285576786845922,499
14,True,10000,500,3896303.795730536,2121.450122911483,13.867400120943785,4.2236126709229245,236.76413485649587,235.6878413496702,True,True,3.7548094987869263,4.9919259424010916,6.153807742521167,15.088147018104792,15.267729386687279,499
15,True,10000,500,3896305.917435656,2075.6329563446343,13.742701150476933,4.1320445995874895,242.01094056434727,240.89037441404977,True,True,3.7505298387259245,4.989336399982373,5.1203216426074505,15.09944200515747,15.357338986359537,499
16,True,10000,500,3896307.993369069,2113.778131082654,13.524203095585108,4.208925707388915,237.59031865173228,236.54327417225454,True,True,3.7621244555339217,5.0088393812378245,5.080502014607191,15.117191104218364,15.244190064258873,499
17,True,10000,500,3896310.107437187,2073.760255239904,13.476022984832525,4.12882611674363,242.19959177856865,241.10790952648347,True,True,3.7375197280198336,4.988999074945847,5.090760632107627,15.101369936019182,15.397456283681095,499
18,True,10000,500,3896312.181514948,2065.0020139291883,13.33166565746069,4.111563824191839,243.21646039303747,242.13051446309422,True,True,3.7505694199353456,4.9681309921046095,5.132798412814709,15.157615020871162,15.391228012740612,499
19,True,10000,500,3896314.246820589,2084.158970043063,14.011847786605358,4.148591427367651,241.0456699599643,239.9049243300615,True,True,3.756967023946345,5.000173673033714,5.116907297633541,15.149887930601835,15.354192005470395,499
20,True,10000,500,3896316.331286586,2106.2188670039177,13.663331978023052,4.193498066184158,238.464399939486,237.39223298823006,True,True,3.7505344953387976,4.989193007349968,5.0873815850354465,15.092318039387465,15.187647775746882,499
21,True,10000,500,3896318.4377951,2126.2438939884305,14.043358154594898,4.232866805278228,236.24650762765253,235.1564660167441,True,True,3.755629528313875,5.02460232625405,6.543143768794835,15.15222666785121,16.125406697392457,499
22,True,10000,500,3896320.564375781,2066.7030662298203,13.548213057219982,4.1145387839130265,243.04060613301004,241.93122281089185,True,True,3.7509769899770617,5.013443063944578,5.086761899292469,15.155706740915775,15.29701329767704,499
23,True,10000,500,3896322.631315725,2048.516920302063,13.414984103292227,4.078360593584711,245.19656294566173,244.079018847583,True,True,3.752784803509712,4.977557683984439,5.642154353360318,15.162751311436296,16.339910216629512,499
24,True,10000,500,3896324.680188471,2110.784661024809,13.68997199460864,4.20259456719479,237.9482445929812,236.87873482899226,True,True,3.758287290111184,5.005552247166634,5.113423753064098,15.124510088935494,15.440879655070601,499
25,True,10000,500,3896326.791302089,2077.083870768547,13.60393175855279,4.135230338697384,241.82449781382783,240.72210421382442,True,True,3.752371994778514,4.996329701195161,5.06691246603926,15.118285035714507,15.236348756588995,499
26,True,10000,500,3896328.868695107,2107.405385002494,13.655852060765028,4.195890847578615,238.3284113734953,237.25857566763705,True,True,3.7537722382694483,4.986873051772515,5.634052989383538,15.112698916345835,16.468974724411947,499
27,True,10000,500,3896330.976468468,2111.0989777371287,13.377725146710873,4.203850205592019,237.87717237635783,236.84346649437833,True,True,3.760142019018531,5.009009347607692,5.213247612118721,15.156504791229963,15.534190144389864,499
28,True,10000,500,3896333.087899653,2020.6354120746255,13.468734454363585,4.022378111463451,248.609149187164,247.44691546637813,True,True,3.705854993313551,4.913367020587127,5.046695626030366,15.019733691588044,15.512148034758868,499
29,True,10000,500,3896335.108878401,2065.00598276034,13.54646310210228,4.111141321960396,243.2414557627395,242.13004910118408,True,True,3.7398147396743298,4.987169212351243,5.11615506062905,15.095717180520296,17.02392160892484,499
30,True,10000,500,3896337.174260591,2136.9084869511425,15.030897688120604,4.252259697921887,235.16907974569565,233.9828790297803,True,True,3.7729667965322733,5.018252568940322,5.116061773151159,15.152357053011656,15.451719984412192,499
31,True,10000,500,3896339.311497054,2098.1436991132796,13.637252151966095,4.177367629180989,239.38520349861068,238.30588925406335,True,True,3.7585245445370674,5.007322722425063,5.1006050780415535,15.149750746786594,15.41350981220603,499
32,True,10000,500,3896341.40997167,2106.761091388762,13.219216372817755,4.19547469943075,238.3520511125194,237.33113452859695,True,True,3.755046986043453,5.000696051865816,5.115051598598559,15.110919205471873,15.309829153120516,499
33,True,10000,500,3896343.517053188,2088.5818949900568,13.77094117924571,4.1579377831879984,240.50383919724604,239.39688513022392,True,True,3.742667264305055,4.976901225745678,5.140160051329654,15.105602983385324,15.324420379474759,499
34,True,10000,500,3896345.60596312,2051.8676661886275,13.57838325202465,4.0847480619972,244.8131402040642,243.6804323393608,True,True,3.7477394798770547,4.987016320228577,5.082595317314069,15.124572673812509,15.645217685960237,499
35,True,10000,500,3896347.658180072,2098.5385049134493,13.775820843875408,4.177881130399947,239.35578078648456,238.26105588690243,True,True,3.7478019949048758,5.017758005609115,5.790117740010186,15.158690139651299,16.575365550816066,499
36,True,10000,500,3896349.757143993,2060.447848867625,13.696970883756876,4.101705166300337,243.80104357963438,242.66569050742467,True,True,3.739644540473819,4.963183309882879,6.60444819368422,15.067915990948677,15.302457623183727,499
37,True,10000,500,3896351.817980928,2093.8036632724106,13.38649494573474,4.169172682017386,239.85574027989608,238.79984965665255,True,True,3.7392472149804235,4.988906439393759,6.218792288564146,15.062449220567942,15.376656404696403,499
38,True,10000,500,3896353.912224866,2136.6392602212727,12.46418384835124,4.256863880506856,234.91472315551985,234.012361987685,True,True,3.7710692267864943,5.028667580336332,5.090195333274683,15.131415706127882,15.417023194022477,499
39,True,10000,500,3896356.049288532,2085.5482346378267,12.884348630905151,4.153635042098038,240.75297657708776,239.74511435206833,True,True,3.74801445286721,4.980676341801882,5.067278786251943,15.099694859236479,15.222382983192801,499
40,True,10000,500,3896358.135250303,2112.4666342511773,13.213656842708588,4.206919794405748,237.7036047442059,236.6901289199481,True,True,3.770846757106483,5.008975975215435,6.1734424671158195,15.155635168775916,15.41561639867723,499
41,True,10000,500,3896360.24839857,2082.019862253219,13.108608312904835,4.146114737355338,241.18965907775745,240.15140732561807,True,True,3.7595119792968035,4.98268303150932,6.321378401480615,15.132870012894273,16.796248592436303,499
42,True,10000,500,3896362.331095355,2115.6707908958197,13.32972478121519,4.213108348927062,237.35444645155317,236.33166471438093,True,True,3.7693369667977095,5.0182292858759565,6.693967501632869,15.176377911120653,15.531863602809603,499
43,True,10000,500,3896364.44743785,2094.540765043348,13.294355012476444,4.170834489039822,239.76017332450238,238.71581224137796,True,True,3.732159733772278,4.962520052989324,5.12082160760959,15.043572057038546,15.339880245737731,499
44,True,10000,500,3896366.542601158,2095.568335149437,12.654231861233711,4.174176559695798,239.56820841159558,238.59875701182727,True,True,3.7585069658234715,5.012852760652701,5.077208702762921,15.135401021689177,15.40794786065817,499
