request_index,success,input_tokens,output_tokens,start_time_monotonic_s,e2e_ms,ttft_ms,tpot_ms,decode_tokens_s,e2e_tokens_s,pass_70,pass_80,itl_p50_ms,itl_p90_ms,itl_p99_ms,raw_chunk_gap_p90_ms,raw_chunk_gap_p99_ms,itl_samples
0,True,10000,500,3897466.873286407,7964.709199965,86.38708712533116,15.788220667013363,63.33835972341833,62.77693101490726,False,False,14.834438567049801,19.810871065904696,20.035569090396166,59.8342883400619,60.49328855704516,495
1,True,10000,500,3897466.87401771,8150.160267949104,85.69236425682902,16.161258324032616,61.87637001711364,61.348486847096,False,False,14.833006192930043,19.81381494551897,20.141724034522934,59.892213670536876,63.416030257940314,499
2,True,10000,500,3897466.874463886,8150.055218953639,85.2847471833229,16.161864672886406,61.87404858534844,61.34927758982638,False,False,14.85375571064651,19.81543954461813,20.190630902846618,59.938578167930245,63.47530423663559,499
3,True,10000,500,3897466.874884851,8148.630304262042,84.80906300246716,16.159962407333815,61.88133207204577,61.360005464781125,False,False,14.827776234596968,19.81182626138131,20.08081825139618,59.798010159283876,63.21893206331881,499
4,True,10000,500,3897466.875258728,8149.0549789741635,84.33631714433432,16.16176084535036,61.87444608102179,61.356807788151905,False,False,14.845755998976529,19.812750350683928,20.167599314202825,59.90793812088668,63.42761781997981,499
5,True,10000,500,3897466.875613764,8148.747222963721,84.1122199781239,16.161593192355905,61.875087938296765,61.3591250678345,False,False,14.848408522084355,19.813536945730448,20.17466086273388,59.909608447924256,63.436855911277256,499
6,True,10000,500,3897466.875964681,8148.298516869545,83.75309268012643,16.161413675730298,61.87577523009058,61.362503958936024,False,False,14.842465985566378,19.81216163064043,20.16087446982658,59.905927861109376,63.4183044312522,499
7,True,10000,500,3897466.876322087,8147.364156320691,83.37994711473584,16.16028899640472,61.880081490032524,61.36954116775326,False,False,14.827805920504034,19.81299572313825,20.086006817097427,59.801634633913636,63.27067592646929,499
8,True,10000,500,3897466.876708673,8147.856132127345,83.04709009826183,16.161941967994153,61.873752670336394,61.36583561269309,False,False,14.853870961815119,19.814152332643665,20.19107393609977,59.95126813650131,63.484681746922455,499
9,True,10000,500,3897466.87706774,8147.338525857776,82.666483707726,16.16166741913838,61.874803760397675,61.36973422831458,False,False,14.844653429463506,19.811500950405993,20.180073458080454,59.912943514063954,63.44495217781516,499
10,True,10000,500,3897466.877412766,8147.038829978555,82.32887787744403,16.161743390984192,61.87451290421111,61.371991767138304,False,False,14.847530983388424,19.815570240219436,20.180282124007704,59.92196896113455,63.461489928886316,499
11,True,10000,500,3897466.877756353,8344.378030858934,121.37360218912363,16.478966790921465,60.68341618061373,59.92058343365014,False,False,14.828451327048242,19.82632363215089,20.085926516912878,59.80835389345884,75.52501312457034,499
12,True,10000,500,3897466.87810705,8344.314300920814,121.1062241345644,16.47937490337926,60.68191335309327,59.92104107881266,False,False,14.839146053418517,19.813685926298298,20.112857998659212,59.92975854314864,75.51528906915345,499
13,True,10000,500,3897466.878450886,8343.916655983776,120.74595829471946,16.479299995368848,60.682189187709945,59.92389672797473,False,False,14.834770932793617,19.815408966193598,20.093468328317005,59.91040845401585,75.5086015909911,499
14,True,10000,500,3897466.878831572,8343.854727223516,120.5293103121221,16.479610053930646,60.68104747184138,59.92434148795146,False,False,14.850925887003541,19.825770054012537,20.149261069794495,59.96971274726093,75.44694554526367,499
15,True,10000,500,3897466.879185489,8343.126792926341,119.99554513022304,16.47922093746717,60.68248030623822,59.92956986149621,False,False,14.828153769485652,19.81598287820816,20.102241231749456,59.860348934307694,75.49858815036723,499
16,True,10000,500,3897466.879529435,8342.533439863473,119.58076991140842,16.4788630660362,60.683798147522225,59.93383228298843,False,False,14.85718332696706,19.81375701725483,20.167687286933262,60.051112435758114,75.67358361557135,499
17,True,10000,500,3897466.879875092,8341.587369330227,119.08166436478496,16.477967344620122,60.68709684186194,59.940629746127875,False,False,14.853558503091335,19.807854263732832,20.175908226519823,60.03538751974702,75.77037247829148,499
18,True,10000,500,3897466.880224459,8341.971823945642,118.92366595566273,16.479054424829616,60.68309347247874,59.93786727554621,False,False,14.857850736007094,19.813215608398117,20.166580720494192,60.05648709833622,75.68923656363049,499
19,True,10000,500,3897466.880603485,8342.18538319692,118.78777714446187,16.479754721548012,60.680514782932754,59.936332871134105,False,False,14.84971318859607,19.809537194669247,20.201944125195343,60.041756834834814,75.58992183767268,499
20,True,10000,500,3897466.880948392,8341.307100839913,118.2167218066752,16.47913903613875,60.68278189819262,59.94264375539577,False,False,14.85613570548594,19.812715674440067,20.165560611834128,60.03489741124213,75.697785941884,499
21,True,10000,500,3897466.881297318,8341.177843045443,117.932946421206,16.479448690629734,60.681641647915264,59.94357264746261,False,False,14.858195907436311,19.812118324140705,20.16466436907649,60.03580195829272,75.66238117869952,499
22,True,10000,500,3897466.881638905,8341.10003290698,117.73756705224514,16.479684300310087,60.680774083832645,59.94413183242254,False,False,14.850783161818981,19.809668355931837,20.161777269095182,60.04039756953716,75.58805546723315,499
23,True,10000,500,3897466.881975951,8340.556059032679,117.27000307291746,16.479531174268057,60.68133792309873,59.94804140888288,False,False,14.854548498988152,19.81137664988637,20.163454425831635,60.0368520244956,75.65763758029797,499
24,True,10000,500,3897466.882348868,8340.283990837634,116.99614487588406,16.47953476144639,60.68132471430468,59.94999697243929,False,False,14.85374360345304,19.80973699440559,20.16218410183986,60.03891187720001,75.60352205764511,499
25,True,10000,500,3897466.882694264,8339.889026246965,116.63271905854344,16.479471557491827,60.68155744626315,59.9528361140562,False,False,14.85109596978873,19.810571552564703,20.162087709953386,60.03772700205445,75.61027286574253,499
26,True,10000,500,3897466.883039321,8338.58315832913,115.9382052719593,16.478246398912166,60.686069123594145,59.96222505745078,False,False,14.856590772978961,19.806465165068705,20.180898252874613,60.056541580706835,75.78610761556783,499
27,True,10000,500,3897466.883376598,8339.971954002976,116.22588196769357,16.480453050170908,60.67794355869541,59.952239978458515,False,False,14.856313238851726,19.806707681467135,20.159417452911537,60.040532145649195,75.37441803142436,499
28,True,10000,500,3897466.883715864,8339.674668386579,115.90344598516822,16.48050345170623,60.6777579902433,59.95437710482436,False,False,14.856866095215082,19.8086383442084,20.169030874967575,60.06318680010736,75.3740122541786,499
29,True,10000,500,3897466.884061931,8339.1466117464,115.4850097373128,16.4802837715613,60.67856681725466,59.958173573265555,False,False,14.850283274427056,19.80481691037615,20.157461054623127,60.03539706580341,75.37497733719654,499
30,True,10000,500,3897466.884435287,8338.868504855782,115.14914268627763,16.480399523385778,60.67814063493998,59.96017321880618,False,False,14.855928253382444,19.807222361365955,20.15811111778021,60.041002463549376,75.36784599069513,499
31,True,10000,500,3897466.884773014,8339.031682815403,115.01897405833006,16.48098739229874,60.675976274775955,59.95899991966348,False,False,14.849445782601833,19.809695271154244,20.201013889163733,60.04074215888977,75.3236050251872,499
32,True,10000,500,3897466.88511882,8338.521589059383,114.6078291349113,16.480789098045033,60.67670631854763,59.96266780145159,False,False,14.854915789328516,19.80340788140893,20.180750638246536,60.061651980504394,75.44439847115434,499
33,True,10000,500,3897466.885456007,8337.803695816547,114.1100232489407,16.480348041217646,60.678330184470745,59.96783064716103,False,False,14.857820817269385,19.80233332142234,20.183744374662638,60.062026837840676,75.61437929980465,499
34,True,10000,500,3897466.885792804,8337.971744127572,113.98269422352314,16.48093997976763,60.67615082802451,59.96662202077498,False,False,14.856485766358674,19.80213299393654,20.182337301472824,60.06117211654782,75.46587353572257,499
35,True,10000,500,3897466.88617586,8337.668236810714,113.63319773226976,16.481032142441773,60.67581152425587,59.96880492228097,False,False,14.858035719953477,19.802313297986984,20.183767347286146,60.062632197514176,75.46164817176766,499
36,True,10000,500,3897466.886516657,8336.91641362384,113.11978287994862,16.480554370228237,60.67757051950135,59.974212909574206,False,False,14.851938234642148,19.804855218778055,20.194243950148422,60.05864217877388,75.50758039578803,499
37,True,10000,500,3897466.886854503,8336.619887966663,112.8018363378942,16.48059729785324,60.677412470375685,59.976346135406224,False,False,14.853230793960392,19.80412568276127,20.17968101426959,60.057882219552994,75.50513939931996,499
38,True,10000,500,3897466.88719787,8336.401149164885,112.5119193457067,16.48073993951739,60.67688730420457,59.977919854551196,False,False,14.854443492367864,19.80317672714591,20.18016731987397,60.060422169044614,75.47879947815098,499
39,True,10000,500,3897466.887531737,8336.150062270463,112.21185233443975,16.480838096064176,60.67652592490501,59.97972640427952,False,False,14.855513232760131,19.80205401778221,20.18104741970698,60.06247689947486,75.47804671339698,499
40,True,10000,500,3897466.88823321,8335.282190237194,111.44226882606745,16.4806411250724,60.677251110011476,59.98597151103431,False,False,14.85080097336322,19.805286669482786,20.19368391484022,60.06897194311023,75.45557182747878,499
41,True,10000,500,3897466.888576406,8334.982183761895,111.11769312992692,16.48069036198791,60.677069833583076,59.98813062541316,False,False,14.8526233388111,19.804403589417536,20.19467732558648,60.058451956138015,75.47603256534792,499
42,True,10000,500,3897466.888911893,8334.811264649034,110.84770504385233,16.480888897004373,60.67633889466749,59.98936078141108,False,False,14.856128254905343,19.802109617739916,20.181713936229546,60.06091181188822,75.47204815782614,499
43,True,10000,500,3897466.88925472,8336.13228192553,110.68319715559483,16.483865901342554,60.66538068103026,59.97985433653736,False,False,14.85030073672533,19.80549305056532,20.19307700296243,60.067722108215094,75.27155985590078,499
44,True,10000,500,3897466.889584146,8336.303690914065,110.44522002339363,16.484686314410162,60.66236147459146,59.97862104579538,False,False,14.857355738058686,19.8022425485154,20.183260863025982,60.061706928536296,75.30858996324248,499
45,True,10000,500,3897466.889919273,8335.57258779183,110.03465298563242,16.48404395752745,60.664725389994445,59.98388169905609,False,False,14.851495972834527,19.805256680895884,20.193883993973333,60.06893143057823,75.2805264201016,499
46,True,10000,500,3897466.890292959,8335.477299056947,109.7161271609366,16.48449132644491,60.66307902360143,59.9845674172214,False,False,14.856891008093953,19.802280981093645,20.182757327953976,60.06120191887021,75.31791629735388,499
47,True,10000,500,3897466.890630466,8334.943894296885,109.33843022212386,16.484179286722966,60.66422735437251,59.9884062017647,False,False,14.853748609311879,19.804140428702038,20.17976436764002,60.05757208913565,75.30635506846018,499
48,True,10000,500,3897466.890968903,8334.646476898342,109.00733293965459,16.484246781480337,60.66397896466076,59.99054685593217,False,False,14.86380328424275,19.803003997852407,20.160477763662737,60.06026710383594,75.3956146771089,499
49,True,10000,500,3897466.891312569,8334.380950313061,108.67749713361263,16.484375657674246,60.66350468872343,59.99245810586792,False,False,14.862215728498995,19.808956887573004,20.162337304403383,60.05806685425341,75.37827065680183,499
50,True,10000,500,3897466.891648056,8334.160432219505,108.36865985766053,16.484552650023737,60.66285335310935,59.99404547901688,False,False,14.861018513329327,19.805410659561556,20.162394270300865,60.063531855121255,75.36934681702412,499
51,True,10000,500,3897466.892023812,8333.94084405154,108.02135383710265,16.484808597624124,60.661911485227996,59.99562624168152,False,False,14.856578316539526,19.805548526346684,20.161760970950127,60.05198182538152,75.37545964587487,499
52,True,10000,500,3897466.892359239,8333.29610992223,107.62359714135528,16.484313652867485,60.663732871040565,60.00026800975709,False,False,14.862608280964196,19.809225667268038,20.162440681209166,60.05834206007421,75.37890933454044,499
53,True,10000,500,3897466.892693255,8332.753526046872,107.25361201912165,16.48396776358267,60.6650058009248,60.00417490293922,False,False,14.863465796224773,19.800871020803847,20.159380976110697,60.07180688902736,75.38463366217918,499
54,True,10000,500,3897466.893033612,8332.69799593836,106.96402378380299,16.484436817945006,60.66327961604348,60.00457477802711,False,False,14.861688250675797,19.806163975348074,20.162264350801706,60.057561844587326,75.37759130354978,499
55,True,10000,500,3897466.893367379,8332.480887882411,106.65571689605713,16.48461958113498,60.66260704883972,60.006138235147915,False,False,14.86138824839145,19.805070913086336,20.162494232257206,60.06267201155424,75.36939277779318,499
56,True,10000,500,3897466.893733705,8332.192881964147,106.30397126078606,16.4847473160388,60.662136994180806,60.00821237375569,False,False,14.857040718197823,19.805792377640802,20.161940871427458,60.05302211269736,75.37574893794961,499
57,True,10000,500,3897466.894077132,8331.930893938988,105.97462393343449,16.48488230462035,60.661640254460416,60.01009926327184,False,False,14.85618355218321,19.805307282755773,20.161657438923914,60.05142698995769,75.3716625506059,499
58,True,10000,500,3897466.894411629,8331.122091040015,105.54971685633063,16.484112974316,60.664471394857955,60.01592517024108,False,False,14.86416079569608,19.80245333785812,20.160140935331583,60.06888207048178,75.3796516684816,499
59,True,10000,500,3897466.894740645,8337.1321731247,105.32554006204009,16.49660647908349,60.61852789347483,59.97266081636359,False,False,14.85861325636506,19.804805020491283,20.162224303930998,60.0616920273751,75.34562442451723,499
60,True,10000,500,3897466.895081022,8336.709477007389,104.97823311015964,16.496455398591642,60.61908305982953,59.97570160972959,False,False,14.862880809232593,19.809355027973652,20.16173442825675,60.058322036638856,75.3252532565967,499
61,True,10000,500,3897466.895445568,8351.66034894064,122.66810890287161,16.49096641290134,60.63926000223203,59.868335050697084,False,False,14.859046088531613,19.803844392299652,40.666098706424236,60.05721678957343,102.62532215565474,499
62,True,10000,500,3897466.895784775,8351.264133118093,122.31139233335853,16.49088725608163,60.63955107274247,59.87117543285223,False,False,14.85861570108682,19.80158779770136,40.665325398246445,60.06981199607253,102.62399967759879,499
63,True,10000,500,3897466.896126082,8351.024524774402,121.99591472744942,16.49103929869129,60.63899199363128,59.87289326198059,False,False,14.85966076143086,19.80351796373725,40.67421176781257,60.05280697718263,102.64058962930025,499
64,True,10000,500,3897474.839644481,8239.54402608797,58.00642725080252,16.39586693153741,60.990980481581154,60.6829696421191,False,False,14.925470226444304,19.863571040332317,31.976194237358868,60.12769159860909,104.54360663425214,499
65,True,10000,500,3897475.025952011,8239.032601006329,212.9621673375368,16.084309486310204,62.172392346163655,60.686736442689785,False,False,14.924159971997142,19.858793665965397,20.028848977138598,60.056366957724094,61.071934504434466,499
66,True,10000,500,3897475.026499546,8238.638483919203,212.42076205089688,16.0846046530427,62.17125142773289,60.68963955342109,False,False,14.925722498446703,19.854077293227117,20.046405649433535,60.139626264572144,61.09369178302586,499
67,True,10000,500,3897475.02702982,8237.87000309676,211.87092829495668,16.084166482568744,62.17294511865147,60.6953010683637,False,False,14.924205257557333,19.85821407288313,20.019265667845804,60.04742253571749,61.05973755475134,499
68,True,10000,500,3897475.027428756,8237.332668155432,211.44899306818843,16.083935220615718,62.17383906882699,60.699260324029616,False,False,14.915460254997015,19.83894423271219,19.978482741862535,59.92386327125132,61.02908255998045,499
69,True,10000,500,3897475.027792633,8237.148298881948,211.11475490033627,16.08423555908139,62.17267810625826,60.70061893481588,False,False,14.924382790923119,19.85856704413891,20.024345722049475,60.04611193202436,61.06268495786935,499
70,True,10000,500,3897475.028155589,8236.236758995801,210.68204985931516,16.0832759702134,62.176387562585084,60.707336934418365,False,False,14.922540169209242,19.846560899168253,19.968666446705658,59.91774867288768,60.97972425632179,499
71,True,10000,500,3897475.028508016,8236.678154207766,210.41817218065262,16.084689342739708,62.17092408137675,60.70408368992437,False,False,14.928347547538579,19.85432409370939,20.050075370818377,60.15931093133986,61.10331143718213,499
72,True,10000,500,3897475.028861192,8235.83868285641,209.99044692143798,16.083864200270487,62.17411360531027,60.71027120052654,False,False,14.924365212209523,19.84984070683519,19.972579398502905,59.92354289628565,61.031567538157105,499
73,True,10000,500,3897475.029217059,8235.591765027493,209.66921001672745,16.084013136294118,62.173537880509826,60.7120914034683,False,False,14.914580271579325,19.842403940856457,20.007502442846697,60.006632236763835,61.03992068674415,499
74,True,10000,500,3897475.029562965,8235.29456788674,209.3308330513537,16.084095660992755,62.17321887889575,60.714282394916815,False,False,14.921045280061662,19.855530622104805,20.013509318232536,60.036737471818924,61.05156824924052,499
75,True,10000,500,3897475.224344822,8100.064903032035,73.7306117080152,16.08483825916637,62.17034849138899,61.72790045334561,False,False,14.92753776255995,19.85873080169161,20.03269859900077,60.089320316910744,63.84130285121499,499
76,True,10000,500,3897475.224789498,8099.792186170816,73.35310615599155,16.085048256542738,62.169536830157845,61.72997880781129,False,False,14.931947574950755,19.859374035149813,20.041789083431166,60.12226277962327,63.892251672223196,499
77,True,10000,500,3897475.226063575,8098.434679675847,72.02920876443386,16.084980903630086,62.16979715371115,61.740326344153864,False,False,14.929834986105561,19.859053970625002,20.041109062731266,60.11953465640545,63.90767008066176,499
78,True,10000,500,3897475.226453721,8098.001554142684,71.63046300411224,16.084912006289724,62.17006344883749,61.74362855539533,False,False,14.928217511624098,19.862347437689703,20.035619071374338,60.10257722809911,63.89965479262172,499
79,True,10000,500,3897475.226819948,8097.537838388234,71.24727638438344,16.08475062525822,62.17068721163007,61.74716438244171,False,False,14.92798246908933,19.860934000462294,20.035642043997843,60.09876253083348,63.85998105630277,499
80,True,10000,500,3897475.227179234,8096.814695280045,70.83098124712706,16.084135699464767,62.173064110201274,61.75267914819266,False,False,14.942080015316606,19.858967357625563,20.091828424483538,60.38229800760746,64.09819564782082,499
81,True,10000,500,3897475.227528521,8096.529887989163,70.4926042817533,16.084243053521867,62.17264913694749,61.754851389078105,False,False,14.944557449780405,19.855850686629612,20.087621640414,60.338534601032734,63.91174718737601,499
82,True,10000,500,3897475.227874667,8096.746906172484,70.27683593332767,16.085110361200716,62.16929679339498,61.753196165589586,False,False,14.940307475626469,19.85258065784971,20.114338025450706,60.39081197232008,63.9141660183668,499
83,True,10000,500,3897475.228222604,8096.556588076055,69.96303889900446,16.085357813982064,62.16834039779695,61.754647739553754,False,False,14.941190020181239,19.85235403602322,20.09971470882495,60.45175539329648,63.92750185914336,499
84,True,10000,500,3897475.228757669,8095.782614778727,69.37650498002768,16.08498218396533,62.16979220510869,61.76055160958221,False,False,14.940492575988173,19.852560789634783,20.11065122981866,60.399062279611826,63.91317301429807,499
85,True,10000,500,3897475.229116375,8094.987832941115,68.94108885899186,16.084262012188624,62.172575853477255,61.76661538209345,False,False,14.942794805392623,19.85414729764064,20.103608413288992,60.415189154446125,63.910441193729625,499
86,True,10000,500,3897475.229460232,8094.46088783443,68.52040300145745,16.084049067801548,62.173398985824235,61.77063635596473,False,False,14.945592149160802,19.854940318812925,20.078395027667284,60.27429895475507,63.9087000209838,499
87,True,10000,500,3897475.229805568,8094.856615178287,68.35538521409035,16.085172805539475,62.16905544562232,61.76761661997489,False,False,14.940244960598648,19.854767248034477,20.117494588096935,60.383271891623735,63.91546295024453,499
88,True,10000,500,3897475.230167275,8094.653456006199,68.026268389076,16.085425225685615,62.16807985922403,61.76916686025664,False,False,14.941129949875176,19.852383993566036,20.10039146989584,60.4498578235507,63.928418345749364,499
89,True,10000,500,3897475.230514601,8094.1871223039925,67.65451235696673,16.085235691276605,62.1688123937359,61.772725592446655,False,False,14.940697466954589,19.853660526374977,20.12098130459587,60.42069736868143,63.91670266166328,499
90,True,10000,500,3897475.230916667,8093.824265059084,67.26090610027313,16.085297312542707,62.168574230843575,61.77549494847478,False,False,14.940999681130052,19.852754039069016,20.123097579926252,60.41867574676871,63.91767749562858,499
91,True,10000,500,3897475.232065446,8154.117138590664,110.20448198541999,16.120065444098685,62.03448760600938,61.31871685208814,False,False,14.939177548512816,19.86078405752778,20.343479389945667,60.4498790577054,63.90857173129915,499
92,True,10000,500,3897475.232436472,8154.439686797559,110.06179405376315,16.12099778104969,62.03089992205722,61.3162913951678,False,False,14.940802473574877,19.857280577222507,20.530730641136568,60.44829906895757,64.05846858397125,499
93,True,10000,500,3897475.232790169,8153.623034246266,109.51726837083697,16.120452436624106,62.03299838707361,61.32243272713684,False,False,14.939205022528768,19.86073733617862,20.407124888151884,60.44709086418152,63.9307341724634,499
94,True,10000,500,3897475.233159675,8152.880812063813,109.08908303827047,16.119823104259606,62.03542021101668,61.32801540041531,False,False,14.941437519155443,19.862267343948286,20.302696308741968,60.359241254627705,63.910801718011484,499
95,True,10000,500,3897475.233506562,8153.849721886218,109.09264301881194,16.121757673080975,62.02797612258697,61.32072788365491,False,False,14.935147482901812,19.85866731653611,20.65134607255459,60.45357557013631,64.18745619244872,499
96,True,10000,500,3897475.233851838,8153.461006004363,108.73008705675602,16.121705248391997,62.02817782565163,61.323651346561974,False,False,14.943170011974871,19.87076069538792,20.643172630419333,60.35219840705395,64.172486346215,499
97,True,10000,500,3897475.234205595,8153.016719967127,108.34339959546924,16.12158982038408,62.02862193749673,61.32699308410299,False,False,14.94259003084153,19.871466948340338,20.6266896178325,60.35599587485194,64.18491151183842,499
98,True,10000,500,3897475.235395773,8150.905531365424,106.89374525099993,16.120264100429708,62.033723130711216,61.34287755832215,False,False,14.9421599926427,19.8712102137506,20.376095393051703,60.380030050873756,63.94342615269123,499
99,True,10000,500,3897475.235757929,8151.411747094244,106.7744861356914,16.121517557031165,62.028899975602144,61.33906806734875,False,False,14.942140085622668,19.872147279481094,20.61495992044608,60.357636120170355,64.17344817891716,499
100,True,10000,500,3897475.236110856,8150.413776282221,106.21499130502343,16.120638847649694,62.03228106842644,61.34657867984624,False,False,14.942854992114007,19.87401396036148,20.437291357666254,60.36521419882774,63.99222040548919,499
101,True,10000,500,3897475.236468602,8150.16411896795,105.97541416063905,16.12061864690844,62.03235880105487,61.348457859436905,False,False,14.942657435312867,19.87515700360139,20.46704463039835,60.36472050473094,64.0221925638616,499
102,True,10000,500,3897475.236816349,8149.9206610023975,105.6470270268619,16.120788845642355,62.03170388093707,61.35029048718403,False,False,14.942652429454029,19.87496701379617,20.495107707877953,60.36242013797164,64.05293506570159,499
103,True,10000,500,3897475.237161856,8150.104678701609,105.40403891354799,16.12164456871355,62.02841129128035,61.348905285429396,False,False,14.943180023692548,19.871147039035957,20.634726310769718,60.354064125567675,64.1930892691016,499
104,True,10000,500,3897475.237499842,8149.331487249583,104.9816939048469,16.12094146962873,62.031116599732336,61.35472594068585,False,False,14.942615060135722,19.87339711437623,20.522477415700752,60.37004431709647,64.07913661561905,499
105,True,10000,500,3897475.237887009,8149.032068904489,104.62880600243807,16.121048623050203,62.03070429116997,61.356980285784694,False,False,14.942824956960976,19.87287402153015,20.53902034337322,60.36052759736776,64.09582477062939,499
106,True,10000,500,3897475.238252065,8147.3997458815575,103.91941387206316,16.119199062143274,62.03782186352849,61.36927309265092,False,False,14.942262438125908,19.87171359360218,20.184727385640144,60.38346951827407,63.94018017686902,499
107,True,10000,500,3897475.239412073,8148.803242016584,103.49504789337516,16.12286211247136,62.0237271164454,61.358703253738774,False,False,14.943375019356608,19.871463688711327,20.80117103954156,60.35245805978775,64.36283000744878,499
108,True,10000,500,3897475.23977979,8148.513014893979,103.14217116683722,16.122987662779842,62.02324413536053,61.36088867822782,False,False,14.943044981919229,19.872246930996578,20.814924656103056,60.37216195836663,64.37655443325637,499
109,True,10000,500,3897475.240135366,8147.996159736067,102.75670606642962,16.12272435605138,62.02425706203107,61.36478100846284,False,False,14.94300493504852,19.871500320732594,20.786101308961708,60.352258291095495,64.34718105010687,499
110,True,10000,500,3897475.240483763,8147.432294674218,102.35132882371545,16.122406745191388,62.02547893776818,61.369027923906536,False,False,14.942437526769936,19.8714070332547,20.747314983357985,60.37827609106898,64.30647724308072,499
111,True,10000,500,3897475.240826719,8147.263697814196,102.05777315422893,16.12265716364723,62.024515552855824,61.37029787487343,False,False,14.942762558348477,19.87381372600794,20.778588329752285,60.360519867390394,64.34023728594183,499
112,True,10000,500,3897475.241175736,8146.69825322926,101.64214624091983,16.122356927832346,62.02567059371326,61.374557453604666,False,False,14.942214940674603,19.868163702388603,20.740012017389137,60.32210187986493,64.2969497013837,499
113,True,10000,500,3897475.241515963,8146.2227972224355,101.2484603561461,16.122193059852282,62.02630103036134,61.37813959255838,False,False,14.943297253921628,19.86810068289439,20.714388694614172,60.32703658565879,64.27634473890065,499
114,True,10000,500,3897475.241854879,8146.3172868825495,101.0448127053678,16.122790529413187,62.02400249359293,61.37742766355484,False,False,14.945125090889633,19.86838411539793,20.79325138280789,60.312844440340996,64.35630277730523,499
115,True,10000,500,3897475.242304205,8145.38286626339,100.4395978525281,16.12213079841856,62.02654056733563,61.38446874865808,False,False,14.943512505851686,19.868307281285524,20.70381569986542,60.328745283186436,64.26590296439825,499
116,True,10000,500,3897475.242646031,8145.140168722719,100.13735201209784,16.12225013368862,62.0260814531358,61.386297797550064,False,False,14.942875015549362,19.86773358657956,20.723435717324417,60.32597003504634,64.28554627113043,499
117,True,10000,500,3897475.242989858,8144.96974973008,99.86357390880585,16.122457266174898,62.025284576068415,61.38758219655386,False,False,14.943360001780093,19.867620741327602,20.754871579507988,60.31587449833751,64.3169304076582,499
118,True,10000,500,3897475.243333115,8144.715332426131,99.54387741163373,16.122588086201397,62.02478129772821,61.3894997667231,False,False,14.944097492843866,19.86837387084961,20.771278378864128,60.3139522485435,64.3336462881416,499
119,True,10000,500,3897475.243672641,8144.66647291556,99.25614017993212,16.123066799069395,62.02293970882257,61.38986803974235,False,False,14.946692157536745,19.86763362462322,20.823894379039604,60.31575798988342,64.38635080121456,499
120,True,10000,500,3897475.244031368,8144.223747309297,98.88359298929572,16.122926160961928,62.02348072654932,61.393205235206224,False,False,14.945900067687035,19.86800041049719,20.808301245172817,60.31272113323212,64.371290365234,499
121,True,10000,500,3897475.244414954,8143.417045008391,98.38569909334183,16.122307306442984,62.025861496906735,61.39928696228093,False,False,14.942497597075999,19.868256989866495,20.732092050214607,60.32320987433195,64.29385448805986,499
122,True,10000,500,3897475.244752441,8143.253826070577,98.11805095523596,16.122516583397477,62.02505637548994,61.400517616097524,False,False,14.943409943953156,19.86829734717806,20.762511684248846,60.314760729670525,64.32482319884001,499
