request_index,success,input_tokens,output_tokens,start_time_monotonic_s,e2e_ms,ttft_ms,tpot_ms,decode_tokens_s,e2e_tokens_s,pass_70,pass_80,itl_p50_ms,itl_p90_ms,itl_p99_ms,raw_chunk_gap_p90_ms,raw_chunk_gap_p99_ms,itl_samples
0,True,10000,500,3904124.763893589,12804.26353123039,150.83596389740705,25.357570275216396,39.435954988848636,39.04949306771679,False,False,23.2353990431875,30.943025648593903,31.2407917032639,93.30920302309096,95.87006447836755,499
1,True,10000,500,3904124.76466413,12898.999558296055,150.39639919996262,25.548302924040264,39.14154309870136,38.76269610990277,False,False,23.237401503138244,30.943138990551233,31.197666345785063,93.39145584963262,96.34004089049994,499
2,True,10000,500,3904124.765128005,12898.416354320943,149.90568393841386,25.548117575916894,39.1418270652808,38.764448771457204,False,False,23.239518981426954,30.948332355668146,31.21394927923878,93.35287446156144,96.31835159845649,499
3,True,10000,500,3904124.76557319,12896.880431100726,149.3468009866774,25.54615957938687,39.14482710766817,38.76906533104346,False,False,23.22424901649356,30.914099266131718,31.210915961613257,93.2271848898381,96.20251684915273,499
4,True,10000,500,3904124.765943876,12897.397975903004,149.03834415599704,25.547814893280577,39.142290805583286,38.767509611952775,False,False,23.236628738231957,30.941912438720465,31.21152302871148,93.29225709661841,96.34239533450453,499
5,True,10000,500,3904124.766307932,12896.95127028972,148.6541680060327,25.547689583734844,39.14248279565204,38.76885238388343,False,False,23.23096396867186,30.93214239925146,31.21229587122798,93.25622450560331,96.34855789598076,499
6,True,10000,500,3904124.766675338,12896.623783744872,148.29724188894033,25.54774858087361,39.142392404340974,38.769836849099114,False,False,23.23640650138259,30.935162367920082,31.211862651010353,93.2728077750653,96.33829369675367,499
7,True,10000,500,3904124.767032204,12896.351356990635,147.95977575704455,25.5478789203078,39.14219270880872,38.77065583584372,False,False,23.235969012603164,30.94526908049981,31.218702749659617,93.3054446708411,96.34544641245155,499
8,True,10000,500,3904124.76742741,12896.157168783247,147.6153489202261,25.548179999725495,39.14173142708187,38.77123963798395,False,False,23.239751462824643,30.942325635502737,31.208439264446497,93.35885345935822,96.32562882266937,499
9,True,10000,500,3904124.767780226,12895.723904017359,147.24448369815946,25.548054950539477,39.14192301276868,38.77254225675821,False,False,23.237058776430786,30.944345674167078,31.218979352464277,93.34398261271417,96.31211554165928,499
10,True,10000,500,3904124.768134633,12895.489974878728,146.91690588369966,25.54824262323653,39.14163548339267,38.77324560555925,False,False,23.240346228703856,30.94261232763529,31.202709612747032,93.37436961941421,96.33261057548224,499
11,True,10000,500,3904124.768486189,12893.78845365718,146.42105158418417,25.545826457060112,39.145337563491886,38.77836229414641,False,False,23.21965422015637,30.91725256914894,31.212882759670418,93.22154549881816,96.15563416853546,499
12,True,10000,500,3904124.768836385,12894.275378901511,146.09506586566567,25.547455537145986,39.142841389664056,38.77689791069097,False,False,23.21919403038919,30.914329302807648,31.254065688699484,93.22883663699031,96.50578489061445,499
13,True,10000,500,3904124.769187681,12893.979842308909,145.75519924983382,25.547544374867886,39.14270527635286,38.777786696963354,False,False,23.230971535667777,30.937512249996264,31.213199254125357,93.23061807081103,96.34309271350502,499
14,True,10000,500,3904124.769575987,12893.63958593458,145.37648297846317,25.547621448809853,39.14258718776286,38.778810022380355,False,False,23.231106577441096,30.927622690796852,31.212319619953632,93.24564770795405,96.35229391511528,499
15,True,10000,500,3904124.769918533,12893.504648003727,145.08765703067183,25.547929841629372,39.14211469183457,38.77921586489783,False,False,23.235773667693138,30.94261900211374,31.218092578152817,93.33490924909711,96.29088584799318,499
16,True,10000,500,3904124.770266889,12893.19634065032,144.74866073578596,25.547991342514095,39.14202046623964,38.780143169275625,False,False,23.239266243763268,30.950138966242474,31.155013324071962,93.46376676112413,96.09352483879773,499
17,True,10000,500,3904124.770613445,12894.069162197411,144.582643173635,25.550073184416384,39.13883114080176,38.77751807520085,False,False,23.23953900486231,30.949192121624947,31.154053285717964,93.46311721019447,96.51493169367313,499
18,True,10000,500,3904124.770957662,12893.286370206624,144.13995714858174,25.549391609334755,39.13987523815005,38.77987238035629,False,False,23.237406508997083,30.94661235809326,31.180963075409334,93.49285298958421,96.44495989661664,499
19,True,10000,500,3904124.771349457,12892.935253679752,143.75787181779742,25.549453671066043,39.139780164163305,38.78092848230939,False,False,23.237471585161984,30.947082365552586,31.181113018343847,93.49214462563396,96.45197249948978,499
20,True,10000,500,3904124.771693164,12892.752515152097,143.45059404149652,25.54970324871864,39.13939783430368,38.78147815312357,False,False,23.23933399748057,30.94811566794912,31.15819673985243,93.46967600286007,96.48074801079929,499
21,True,10000,500,3904124.77203954,12892.448408994824,143.11321778222919,25.54976992226973,39.13929569785983,38.782392927875456,False,False,23.23945378884673,30.948768990735214,31.15711035206914,93.46836935728788,96.48786274250597,499
22,True,10000,500,3904124.772379126,12892.226811964065,142.80027197673917,25.549952985946543,39.139015267465986,38.78305953599862,False,False,23.23930407874286,30.95067897811532,31.153833338369925,93.46232800744474,96.50111362338066,499
23,True,10000,500,3904124.772712652,12891.39685081318,142.35797710716724,25.54917609961125,39.140205386709745,38.7855564285464,False,False,23.23854877613485,30.94542569791277,31.180073351909716,93.50813394412398,96.4119900111109,499
24,True,10000,500,3904124.773087298,12891.556438989937,142.10117980837822,25.550010539442003,39.13892710362222,38.785076291313615,False,False,23.239421541802585,30.95112896213929,31.153766593585413,93.46296484582126,96.50780690833926,499
