name,count,total_us,percent_kernel_time,mean_us,p50_us,p90_us,max_us
MoE expert GEMM,15360,1215871.0620000053,29.620989548706,79.15827226562534,69.8595,113.88,498.203
Communication / fused allreduce,32760,739283.3859999662,18.010384599676314,22.56664792429689,13.039,45.8791,454.082
Dense GEMM / linear,48000,710176.9429999897,17.301294901888685,14.795352979166452,11.399,22.319,131.72
Attention / MLA,23904,673131.2859999896,16.398790472663322,28.15977602074923,14.359,69.0,75.319
DSA index / top-k,11904,283727.52700000076,6.91215571667844,23.83463768481189,4.959,42.56,608.244
MoE routing / sorting,37440,205647.60400000834,5.0099765667427745,5.492724465812189,5.039,7.119,12.839
Tensor / elementwise / indexing,16512,157356.57100000192,3.8335128540227155,9.529831092538876,4.319,17.959,127.52
Norm / RoPE / KV write,14304,84935.6689999989,2.069198488549363,5.937896322706859,4.479,9.839,15.4
Quantization / cast,3936,31342.604999999945,0.7635669637593651,7.96306021341462,5.279,11.0395,44.519
Sampling / speculative bookkeeping,528,3289.1409999999964,0.08012988731301829,6.229433712121206,4.479,11.159,49.96
