round,tp_rank,name,count,total_us,percent_kernel_time,mean_us,p50_us,p90_us,max_us
profile_01,0,verify,21924,428331.2129999966,83.58806134028285,19.537092364531865,7.399,57.2397,448.082
profile_01,0,draft,2340,49952.27400000004,9.74809590446226,21.34712564102566,5.519,55.244,321.562
profile_01,0,draft_extend,840,23998.239000000012,4.683212926606834,28.569332142857156,5.279,66.9679,410.002
profile_01,0,unattributed,477,10149.363000000008,1.9806298286480575,21.277490566037752,4.199,11.991000000000003,602.643
profile_01,1,verify,21924,427786.48799999163,83.57881177689355,19.512246305418337,7.319,57.22770000000003,276.921
profile_01,1,draft,2340,49921.91199999999,9.753496670962464,21.334150427350423,5.479,59.163,304.322
profile_01,1,draft_extend,840,23888.519999999997,4.66722108508625,28.438714285714283,5.359,67.49900000000001,383.922
profile_01,1,unattributed,477,10239.129000000003,2.0004704670577373,21.465679245283024,4.359,12.055600000000002,606.803
profile_01,2,verify,21924,428777.81699999043,83.5845687378921,19.557462917350414,9.439,57.323000000000086,410.563
profile_01,2,draft,2340,49992.59100000001,9.745394918191208,21.36435512820513,5.539,56.399,314.282
profile_01,2,draft_extend,840,23746.394999999993,4.629045875185006,28.269517857142848,5.479,67.48400000000001,497.523
profile_01,2,unattributed,477,10470.012,2.040990468731676,21.9497106918239,4.399,12.703400000000006,608.244
profile_01,3,verify,21924,428876.85799999454,83.60444230179725,19.56198038679048,8.099,57.479,426.083
profile_01,3,draft,2340,50028.03399999997,9.752370182737632,21.379501709401698,5.4595,56.3591,309.321
profile_01,3,draft_extend,840,23792.313999999988,4.6380286227504195,28.32418333333332,5.439,65.1271,498.203
profile_01,3,unattributed,477,10286.131000000005,2.0051588927146993,21.564215932914056,4.319,11.9994,602.204
profile_02,0,verify,21924,429730.81999999203,83.64777427358014,19.600931399379313,7.399,56.94700000000003,430.563
profile_02,0,draft,2340,49664.949999999924,9.66735996945417,21.224337606837576,5.4990000000000006,54.73589999999999,342.841
profile_02,0,draft_extend,840,24099.958,4.691094408324726,28.690426190476188,5.459,69.532,495.243
profile_02,0,unattributed,477,10242.771,1.9937713486409672,21.473314465408805,4.319,13.159000000000008,602.964
profile_02,1,verify,21924,430028.7399999974,83.63879339840949,19.614520160554523,7.319,58.82700000000003,454.082
profile_02,1,draft,2340,49724.83499999999,9.671272671996356,21.249929487179482,5.4190000000000005,59.279,269.361
profile_02,1,draft_extend,840,24086.157999999974,4.684657106228431,28.673997619047586,5.359500000000001,71.11110000000004,382.962
profile_02,1,unattributed,477,10310.127999999997,2.005276823365717,21.61452410901467,4.199,13.1594,606.564
profile_02,2,verify,21924,429146.8959999942,83.61389689189204,19.574297390986782,9.439,56.85530000000006,264.321
profile_02,2,draft,2340,49707.23000000008,9.684831098024826,21.242405982906018,5.479,51.92399999999964,308.722
profile_02,2,draft_extend,840,23986.279000000006,4.673425994268831,28.555094047619054,5.4990000000000006,69.652,397.522
profile_02,2,unattributed,477,10407.884999999997,2.0278460158143172,21.819465408805023,4.319,12.775000000000002,606.324
profile_02,3,verify,21924,429289.9729999956,83.61903571641555,19.580823435504268,9.119,57.26800000000003,268.721
profile_02,3,draft,2340,49777.91099999996,9.695965849632351,21.27261153846152,5.519,55.76389999999999,299.721
profile_02,3,draft_extend,840,24010.076,4.676790814766766,28.58342380952381,5.559,66.644,496.324
profile_02,3,unattributed,477,10309.894000000011,2.008207619185338,21.614033542976962,4.319,12.863000000000005,607.603
