tag,arm,isl,osl,concurrency,completed,duration_s,req_throughput,out_tok_per_s,total_tok_per_s,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,itl_p50_ms,e2e_p50_ms,e2e_p90_ms,e2e_p99_ms,cache_hit_rate
base_p50_isl7400_osl320_c1,p50,7400,320,1,10,38.75788338528946,0.2580120255946561,82.56384819028995,,1046.6882975306362,1058.4057807922363,1066.9491910003126,9.125963203772482,9.861302395938052,10.067998226848797,25.86731710471213,3967.0051499269903,4192.589642899111,4258.84326626081,
base_p50_isl7400_osl320_c8,p50,7400,320,8,80,64.71543794916943,1.2361810803603892,395.5779457153246,,2012.353072874248,2685.1404923480013,4232.936455439772,13.545522722488613,16.296034198703953,22.312230288246667,28.306478168815374,6270.882507553324,7817.8155390545735,9654.434646507723,
base_p50_isl7400_osl320_c16,p50,7400,320,16,160,75.31432694802061,2.124429792892215,679.8175337255088,,1977.7703415602446,2557.0984425954516,3333.100380906834,16.564378952082002,24.474384612476797,28.3655766441507,30.969290994107723,7089.553646277636,10037.53436235711,11366.930043473836,
base_p50_isl7400_osl320_c24,p50,7400,320,24,240,102.84521081671119,2.3336040452843596,746.753294490995,,2276.028403081,5608.039332879707,7225.920425406642,21.70436184847476,31.324310552293795,36.3875963409405,32.97176165506244,10312.637077411637,13696.449975296855,15943.841115706595,
base_p90_isl15500_osl3300_c1,p90,15500,3300,1,10,294.1773504582234,0.033993099687734514,112.1772289695239,,1327.5715885683894,1654.0206902660423,2954.264896726236,8.14077978311194,9.781019316667763,9.851803343979375,25.761387776583433,29152.549099177122,33586.047875275835,33903.872766117565,
base_p90_isl15500_osl3300_c8,p90,15500,3300,8,80,435.25172617984936,0.1838016834583291,606.545555412486,,4522.624656790867,5968.438722286373,6885.071249706671,11.86594617685456,13.235667401842298,15.634625383025181,28.581126360222697,42588.293615030125,49210.52784072236,55856.8000382371,
base_p90_isl15500_osl3300_c16,p90,15500,3300,16,160,517.4658800689504,0.30919913015072725,1020.3571294973999,,3208.4591824095696,6232.510172575712,7870.398850576019,14.032588598227212,17.128251404855792,18.798340556250444,31.478164717555046,50259.409038349986,60914.7458629217,65725.96517125145,
base_p90_isl15500_osl3300_c24,p90,15500,3300,24,240,594.71602123091,0.40355395084743373,1331.7280377965312,,2690.71071408689,5848.133184202015,7377.457931051031,16.51764602693112,20.786991545582705,23.83212738219567,34.26995500922203,57663.1266574841,71965.84470081143,81354.18325681235,
base_p99_isl23500_osl17000_c1,p99,23500,17000,1,10,1258.3270234102383,0.007947059718147539,135.10001520850815,,1440.3145604301244,1872.5157195236534,1908.6653020372614,7.131293250566806,7.8228075197002145,8.234621613044059,26.224829256534576,122380.53633179516,134511.1231205985,141626.320954673,
base_p99_isl23500_osl17000_c8,p99,23500,17000,8,80,1599.3625186509453,0.050019929232479214,850.3387969521466,,5368.103826185688,7284.18104555458,8558.463777909054,8.860929625436903,9.770604765641593,11.048936079848692,28.86532200500369,155092.5373309292,171834.20816082507,195106.46398748725,
base_p99_isl23500_osl17000_c16,p99,23500,17000,16,160,1837.2002816302702,0.08708903520198753,1480.513598433788,,4044.7258660569787,6229.202859057113,7839.192819287999,10.154662360981522,11.495822612557253,12.688333223306174,31.70625795610249,176184.90149010904,202216.4748343173,219990.76993376945,
base_p99_isl23500_osl17000_c24,p99,23500,17000,24,240,2107.9707093271427,0.11385357440597797,1935.5107649016254,,3522.3107060883194,5897.489529103039,9206.010684040366,11.567225885712878,13.455666212651677,16.771174562297603,35.46625701710582,200049.47163001634,232657.041566493,288193.62688614515,
