Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),289.50,0.00,228546.52,,,,,,267.86,,476.25,501.61,572.85,547.26
Active Decode Throughput Per User (tokens/sec/user),96.53,0.00,91934.63,,,,,,95.35,,119.25,122.22,129.23,194.81
Active Prefill Throughput (tokens/sec),26845.44,2993.00,175928.35,,,,,,23021.64,,45240.56,57970.24,95912.65,17918.37
Active Prefill Throughput Per User (tokens/sec/user),13382.05,2297.68,102085.40,,,,,,8032.01,,23893.14,45241.34,91131.59,16297.24
Active Total Throughput (tokens/sec),20450.79,97.46,176257.92,,,,,,18887.11,,39972.42,51699.56,94982.51,19356.18
Credit Drop Latency (ms),3.55,0.85,25.63,184.71,0.85,0.91,1.06,1.28,2.03,2.67,4.97,14.76,24.98,5.30
Credit-to-Start Latency (ms),1.83,0.62,25.86,414.30,0.64,0.77,0.82,0.90,1.09,1.46,2.83,5.02,19.81,2.96
E2E Output Token Throughput (tokens/sec/user),35.69,0.31,119.09,8100.50,0.45,1.22,2.35,7.83,26.32,59.81,80.56,91.21,108.99,30.79
Effective Concurrency,5.14,0.00,8.00,,,,,,5.00,,7.00,8.00,8.00,1.72
Effective Decode Concurrency,2.89,0.00,8.00,,,,,,3.00,,5.00,6.00,7.00,1.66
Effective Decode Throughput (tokens/sec),267.91,0.00,228546.52,,,,,,254.20,,470.69,500.05,572.16,531.92
Effective Decode Throughput Per User (tokens/sec/user),89.33,0.00,91934.63,,,,,,93.92,,118.83,122.03,129.04,189.11
Effective Latency (CO-aware) (ms),21061.39,566.03,176313.75,4780935.13,1082.75,2178.32,3424.98,6694.17,14770.18,24796.10,43120.25,68160.23,126272.21,23642.09
Effective Prefill Concurrency,2.25,0.00,8.00,,,,,,2.00,,5.00,6.00,8.00,2.11
Effective Prefill Throughput (tokens/sec),19601.69,0.00,175928.35,,,,,,18297.21,,39615.79,51502.78,93992.36,19401.63
Effective Prefill Throughput Per User (tokens/sec/user),9771.15,0.00,102085.40,,,,,,5964.07,,19321.62,32734.40,89263.37,15139.86
Effective Total Throughput (tokens/sec),19869.60,0.00,176257.92,,,,,,18395.05,,39881.16,51699.56,94356.03,19379.43
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,367.22,6.00,5470.00,83358.00,7.26,10.00,15.00,35.50,104.00,327.50,972.60,1824.60,3498.10,701.90
HTTP Chunks Sent,1.00,1.00,1.00,227.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
