node,ep_size,concurrency,mem_fraction_static,max_running_requests_set,expandable_segments,status,local_batch,tpot_ms,output_tokens_per_second,decode_seconds,launch_wall_seconds,kv_pool_tokens,realized_accept_length,verify_iterations,iteration
254,1,64,0.85,True,False,pass,16,17.55282599469647,3646.1365263540697,175.52825994696468,265,1281024,3.6134393063583814,2768,hc_ep1_c64_mf0p85_mrr_yihou
254,1,96,0.85,True,False,pass,24,21.935839933156966,4376.399549437442,219.35839933156967,310,1921536,3.6134393063583814,2768,hc_ep1_c96_mf0p85_mrr_yihou
254,1,128,0.88,True,True,pass,32,25.46252121636644,5026.996302225011,254.6252121636644,347,2562048,3.6134393063583814,2768,hc_ep1_c128_mf0p88_mrr_xs_yihou
254,1,128,0.88,True,False,pass,32,25.530143473483623,5013.68118565196,255.30143473483622,397,2562048,3.6134393063583814,2768,hc_ep1_c128_mf0p88_mrr_yihou
254,1,128,0.88,False,False,process_failed_no_result,,,,,895,,,,hc_ep1_c128_mf0p88_yihou
254,1,160,0.97,False,False,process_failed_no_result,,,,,84,,,,hc_ep1_c160_mf0p97_yihou
254,1,160,0.974,True,False,process_failed_no_result,,,,,88,,,,hc_ep1_c160_mf0p974_mrr_yihou
254,1,160,0.978,True,False,process_failed_no_result,,,,,86,,,,hc_ep1_c160_mf0p978_mrr_yihou
254,1,160,0.98,True,True,process_failed_no_result,,,,,83,,,,hc_ep1_c160_mf0p98_mrr_xs_yihou
254,1,160,0.98,True,False,process_failed_no_result,,,,,86,,,,hc_ep1_c160_mf0p98_mrr_yihou
254,1,160,0.98,False,False,process_failed_no_result,,,,,88,,,,hc_ep1_c160_mf0p98_yihou
254,4,64,0.85,True,False,pass,16,17.947235371079294,3566.0088407338485,179.47235371079296,263,1281024,3.6134393063583814,2768,hc_ep4_c64_mf0p85_mrr_yihou
254,4,96,0.85,True,False,pass,24,22.16188762532547,4331.760977358991,221.6188762532547,303,1921536,3.6134393063583814,2768,hc_ep4_c96_mf0p85_mrr_yihou
254,4,128,0.88,True,False,pass,32,25.781101753469557,4964.87703372778,257.81101753469557,341,2562048,3.6134393063583814,2768,hc_ep4_c128_mf0p88_mrr_yihou
254,4,128,0.88,False,False,process_failed_no_result,,,,,79,,,,hc_ep4_c128_mf0p88_yihou
254,4,160,0.97,False,False,process_failed_no_result,,,,,77,,,,hc_ep4_c160_mf0p97_yihou
254,4,160,0.9772,True,False,process_failed_no_result,,,,,76,,,,hc_ep4_c160_mf0p9772_mrr_yihou
254,4,160,0.978,True,False,process_failed_no_result,,,,,74,,,,hc_ep4_c160_mf0p978_mrr_yihou
254,4,160,0.98,True,True,process_failed_no_result,,,,,78,,,,hc_ep4_c160_mf0p98_mrr_xs_yihou
254,4,160,0.98,True,False,process_failed_no_result,,,,,77,,,,hc_ep4_c160_mf0p98_mrr_yihou
267,1,64,0.85,True,False,pass,16,17.51902029979974,3653.172318130802,175.1902029979974,265,1281024,3.6134393063583814,2768,hc_ep1_c64_mf0p85_mrr_yihou
267,1,96,0.85,True,False,pass,24,21.999446921702475,4363.74606787482,219.99446921702474,311,1921536,3.6134393063583814,2768,hc_ep1_c96_mf0p85_mrr_yihou
267,1,128,0.88,True,False,pass,32,25.791760190110654,4962.825299883142,257.91760190110654,363,2562048,3.6134393063583814,2768,hc_ep1_c128_mf0p88_mrr_yihou
267,1,128,0.88,False,False,process_failed_no_result,,,,,87,,,,hc_ep1_c128_mf0p88_yihou
267,1,160,0.97,False,False,process_failed_no_result,,,,,82,,,,hc_ep1_c160_mf0p97_yihou
267,1,160,0.9735,True,False,process_failed_no_result,,,,,81,,,,hc_ep1_c160_mf0p9735_mrr_yihou
267,1,160,0.974,True,False,process_failed_no_result,,,,,86,,,,hc_ep1_c160_mf0p974_mrr_yihou
267,1,160,0.978,True,False,process_failed_no_result,,,,,81,,,,hc_ep1_c160_mf0p978_mrr_yihou
267,1,160,0.98,True,True,process_failed_no_result,,,,,82,,,,hc_ep1_c160_mf0p98_mrr_xs_yihou
267,1,160,0.98,True,False,process_failed_no_result,,,,,85,,,,hc_ep1_c160_mf0p98_mrr_yihou
267,4,64,0.85,True,False,pass,16,17.976933498494326,3560.117747855071,179.76933498494327,261,1281024,3.6134393063583814,2768,hc_ep4_c64_mf0p85_mrr_yihou
267,4,96,0.85,True,False,pass,24,22.374876529164613,4290.526469492176,223.74876529164612,305,1921536,3.6134393063583814,2768,hc_ep4_c96_mf0p85_mrr_yihou
267,4,128,0.88,True,True,pass,32,25.971900250483305,4928.40334228598,259.71900250483304,342,2562048,3.6134393063583814,2768,hc_ep4_c128_mf0p88_mrr_xs_yihou
267,4,128,0.88,True,False,pass,32,25.91874384433031,4938.51093898595,259.1874384433031,378,2562048,3.6134393063583814,2768,hc_ep4_c128_mf0p88_mrr_yihou
267,4,128,0.88,False,False,process_failed_no_result,,,,,1015,,,,hc_ep4_c128_mf0p88_yihou
267,4,160,0.97,False,False,process_failed_no_result,,,,,75,,,,hc_ep4_c160_mf0p97_yihou
267,4,160,0.9772,True,False,process_failed_no_result,,,,,71,,,,hc_ep4_c160_mf0p9772_mrr_yihou
267,4,160,0.978,True,False,process_failed_no_result,,,,,73,,,,hc_ep4_c160_mf0p978_mrr_yihou
267,4,160,0.98,True,True,process_failed_no_result,,,,,75,,,,hc_ep4_c160_mf0p98_mrr_xs_yihou
267,4,160,0.98,True,False,process_failed_no_result,,,,,76,,,,hc_ep4_c160_mf0p98_mrr_yihou
267,4,160,0.98,False,False,process_failed_no_result,,,,,77,,,,hc_ep4_c160_mf0p98_yihou
