Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),2615.45,0.00,3120220.35,,,,,,379.98,,3116.59,3696.22,83190.65,12029.60
Active Decode Throughput Per User (tokens/sec/user),79.29,0.00,127131.36,,,,,,11.81,,97.96,122.67,2181.52,356.01
Active Prefill Throughput (tokens/sec),327789.29,433.53,986229.11,,,,,,310785.03,,530969.70,610491.57,729301.57,148433.92
Active Prefill Throughput Per User (tokens/sec/user),16001.36,433.53,194362.69,,,,,,12232.39,,27361.36,40640.99,80407.31,14606.35
Active Total Throughput (tokens/sec),328271.50,88.57,1591644.50,,,,,,311984.04,,533126.55,612530.96,732125.78,150417.50
Credit-to-Start Latency (ms),2.08,0.29,112.29,20203.94,0.50,0.58,0.63,0.75,0.96,1.40,2.30,4.20,35.41,6.39
Decode Duration (ms),12979.70,0.00,756292.98,126214598.56,6.04,108.27,757.74,2502.34,6238.52,14235.27,28625.22,48398.87,109874.55,24681.06
E2E Output Token Throughput (tokens/sec/user),37.22,0.07,124.53,361954.69,0.71,4.38,8.66,20.06,36.49,53.52,65.27,71.51,87.92,21.36
Effective Concurrency,61.63,0.00,105.00,,,,,,65.00,,82.00,87.00,98.00,19.33
Effective Decode Concurrency,34.68,0.00,72.00,,,,,,35.00,,49.00,53.00,61.00,12.02
Effective Decode Throughput (tokens/sec),2598.28,0.00,3120220.35,,,,,,371.45,,3111.07,3688.56,83025.51,11991.90
Effective Decode Throughput Per User (tokens/sec/user),78.77,0.00,127131.36,,,,,,11.49,,97.77,122.16,2176.20,354.90
Effective Latency (CO-aware) (ms),23073.09,309.76,762273.71,224362761.24,2725.14,4188.15,5352.28,8329.08,15163.94,27364.53,48077.39,65897.61,131210.53,28119.88
Effective Prefill Concurrency,26.96,0.00,76.00,,,,,,27.00,,46.00,50.00,63.00,13.84
Effective Prefill Throughput (tokens/sec),324528.34,0.00,986229.11,,,,,,308754.93,,529844.99,608849.38,729301.57,151233.97
Effective Prefill Throughput Per User (tokens/sec/user),15842.18,0.00,194362.69,,,,,,12138.44,,27244.14,40474.06,80397.61,14620.02
Effective Total Throughput (tokens/sec),327126.61,0.00,1591644.50,,,,,,311440.72,,532688.07,611979.69,732125.78,151396.96
Full Decode Duration (ms),12980.38,0.02,756293.17,126221262.08,7.01,119.52,758.19,2502.66,6238.66,14235.69,28625.52,48399.36,109875.11,24680.98
Full-Response Inter Token Latency (ms),13.63,0.00,397.94,132424.09,0.42,1.40,7.19,11.15,13.35,15.39,18.28,22.16,38.25,9.83
Full-Response Output Token Throughput Per User (tokens/sec/user),325.22,2.51,617072.33,3160799.21,26.15,45.12,54.69,64.97,74.93,89.65,139.12,713.12,2404.71,8433.75
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,264.28,1.00,16356.00,2569863.00,5.00,15.00,32.00,56.00,124.00,287.00,575.00,969.85,2162.93,508.68
HTTP Chunks Sent,1.00,1.00,1.00,9724.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,3.85,75.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.08
HTTP Connection Overhead (ms),0.01,0.00,3.85,75.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.08
HTTP Connection Reused (ratio),0.98,0.00,1.00,9555.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.13
HTTP Data Received (KB),67.79,1.04,4449.79,659207.64,1.51,4.81,8.54,14.53,32.19,73.57,146.71,247.84,547.65,130.59
HTTP Data Sent (KB),473.25,0.62,3276.11,4601913.68,2.91,11.52,14.31,139.99,290.93,564.07,1065.77,1762.98,2795.94,553.34
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23070.95,308.06,762271.76,224341935.56,2720.61,4186.98,5349.97,8328.22,15158.31,27363.33,48075.12,65896.72,131209.29,28119.58
HTTP Receiving (ms),12980.43,0.00,756293.01,126221680.44,6.39,119.34,767.72,2502.38,6238.56,14235.30,28625.27,48398.92,109875.02,24680.93
HTTP Sending (ms),0.20,0.05,6.13,1912.43,0.07,0.14,0.14,0.16,0.18,0.20,0.23,0.32,0.63,0.13
HTTP Total Time (ms),23070.96,308.06,762271.76,224342011.30,2720.61,4186.98,5349.97,8328.22,15158.31,27363.33,48075.12,65896.72,131209.29,28119.59
HTTP Waiting (TTFB) (ms),10090.33,178.06,198189.20,98118342.70,1116.96,2136.83,2591.15,3550.64,5461.34,11483.84,23072.72,33438.85,57828.16,12802.33
Input Sequence Length (tokens),121481.26,151.00,841134.00,1181283772.00,726.00,2967.00,3669.30,35901.75,74580.50,144680.75,273857.20,452565.50,718400.30,142083.88
Inter Chunk Latency (ms),48.10,0.00,9617.54,126214598.56,0.00,0.77,1.13,1.46,2.08,44.24,59.75,139.61,888.40,199.43
Inter Token Latency (ms),13.59,0.00,397.89,132059.84,0.40,1.25,7.13,11.14,13.33,15.37,18.20,22.01,38.20,9.82
OSL Mismatch Diff % (%),-2.30,-99.96,0.00,-22392.48,-96.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.01
Output Sequence Length (tokens),973.62,1.00,59903.00,9467522.00,7.00,55.00,110.00,196.00,452.00,1058.00,2141.50,3599.55,8028.08,1887.63
Output Token Count (tokens),973.62,1.00,59903.00,9467522.00,7.00,55.00,110.00,196.00,452.00,1058.00,2141.50,3599.55,8028.08,1887.63
Output Token Throughput Per User (tokens/sec/user),451.78,2.51,835014.45,4387668.05,26.18,45.42,54.95,65.03,75.00,89.68,139.45,764.65,2446.17,12488.70
Prefill Throughput Per User (tokens/sec/user),23149.95,4.69,238812.52,225110078.13,89.66,300.68,818.20,3482.32,13170.76,31931.14,58246.84,82727.41,133375.66,28392.47
Request Latency (ms),23070.73,308.08,762271.83,224339750.64,2720.64,4187.03,5350.02,8326.19,15158.37,27363.35,48075.16,65896.75,131209.33,28119.69
Time to First Output Token (ms),13664.24,258.03,183711.96,10849407.36,1502.85,2534.16,2962.36,4172.81,7375.99,16031.82,32624.71,44070.12,85750.59,17104.13
Time to First Token (ms),10091.03,218.24,198189.44,98125152.08,1117.26,2137.39,2591.55,3551.18,5461.58,11484.01,23072.97,33439.14,57828.58,12802.42
Time to Second Token (ms),57.82,0.00,4829.55,561860.41,0.00,0.72,1.36,2.05,3.33,54.73,77.61,170.16,1005.68,211.40
