JobID|State|Start|End|Elapsed|ExitCode|NodeList
31644|PREEMPTED|2026-09-23T15:29:32|2026-09-23T19:52:13|04:22:41|0:0|smci355-ccs-aus-n02-21,smci355-ccs-aus-n10-29
31644.batch|COMPLETED|2026-09-23T15:29:32|2026-09-23T19:52:14|04:22:42|0:0|smci355-ccs-aus-n02-21
31644.extern|COMPLETED|2026-09-23T15:29:32|2026-09-23T19:47:29|04:17:57|0:0|smci355-ccs-aus-n02-21,smci355-ccs-aus-n10-29
31644|PREEMPTED|2026-09-23T19:54:31|2026-09-23T20:29:43|00:35:12|0:0|smci355-ccs-aus-n02-[29,33]
31644.batch|COMPLETED|2026-09-23T19:54:31|2026-09-23T20:29:44|00:35:13|0:0|smci355-ccs-aus-n02-29
31644.extern|COMPLETED|2026-09-23T19:54:31|2026-09-23T20:25:14|00:30:43|0:0|smci355-ccs-aus-n02-[29,33]
31644|PREEMPTED|2026-09-23T20:32:32|2026-09-23T21:08:14|00:35:42|0:0|smci355-ccs-aus-n04-[25,29]
31644.batch|COMPLETED|2026-09-23T20:32:32|2026-09-23T21:08:15|00:35:43|0:0|smci355-ccs-aus-n04-25
31644.extern|COMPLETED|2026-09-23T20:32:32|2026-09-23T21:03:43|00:31:11|0:0|smci355-ccs-aus-n04-[25,29]
31644|RUNNING|2026-09-23T21:10:43|Unknown|00:07:47|0:0|smci355-ccs-aus-n04-[25,29]
31644.batch|RUNNING|2026-09-23T21:10:43|Unknown|00:07:47|0:0|smci355-ccs-aus-n04-25
31644.extern|RUNNING|2026-09-23T21:10:43|Unknown|00:07:47|0:0|smci355-ccs-aus-n04-[25,29]
