rid,session,conversation,trace,turn,source_kind,agent_depth,start_ns,p_rank,d_rank,input_tokens,output_tokens,device_tokens,host_tokens,miss_tokens,ttft_ms,p_queue_ms
d70664b9-5909-41e5-a9cc-9d1664e40e20,19a51e02-e410-4749-9ee0-8ff273a4c129,3a67ec0b534b4e3e386c7e018b4b99ef06c2,3a67ec0b534b4e3e386c7e018b4b99ef06c2,0,weka_main,0,1790180770069407672,3,5,661,19,0,0,661,452.40504899999996,0.38153602508828044
f6d3a407-ebb4-4079-9a6f-a43c1cae6678,8441f562-bad6-47d2-9f76-c872b64fd406,35de830dbe1dbe90e6eaa36bc4814c7410ec,35de830dbe1dbe90e6eaa36bc4814c7410ec,0,weka_main,0,1790180770070106683,5,2,35028,285,0,0,35028,7822.749137,0.45122497249394655
0e450105-eca7-41a8-9031-d9a16d8cfd30,8b3dba77-c8df-4d1c-80ab-60a9a5628612,439e5f9ed3159bd826529d8ae5bd1536903f,439e5f9ed3159bd826529d8ae5bd1536903f,0,weka_main,0,1790180770070187482,3,6,408,19,0,0,408,862.591332,0.5055739893577993
a4a931d8-5765-4bc7-8132-70c8fe31494c,aba16cdb-1217-47f7-a82c-05d9c3514bde,457a7bf22f9e6961870d5b356ab2bd780fff,457a7bf22f9e6961870d5b356ab2bd780fff,0,weka_main,0,1790180770072045889,3,7,3919,32,0,0,3919,1488.668741,0.45992399100214243
b4e704bf-24ce-4a7b-8a07-a1a5678041a9,208a3f63-2ba2-44c2-9b1c-3bb528d211cc,3e119fc3136975fe98cfc7fa73500d6574a0,3e119fc3136975fe98cfc7fa73500d6574a0,0,weka_main,0,1790180770084888623,1,0,61758,1018,0,0,61758,14247.495882,0.4764339537359774
28270a2c-1721-4fb8-b386-e4cf0f7058f3,40e55a44-e23c-4b1a-be83-b9d9670c4d9e,43eb23b676fb4a9f9bccbc568dbca0d6b352,43eb23b676fb4a9f9bccbc568dbca0d6b352,1,weka_main,0,1790180770261720943,0,1,44157,483,0,0,44157,11226.652021,0.4666849854402244
deebe3cb-5f29-4c77-afbb-dfabde42aab3,94ff0d3d-1f89-4ae6-ad81-c8cd7fc60f83,3b1ee678c29a1a23e4a74d67354731cc27f3,3b1ee678c29a1a23e4a74d67354731cc27f3,1,weka_main,0,1790180770315389251,6,3,61423,181,0,0,61423,14304.042763,0.47329504741355777
a06993e2-b88e-46b3-bf6a-792a491818bd,19a51e02-e410-4749-9ee0-8ff273a4c129,3a67ec0b534b4e3e386c7e018b4b99ef06c2,3a67ec0b534b4e3e386c7e018b4b99ef06c2,1,weka_main,0,1790180770613721024,2,4,46207,242,0,0,46207,11622.638535,0.5110240308567882
05d4ad03-de7c-482c-b451-075bd1a2dcb9,8b3dba77-c8df-4d1c-80ab-60a9a5628612,439e5f9ed3159bd826529d8ae5bd1536903f,439e5f9ed3159bd826529d8ae5bd1536903f,1,weka_main,0,1790180771040087639,3,5,43194,778,0,0,43194,11196.389088,0.2989359782077372
55fcfc14-f7b1-4ba6-be52-717548cb33e1,c9fbd68d-63c8-4306-9eca-c1318751fd82,421c59c8640de974ad4d7644b9ea88738998,421c59c8640de974ad4d7644b9ea88738998,1,weka_main,0,1790180771124490833,4,6,42702,6482,0,0,42702,11111.667309,0.4475440364331007
