rid,session,conversation,trace,turn,source_kind,agent_depth,start_ns,p_rank,d_rank,input_tokens,output_tokens,device_tokens,host_tokens,miss_tokens,ttft_ms,p_queue_ms
2c24b096-a56c-4e6d-a724-372475b8eab1,01d35c81-ec6c-4842-96f9-4c7dc7c1a751,3e8b931fd474375ea08ae58872aea7a8e0f5,3e8b931fd474375ea08ae58872aea7a8e0f5,0,weka_main,0,1790218765710241175,1,5,280,13,0,0,280,332.16855899999996,0.3325340076116845
016ece19-5d3d-4329-adf7-529cc4bb8098,f058e6c9-88c3-44d4-ba10-a91302a0a612,3a066e6ad705e8792dec8c84610bbee401cb,3a066e6ad705e8792dec8c84610bbee401cb,0,weka_main,0,1790218765711738497,3,0,36548,126,0,0,36548,8612.547885,0.40895200800150633
8933fc1f-2b78-4063-96d1-9c11da0a9f30,0214a0a9-c3f5-4f08-866f-f9ca34247fde,3c1fbf5cf98484c7f9ef07f2d4b00e65d829,3c1fbf5cf98484c7f9ef07f2d4b00e65d829,0,weka_main,0,1790218765712304816,1,7,538,17,0,0,538,787.781698,0.2851250028470531
d0f3bc0e-2eea-451b-b3b2-70e57167392c,e987a982-2f41-4e76-b215-7a9cb1d6361a,457a7bf22f9e6961870d5b356ab2bd780fff,457a7bf22f9e6961870d5b356ab2bd780fff,0,weka_main,0,1790218765712359165,7,6,3920,32,0,0,3920,788.2963589999999,0.386412997613661
ec810ee8-d8c6-4058-ba10-8d75627b2784,abbeb977-caba-4962-93c9-5d930ee86900,43d1f727aec4d8b3f2aec42f816e7fabe193,43d1f727aec4d8b3f2aec42f816e7fabe193,0,weka_main,0,1790218765797484188,1,1,54213,554,0,0,54213,13996.013417999999,0.4408819950185716
3e93bf20-0062-4f5e-9599-876cc7b22eb9,d046e548-27ec-4835-86f5-59d3861774f9,3a67ec0b534b4e3e386c7e018b4b99ef06c2,3a67ec0b534b4e3e386c7e018b4b99ef06c2,1,weka_main,0,1790218765904476548,0,2,46208,242,0,0,46208,12120.170199999999,0.4691110079875216
c4546094-1ea1-45f9-96bb-98f24154b988,01d35c81-ec6c-4842-96f9-4c7dc7c1a751,3e8b931fd474375ea08ae58872aea7a8e0f5,3e8b931fd474375ea08ae58872aea7a8e0f5,1,weka_main,0,1790218766045243621,6,3,47555,385,0,0,47555,12003.255876,0.4724710015580058
62e613ee-7a77-4ca5-9de7-fc7657250e61,97374d21-50d2-4825-9279-497ead4b4833,3d8fcda6a4decdb4d4f56839db6eba041e60,3d8fcda6a4decdb4d4f56839db6eba041e60,1,weka_main,0,1790218766262564678,7,4,48963,491,0,0,48963,12113.951737,0.27570499514695257
79a87c6f-5c8e-4b06-89fa-70ccb010b98c,aa3ce1af-dfaf-47f5-8e20-d746714ab795,3cb1c6dc71a21714587287306ebe52748568,3cb1c6dc71a21714587287306ebe52748568,1,weka_main,0,1790218766330045914,4,5,55800,5679,0,0,55800,14150.249866999999,0.4257520049577579
4db24373-7529-4f1f-8b34-029888590082,0214a0a9-c3f5-4f08-866f-f9ca34247fde,3c1fbf5cf98484c7f9ef07f2d4b00e65d829,3c1fbf5cf98484c7f9ef07f2d4b00e65d829,1,weka_main,0,1790218766503549599,5,6,50688,2491,0,0,50688,13290.266840999999,0.38990301254671067
3987b96d-be49-4df4-9c41-ecc33ab4106d,e987a982-2f41-4e76-b215-7a9cb1d6361a,457a7bf22f9e6961870d5b356ab2bd780fff,457a7bf22f9e6961870d5b356ab2bd780fff,1,weka_main,0,1790218766623219510,2,7,67961,638,0,0,67961,15902.380819999998,0.48667099326848984
c3b09e03-fedd-4adc-aca7-cb20fbd1c983,f058e6c9-88c3-44d4-ba10-a91302a0a612,3a066e6ad705e8792dec8c84610bbee401cb,3a066e6ad705e8792dec8c84610bbee401cb,1,weka_main,0,1790218775611411834,3,0,41606,339,36544,0,5062,3381.5526339999997,0.5181400047149509
