rid,session,conversation,trace,turn,source_kind,agent_depth,start_ns,p_rank,d_rank,input_tokens,output_tokens,device_tokens,host_tokens,miss_tokens,ttft_ms,p_queue_ms
2f840300-3500-4446-bb34-d860efe8a8c5,f8e36a90-25ca-4721-85b3-17f39feb2af8,3d8fcda6a4decdb4d4f56839db6eba041e60,3d8fcda6a4decdb4d4f56839db6eba041e60,0,weka_main,0,1790186436853979462,7,5,346,11,0,0,346,424.924809,0.34649501321837306
0fc1f058-b4f4-4851-ac49-46e0504d1af7,4234c45b-f03e-4097-93cf-5f53f71d9a98,457a7bf22f9e6961870d5b356ab2bd780fff,457a7bf22f9e6961870d5b356ab2bd780fff,0,weka_main,0,1790186436855769001,1,6,3919,32,0,0,3919,735.305378,0.37028599763289094
a5572256-afbb-45b6-92c4-5dd45affc031,5dfb6a9e-0b62-40fa-b429-7b18b61a7b25,43eb23b676fb4a9f9bccbc568dbca0d6b352,43eb23b676fb4a9f9bccbc568dbca0d6b352,0,weka_main,0,1790186436855979248,7,0,665,21,0,0,665,711.052951,0.3669949946925044
4dfcb4b9-dad9-46d4-967a-1c266a3f1e9f,ff44f866-0389-47f7-83eb-0d09cb62699e,421c59c8640de974ad4d7644b9ea88738998,421c59c8640de974ad4d7644b9ea88738998,0,weka_main,0,1790186436857041675,7,7,470,21,0,0,470,686.0760819999999,0.39158499566838145
3a49dd56-0af5-49a1-add0-702fb4d40dd6,38cfdcfe-91d6-40d3-b999-27e68b14dbab,43d1f727aec4d8b3f2aec42f816e7fabe193,43d1f727aec4d8b3f2aec42f816e7fabe193,0,weka_main,0,1790186436941340779,2,1,54215,554,0,0,54215,12875.214199,0.4294849932193756
4d54d1c9-477e-490b-9896-88c6d98fe401,bcac3b8b-b4ef-4f73-a202-f50d93885fd1,3e38b72653e23622c6b15d8ca43aeb167917,3e38b72653e23622c6b15d8ca43aeb167917,1,weka_main,0,1790186436955792465,7,2,51010,1678,0,0,51010,12085.637265,0.3835650277324021
2e1e149a-d6bb-4d67-8989-a48c388b40bf,78f502c1-cc8c-4c4d-8e1f-e239f6d8f4f5,439e5f9ed3159bd826529d8ae5bd1536903f,439e5f9ed3159bd826529d8ae5bd1536903f,1,weka_main,0,1790186436987675081,3,3,43195,778,0,0,43195,10248.473135999999,0.4875139566138387
9ce17a82-1d69-41f6-8d74-61151450193e,f8e36a90-25ca-4721-85b3-17f39feb2af8,3d8fcda6a4decdb4d4f56839db6eba041e60,3d8fcda6a4decdb4d4f56839db6eba041e60,1,weka_main,0,1790186437281598179,6,4,48964,491,0,0,48964,10910.587276,0.4458139883354306
ae74eeed-28fb-496c-bbda-929d69aeecc9,ff44f866-0389-47f7-83eb-0d09cb62699e,421c59c8640de974ad4d7644b9ea88738998,421c59c8640de974ad4d7644b9ea88738998,1,weka_main,0,1790186437683002801,1,5,42699,6482,0,0,42699,11312.016348,0.3201360232196748
930b1507-3121-431f-acb0-930dfb016a63,5dfb6a9e-0b62-40fa-b429-7b18b61a7b25,43eb23b676fb4a9f9bccbc568dbca0d6b352,43eb23b676fb4a9f9bccbc568dbca0d6b352,1,weka_main,0,1790186437713609152,5,6,44156,483,0,0,44156,11281.850042,0.3934260457754135
796ab5b8-81f6-4eb9-849f-83446392d955,4234c45b-f03e-4097-93cf-5f53f71d9a98,457a7bf22f9e6961870d5b356ab2bd780fff,457a7bf22f9e6961870d5b356ab2bd780fff,1,weka_main,0,1790186437917684553,4,7,67960,638,0,0,67960,14724.392662,0.48777402844280005
d060bab9-40b0-43c7-87f6-d8b94f673e6d,6a64eb87-d14c-49d0-85e9-7855f8e79892,3e573575f7a9f0d647460e769c0a64e71d59,3e573575f7a9f0d647460e769c0a64e71d59,1,weka_main,0,1790186439062572104,0,0,45121,3518,0,0,45121,11973.21328,0.47483498929068446
e2849dc8-9584-4f9c-a3db-966e9503fbc1,a1b7902b-3b44-40b0-b713-b5de8181fd17,2654d8b687d9c22001c25155ff2a69840acc::fa:000,2654d8b687d9c22001c25155ff2a69840acc,13,weka_flat,1,1790186447429409248,6,1,295292,66,233792,59648,1852,2591.383539,9.158518980257213
88e09ca1-40ca-4e32-9ea2-cd70d934761d,78f502c1-cc8c-4c4d-8e1f-e239f6d8f4f5,439e5f9ed3159bd826529d8ae5bd1536903f::sa:subagent_001_7aa6c78b,439e5f9ed3159bd826529d8ae5bd1536903f,0,weka_subagent,1,1790186452033830116,3,2,14358,122,0,0,14358,2880.633023,0.431535008829087
67e70933-b012-4ad0-b334-11f66f5df060,4828fd9b-6204-4ff8-aae5-9266ba58aa74,12bd4c7c82ae413b035253cb800fc5312111::sa:subagent_002_847a9292,12bd4c7c82ae413b035253cb800fc5312111,4,weka_subagent,1,1790186452389253812,4,3,61136,276,43520,0,17616,4057.8374949999998,5.284206010401249
c10f9f4b-5fea-4bea-a739-687ff8f17b10,5dfb6a9e-0b62-40fa-b429-7b18b61a7b25,43eb23b676fb4a9f9bccbc568dbca0d6b352,43eb23b676fb4a9f9bccbc568dbca0d6b352,2,weka_main,0,1790186453841311462,5,4,46207,238,44096,0,2111,1742.053305,0.6787419551983476
d19342ff-7919-404b-8549-7e57a4e30a67,6e530143-26ba-4219-8147-66b3011d023a,117ebe75819d050f308a0a81647893abd02d::sa:subagent_004_6a00b9ff,117ebe75819d050f308a0a81647893abd02d,5,weka_subagent,1,1790186453895790816,6,5,62921,288,62592,0,329,1716.69038,0.8061400149017572
4f4272d4-02cf-402d-ac5a-d4e9b3105729,38cfdcfe-91d6-40d3-b999-27e68b14dbab,43d1f727aec4d8b3f2aec42f816e7fabe193,43d1f727aec4d8b3f2aec42f816e7fabe193,1,weka_main,0,1790186454065464611,2,6,56137,464,54208,0,1929,1547.192573,0.8358499617315829
858fbdff-bb11-4067-84d8-45ea5f498a0e,f8e36a90-25ca-4721-85b3-17f39feb2af8,3d8fcda6a4decdb4d4f56839db6eba041e60,3d8fcda6a4decdb4d4f56839db6eba041e60,2,weka_main,0,1790186454163655407,6,7,50632,881,48960,0,1672,2122.849846,0.641492020804435
