Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1743.36,0.00,3678612.51,,,,,,368.56,,2166.11,2737.73,56448.05,8431.26
Active Decode Throughput Per User (tokens/sec/user),78.21,0.00,272627.03,,,,,,15.28,,103.67,134.08,1960.29,367.97
Active Prefill Throughput (tokens/sec),190666.29,1037.04,663065.64,,,,,,182759.64,,268930.38,304353.66,376933.20,63001.53
Active Prefill Throughput Per User (tokens/sec/user),1748.29,508.03,59156.61,,,,,,1237.11,,3041.23,4838.42,9683.63,2121.67
Active Total Throughput (tokens/sec),192246.79,80.02,3360137.98,,,,,,184435.66,,270827.73,306658.98,379100.39,63496.21
Credit-to-Start Latency (ms),2.15,0.31,257.54,14371.59,0.51,0.64,0.70,0.82,1.00,1.38,2.25,3.59,34.49,8.11
Decode Duration (ms),13584.18,0.00,681690.91,90973223.42,6.01,300.13,1065.22,2599.77,5993.95,14363.77,29877.78,50051.04,122684.50,27072.10
E2E Output Token Throughput (tokens/sec/user),14.74,0.00,114.40,98730.97,0.12,0.56,1.01,2.64,8.10,20.91,39.33,50.58,72.91,16.74
Effective Concurrency,177.65,0.00,251.00,,,,,,188.00,,238.00,244.00,248.00,56.21
Effective Decode Concurrency,24.99,0.00,67.00,,,,,,24.00,,41.00,46.00,56.00,12.08
Effective Decode Throughput (tokens/sec),1732.73,0.00,3678612.51,,,,,,362.69,,2162.48,2731.55,56117.64,8406.59
Effective Decode Throughput Per User (tokens/sec/user),77.73,0.00,272627.03,,,,,,15.17,,103.34,133.97,1949.21,366.90
Effective Latency (CO-aware) (ms),96559.03,397.02,745791.72,646655809.78,4121.32,8110.28,12646.36,28398.00,68717.28,133824.20,218235.76,277167.20,442745.55,93746.27
Effective Prefill Concurrency,152.66,0.00,243.00,,,,,,164.00,,220.00,227.00,236.00,57.51
Effective Prefill Throughput (tokens/sec),189920.64,0.00,663065.64,,,,,,182586.29,,268510.48,304283.69,376933.20,63994.41
Effective Prefill Throughput Per User (tokens/sec/user),1741.46,0.00,59156.61,,,,,,1231.90,,3039.89,4836.18,9655.54,2120.33
Effective Total Throughput (tokens/sec),191653.37,0.00,3360137.98,,,,,,184342.58,,270517.96,306658.98,379100.39,64288.84
Full Decode Duration (ms),13585.17,0.02,681691.15,90979910.96,7.46,302.21,1066.21,2600.46,5994.08,14363.87,29877.99,50051.64,122684.96,27071.95
Full-Response Inter Token Latency (ms),15.37,0.00,447.75,102839.12,0.44,6.01,9.40,11.86,14.53,17.48,20.54,23.62,42.04,11.83
Full-Response Output Token Throughput Per User (tokens/sec/user),303.99,2.23,285049.17,2034633.31,23.78,42.34,48.69,57.22,68.84,84.29,106.40,166.30,2250.01,5833.85
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.70,1.00,16386.00,1725829.00,5.00,15.00,30.00,50.00,114.00,266.00,541.80,931.40,2307.32,562.46
