# AIPerf Server Metrics Export (CSV)
# aiperf_version: 0.12.0
# schema_version: 1.0
# benchmark_id: e3b6bc7d6e6b
# Note: Same benchmark_id and version appear in JSON and Parquet exports
#
Endpoint,Type,Metric,Unit,avg,min,max,std,p1,p5,p10,p25,p50,p75,p90,p95,p99,dp_rank,engine_type,gt,le,model_name,moe_ep_rank,phase,pid,pp_rank,tp_rank,endpoint,method,model,variant,worker_id,Description
10.245.154.168:29002,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of unique routing keys with active requests
10.245.157.237:29001,gauge,sglang:routing_keys_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,Number of unique routing keys with active requests
10.245.157.237:28000,gauge,infera_router_render_variant,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,,,,,,default,10.245.154.168:29002,"the --default-chat-template-kwargs this worker reported, which the router renders its requests with"
10.245.157.237:28000,gauge,infera_router_render_variant,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,,,,,,default,10.245.157.237:29001,"the --default-chat-template-kwargs this worker reported, which the router renders its requests with"
10.245.157.237:28000,gauge,infera_router_render_parity,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,,,,,glm5.2-mxfp4,,10.245.154.168:29002,"1 = this worker confirmed the router renders the prompt it does, 0 = DIVERGED (kv-aware is off for it), -1 = not checkable"
10.245.157.237:28000,gauge,infera_router_render_parity,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,,,,,glm5.2-mxfp4,,10.245.157.237:29001,"1 = this worker confirmed the router renders the prompt it does, 0 = DIVERGED (kv-aware is off for it), -1 = not checkable"
10.245.154.168:29002,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/freeze_gc,POST,,,,Number of currently active HTTP requests
10.245.154.168:29002,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/generate,POST,,,,Number of currently active HTTP requests
10.245.154.168:29002,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/get_server_info,GET,,,,Number of currently active HTTP requests
10.245.154.168:29002,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/health,GET,,,,Number of currently active HTTP requests
10.245.154.168:29002,gauge,sglang:http_requests_active,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,,,/metrics,GET,,,,Number of currently active HTTP requests
10.245.154.168:29002,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/metrics,HEAD,,,,Number of currently active HTTP requests
10.245.154.168:29002,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/model_info,GET,,,,Number of currently active HTTP requests
10.245.154.168:29002,gauge,sglang:http_requests_active,,184.1294,0.0000,257.0000,52.1369,18.0000,64.0000,129.9000,161.0000,191.0000,222.0000,242.0000,247.0000,252.0000,,,,,,,,,,,/v1/chat/completions,POST,,,,Number of currently active HTTP requests
10.245.154.168:29002,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/v1/tokenize,POST,,,,Number of currently active HTTP requests
10.245.157.237:29001,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/freeze_gc,POST,,,,Number of currently active HTTP requests
10.245.157.237:29001,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/generate,POST,,,,Number of currently active HTTP requests
10.245.157.237:29001,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/get_server_info,GET,,,,Number of currently active HTTP requests
10.245.157.237:29001,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/health,GET,,,,Number of currently active HTTP requests
10.245.157.237:29001,gauge,sglang:http_requests_active,,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,,,,,,,,,,,/metrics,GET,,,,Number of currently active HTTP requests
10.245.157.237:29001,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/metrics,HEAD,,,,Number of currently active HTTP requests
10.245.157.237:29001,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/model_info,GET,,,,Number of currently active HTTP requests
10.245.157.237:29001,gauge,sglang:http_requests_active,,160.7613,1.0000,247.0000,53.7938,17.0000,40.0000,90.0000,132.0000,170.0000,199.0000,224.0000,232.0000,240.0000,,,,,,,,,,,/v1/chat/completions,POST,,,,Number of currently active HTTP requests
10.245.157.237:29001,gauge,sglang:http_requests_active,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,/v1/tokenize,POST,,,,Number of currently active HTTP requests
10.245.154.168:29002,gauge,sglang:startup_cuda_graph_time_seconds,seconds,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,decode,,,glm5.2-mxfp4,,decode,,,,,,,,,CUDA graph capture duration by phase in seconds.
10.245.154.168:29002,gauge,sglang:startup_cuda_graph_time_seconds,seconds,9.7443,9.7443,9.7443,0.0000,9.7443,9.7443,9.7443,9.7443,9.7443,9.7443,9.7443,9.7443,9.7443,,decode,,,glm5.2-mxfp4,,draft_decode,,,,,,,,,CUDA graph capture duration by phase in seconds.
