metric,scope,value,unit,source
duration,whole_run,4006.2,s,summary.json
requests_sent,whole_run,1804,count,summary.json
requests_completed,whole_run,1755,count,summary.json
errors,whole_run,35,count,summary.json
success_rate,whole_run,0.9728381374722838,ratio,summary.json
actual_average_qps,whole_run,0.45030169485369625,req/s,summary.json
ttft_mean,whole_run,4779.911742930399,ms,summary.json
ttft_p50,whole_run,4271.99912071228,ms,summary.json
ttft_p90,whole_run,7564.607620239258,ms,summary.json
ttft_p99,whole_run,16873.467445373535,ms,summary.json
tpot_mean,whole_run,28.798405571351612,ms,summary.json
tpot_p50,whole_run,25.31128637156112,ms,summary.json
tpot_p90,whole_run,42.65513902978052,ms,summary.json
tpot_p99,whole_run,95.85302670796712,ms,summary.json
prompt_len_p50,whole_run,75345,tokens,summary.json
prompt_len_p90,whole_run,155462,tokens,summary.json
prompt_len_p99,whole_run,222770,tokens,summary.json
prompt_len_mean,whole_run,86435.47863247863,tokens,summary.json
gen_len_p50,whole_run,317,tokens,summary.json
gen_len_p90,whole_run,2443,tokens,summary.json
gen_len_p99,whole_run,7478,tokens,summary.json
gen_len_mean,whole_run,905.7868945868946,tokens,summary.json
cache_ideal_hit_rate,whole_run,0.8898684337209453,ratio,summary.json
cache_actual_hit_rate,whole_run,0.8805998829289954,ratio,summary.json
cache_efficiency,whole_run,0.9895843582705885,ratio,summary.json
cache_eviction_rate,whole_run,0.010415641729411408,ratio,summary.json
input_tokens_total,whole_run,151694265,tokens,summary.json
cached_tokens_total,whole_run,133581952,tokens,summary.json
uncached_tokens_total,whole_run,18112313,tokens,summary.json
generation_tokens_total,whole_run,1589656,tokens,summary.json
reasoning_tokens_total,whole_run,456672,tokens,summary.json
visible_tokens_total,whole_run,1132984,tokens,summary.json
n_requests,sustain,1637,count,analyze_solo.py
prompt_len_p50,sustain,75450,tokens,analyze_solo.py
gen_len_p50,sustain,320,tokens,analyze_solo.py
gen_len_mean,sustain,923.6,tokens,analyze_solo.py
cache_hit_mean,sustain,0.8883,ratio,analyze_solo.py
ttft_p50,sustain,4266.8,ms,analyze_solo.py
ttft_p90,sustain,7295.8,ms,analyze_solo.py
ttft_p99,sustain,12335.5,ms,analyze_solo.py
ttft_mean,sustain,4604.5,ms,analyze_solo.py
e2e_p50,sustain,13931.9,ms,analyze_solo.py
e2e_p90,sustain,70313.9,ms,analyze_solo.py
e2e_p99,sustain,188236.2,ms,analyze_solo.py
e2e_mean,sustain,28353.5,ms,analyze_solo.py
tpot_p50,sustain,25.3,ms,analyze_solo.py
tpot_p90,sustain,41.6,ms,analyze_solo.py
tpot_p99,sustain,77.3,ms,analyze_solo.py
tpot_mean,sustain,27.6,ms,analyze_solo.py
phase_duration,ramp,400,s,driver_phase_table
phase_requests,ramp,117,count,driver_phase_table
phase_qps,ramp,0.29,req/s,driver_phase_table
phase_input_tpm,ramp,1538151,tokens/min,driver_phase_table
phase_cached_tpm,ramp,1220006,tokens/min,driver_phase_table
phase_uncached_tpm,ramp,318145,tokens/min,driver_phase_table
phase_visible_tpm,ramp,6851,tokens/min,driver_phase_table
phase_reasoning_tpm,ramp,4703,tokens/min,driver_phase_table
phase_cache_hit_pct,ramp,79.3,percent,driver_phase_table
phase_ttft_p50,ramp,4329.2,ms,driver_phase_table
phase_ttft_p90,ramp,18799.1,ms,driver_phase_table
phase_tpot_p50,ramp,26.2,ms,driver_phase_table
phase_tpot_p90,ramp,70.5,ms,driver_phase_table
phase_duration,sustain,3600,s,driver_phase_table
phase_requests,sustain,1637,count,driver_phase_table
phase_qps,sustain,0.45,req/s,driver_phase_table
phase_input_tpm,sustain,2356388,tokens/min,driver_phase_table
phase_cached_tpm,sustain,2089970,tokens/min,driver_phase_table
phase_uncached_tpm,sustain,266418,tokens/min,driver_phase_table
phase_visible_tpm,sustain,18111,tokens/min,driver_phase_table
phase_reasoning_tpm,sustain,7087,tokens/min,driver_phase_table
phase_cache_hit_pct,sustain,88.7,percent,driver_phase_table
phase_ttft_p50,sustain,4266.8,ms,driver_phase_table
phase_ttft_p90,sustain,7349.1,ms,driver_phase_table
phase_tpot_p50,sustain,25.3,ms,driver_phase_table
phase_tpot_p90,sustain,41.7,ms,driver_phase_table
peak_prefill_total,whole_run,561399,tokens/s,driver_console
peak_prefill_per_gpu,whole_run,70175,tokens/s,driver_console
avg_context_per_gpu,whole_run,284007,tokens/min,driver_console
generation_throughput,whole_run,68.2,tokens/s,driver_console
inter_arrival_mean,whole_run,12.8,s,driver_console
inter_arrival_p50,whole_run,4.1,s,driver_console
inter_arrival_p90,whole_run,27.4,s,driver_console
inter_arrival_p99,whole_run,152.9,s,driver_console
sessions_total,whole_run,24,count,driver_console
sessions_initial,whole_run,8,count,driver_console
sessions_rate_based,whole_run,228,count,driver_console
sessions_retired,whole_run,6,count,driver_console
sessions_abandoned,whole_run,0,count,driver_console
session_lifetime_min,whole_run,17,s,driver_console
session_lifetime_max,whole_run,3397,s,driver_console
session_lifetime_mean,whole_run,686,s,driver_console
sustain_ticks,sustain,3588,count,metrics.jsonl
in_flight_max,sustain,16,count,metrics.jsonl
in_flight_mean,sustain,15.30,count,metrics.jsonl
in_flight_ticks_at_cap,sustain,2588,count,metrics.jsonl
in_flight_pct_at_cap,sustain,72.1,percent,metrics.jsonl
sessions_active_max,sustain,24,count,metrics.jsonl
sessions_active_mean,sustain,22.42,count,metrics.jsonl
sessions_active_ticks_at_cap,sustain,1685,count,metrics.jsonl
sessions_active_pct_at_cap,sustain,47.0,percent,metrics.jsonl
errors_client_timeout,whole_run,35,count,agentic_load.log
errors_http_non200,whole_run,0,count,agentic_load.log
errors_other_exception,whole_run,0,count,agentic_load.log
engine_errors_in_window,load_window,0,count,engine_log_scoped
engine_http_200_in_window,load_window,1802,count,engine_log_scoped
completed_e2e_max,sustain,239.0,s,metrics.jsonl
completed_e2e_over_240s,sustain,0,count,metrics.jsonl
client_timeout_budget,config,240,s,agent_throughput.py:2253
mtp_accept_len_n,all_phases,51685,count,engine_log_unscoped
mtp_accept_len_p10,all_phases,2.73,ratio,engine_log_unscoped
mtp_accept_len_median,all_phases,3.55,ratio,engine_log_unscoped
mtp_accept_len_p90,all_phases,3.98,ratio,engine_log_unscoped
mtp_accept_len_pct_at_4,all_phases,9.1,percent,engine_log_unscoped
mtp_accept_len_n,load_window,8918,count,engine_log_scoped
mtp_accept_len_p10,load_window,2.48,ratio,engine_log_scoped
mtp_accept_len_median,load_window,3.14,ratio,engine_log_scoped
mtp_accept_len_p90,load_window,3.82,ratio,engine_log_scoped
mtp_accept_len_pct_at_4,load_window,4.5,percent,engine_log_scoped
kvd_entries,cumulative,71879,count,statctl
kvd_host_bytes,cumulative,85387788288,bytes,statctl
kvd_long_bytes,cumulative,68716744704,bytes,statctl
kvd_gets,cumulative,69126,count,statctl
kvd_sets,cumulative,486924,count,statctl
kvd_hits,cumulative,67060,count,statctl
kvd_misses,cumulative,2066,count,statctl
kvd_evictions,cumulative,319447,count,statctl
sla_success_rate_target,sla,0.97,ratio,mix_load.yaml
sla_ttft_p90_ms_target,sla,30000,ms,mix_load.yaml
sla_e2e_p50_ms_target,sla,4500,ms,mix_load.yaml
