[2026-08-24 19:42:53 TP0] Decode batch, #running-req: 1, #token: 4288, token usage: 0.00, accept len: 3.30, accept rate: 0.46, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 0.74, #queue-req: 0
[2026-08-24 19:42:55 TP0] Decode batch, #running-req: 1, #token: 4224, token usage: 0.00, accept len: 3.90, accept rate: 0.58, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 87.48, #queue-req: 0
[2026-08-24 19:42:56 TP0] Decode batch, #running-req: 1, #token: 4352, token usage: 0.00, accept len: 3.55, accept rate: 0.51, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 103.99, #queue-req: 0
[2026-08-24 19:42:59 TP0] Decode batch, #running-req: 1, #token: 4224, token usage: 0.00, accept len: 3.92, accept rate: 0.58, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 54.92, #queue-req: 0
[2026-08-24 19:43:01 TP0] Decode batch, #running-req: 1, #token: 4224, token usage: 0.00, accept len: 4.35, accept rate: 0.67, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 97.75, #queue-req: 0
[2026-08-24 19:43:03 TP0] Decode batch, #running-req: 1, #token: 4160, token usage: 0.00, accept len: 3.73, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 83.79, #queue-req: 0
[2026-08-24 19:43:04 TP0] Decode batch, #running-req: 1, #token: 4288, token usage: 0.00, accept len: 3.35, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 99.08, #queue-req: 0
[2026-08-24 19:44:07 TP0] Decode batch, #running-req: 1, #token: 68480, token usage: 0.03, accept len: 3.20, accept rate: 0.44, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 2.03, #queue-req: 0
[2026-08-24 19:44:16 TP0] Decode batch, #running-req: 1, #token: 68416, token usage: 0.03, accept len: 4.22, accept rate: 0.65, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 17.88, #queue-req: 0
[2026-08-24 19:44:18 TP0] Decode batch, #running-req: 1, #token: 68544, token usage: 0.03, accept len: 3.55, accept rate: 0.51, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 101.75, #queue-req: 0
[2026-08-24 19:44:30 TP0] Decode batch, #running-req: 1, #token: 67840, token usage: 0.03, accept len: 4.08, accept rate: 0.61, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 13.64, #queue-req: 0
[2026-08-24 19:44:39 TP0] Decode batch, #running-req: 1, #token: 68416, token usage: 0.03, accept len: 4.12, accept rate: 0.62, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 17.16, #queue-req: 0
[2026-08-24 19:44:41 TP0] Decode batch, #running-req: 1, #token: 68544, token usage: 0.03, accept len: 3.02, accept rate: 0.41, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 86.72, #queue-req: 0
[2026-08-24 19:45:37 TP0] Decode batch, #running-req: 1, #token: 63936, token usage: 0.03, accept len: 3.55, accept rate: 0.51, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 2.50, #queue-req: 0
[2026-08-24 19:45:41 TP0] Decode batch, #running-req: 1, #token: 65472, token usage: 0.03, accept len: 3.27, accept rate: 0.46, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 36.71, #queue-req: 0
[2026-08-24 19:45:43 TP0] Decode batch, #running-req: 1, #token: 65664, token usage: 0.03, accept len: 3.48, accept rate: 0.49, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 96.69, #queue-req: 0
[2026-08-24 19:45:46 TP0] Decode batch, #running-req: 1, #token: 67008, token usage: 0.03, accept len: 3.83, accept rate: 0.56, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 43.23, #queue-req: 0
[2026-08-24 19:45:49 TP0] Decode batch, #running-req: 1, #token: 68032, token usage: 0.03, accept len: 3.15, accept rate: 0.43, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 41.08, #queue-req: 0
[2026-08-24 19:45:51 TP0] Decode batch, #running-req: 1, #token: 68224, token usage: 0.03, accept len: 4.45, accept rate: 0.69, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 123.48, #queue-req: 0
[2026-08-24 19:45:53 TP0] Decode batch, #running-req: 1, #token: 70656, token usage: 0.03, accept len: 4.95, accept rate: 0.79, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 68.37, #queue-req: 0
[2026-08-24 19:45:57 TP0] Decode batch, #running-req: 1, #token: 72256, token usage: 0.03, accept len: 4.70, accept rate: 0.74, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 53.08, #queue-req: 0
[2026-08-24 19:46:01 TP0] Decode batch, #running-req: 1, #token: 78912, token usage: 0.03, accept len: 3.90, accept rate: 0.58, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 39.14, #queue-req: 0
