[2026-08-24 22:05:21 TP0] Decode batch, #running-req: 1, #token: 928768, token usage: 0.39, accept len: 2.75, accept rate: 0.35, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 1.10, #queue-req: 0
[2026-08-24 22:05:27 TP0] Decode batch, #running-req: 1, #token: 930240, token usage: 0.39, accept len: 3.15, accept rate: 0.43, pre-allocated usage: 0.37, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 19.26, #queue-req: 0
[2026-08-24 22:05:29 TP0] Decode batch, #running-req: 1, #token: 930368, token usage: 0.39, accept len: 4.05, accept rate: 0.61, pre-allocated usage: 0.37, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 122.51, #queue-req: 0
[2026-08-24 22:05:36 TP0] Decode batch, #running-req: 1, #token: 936000, token usage: 0.40, accept len: 3.65, accept rate: 0.53, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 20.96, #queue-req: 0
[2026-08-24 22:05:37 TP0] Decode batch, #running-req: 1, #token: 886208, token usage: 0.38, accept len: 3.12, accept rate: 0.42, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 95.28, #queue-req: 0
[2026-08-24 22:05:44 TP0] Decode batch, #running-req: 1, #token: 937088, token usage: 0.40, accept len: 3.05, accept rate: 0.41, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 17.89, #queue-req: 0
[2026-08-24 22:05:50 TP0] Decode batch, #running-req: 1, #token: 943616, token usage: 0.40, accept len: 3.10, accept rate: 0.42, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 19.39, #queue-req: 0
[2026-08-24 22:05:51 TP0] Decode batch, #running-req: 1, #token: 943744, token usage: 0.40, accept len: 3.52, accept rate: 0.51, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 105.22, #queue-req: 0
[2026-08-24 22:05:59 TP0] Decode batch, #running-req: 1, #token: 945536, token usage: 0.40, accept len: 2.73, accept rate: 0.34, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 14.85, #queue-req: 0
[2026-08-24 22:06:00 TP0] Decode batch, #running-req: 1, #token: 945664, token usage: 0.40, accept len: 3.20, accept rate: 0.44, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 94.92, #queue-req: 0
[2026-08-24 22:06:06 TP0] Decode batch, #running-req: 1, #token: 946688, token usage: 0.40, accept len: 3.27, accept rate: 0.46, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 21.88, #queue-req: 0
[2026-08-24 22:06:13 TP0] Decode batch, #running-req: 1, #token: 947008, token usage: 0.40, accept len: 4.25, accept rate: 0.65, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 25.10, #queue-req: 0
[2026-08-24 22:06:14 TP0] Decode batch, #running-req: 1, #token: 947136, token usage: 0.40, accept len: 2.42, accept rate: 0.28, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 73.01, #queue-req: 0
[2026-08-24 22:06:16 TP0] Decode batch, #running-req: 1, #token: 947200, token usage: 0.40, accept len: 2.27, accept rate: 0.26, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 68.27, #queue-req: 0
[2026-08-24 22:06:23 TP0] Decode batch, #running-req: 1, #token: 953216, token usage: 0.40, accept len: 3.55, accept rate: 0.51, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 20.11, #queue-req: 0
[2026-08-24 22:06:32 TP0] Decode batch, #running-req: 1, #token: 963136, token usage: 0.41, accept len: 4.33, accept rate: 0.67, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 17.85, #queue-req: 0
[2026-08-24 22:06:34 TP0] Decode batch, #running-req: 1, #token: 963264, token usage: 0.41, accept len: 2.88, accept rate: 0.38, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 85.67, #queue-req: 0
[2026-08-24 22:06:43 TP0] Decode batch, #running-req: 1, #token: 964800, token usage: 0.41, accept len: 2.98, accept rate: 0.40, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 12.86, #queue-req: 0
[2026-08-24 22:06:52 TP0] Decode batch, #running-req: 1, #token: 966336, token usage: 0.41, accept len: 4.00, accept rate: 0.60, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 17.36, #queue-req: 0
[2026-08-24 22:06:53 TP0] Decode batch, #running-req: 1, #token: 966464, token usage: 0.41, accept len: 3.62, accept rate: 0.53, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 106.10, #queue-req: 0
[2026-08-24 22:07:03 TP0] Decode batch, #running-req: 1, #token: 968320, token usage: 0.41, accept len: 3.30, accept rate: 0.46, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 14.20, #queue-req: 0
[2026-08-24 22:07:04 TP0] Decode batch, #running-req: 1, #token: 968448, token usage: 0.41, accept len: 2.90, accept rate: 0.38, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 85.87, #queue-req: 0
[2026-08-24 22:07:13 TP0] Decode batch, #running-req: 1, #token: 969984, token usage: 0.41, accept len: 3.12, accept rate: 0.42, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 14.19, #queue-req: 0
[2026-08-24 22:07:24 TP0] Decode batch, #running-req: 1, #token: 970240, token usage: 0.41, accept len: 3.67, accept rate: 0.54, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 12.81, #queue-req: 0
[2026-08-24 22:07:26 TP0] Decode batch, #running-req: 1, #token: 970432, token usage: 0.41, accept len: 3.90, accept rate: 0.58, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 113.08, #queue-req: 0
[2026-08-24 22:07:40 TP0] Decode batch, #running-req: 2, #token: 972544, token usage: 0.41, accept len: 3.16, accept rate: 0.43, pre-allocated usage: 0.36, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 11.38, #queue-req: 0
[2026-08-24 22:07:41 TP0] Decode batch, #running-req: 1, #token: 884608, token usage: 0.37, accept len: 4.08, accept rate: 0.62, pre-allocated usage: 0.36, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 198.03, #queue-req: 0
[2026-08-24 22:07:43 TP0] Decode batch, #running-req: 2, #token: 975424, token usage: 0.41, accept len: 4.68, accept rate: 0.74, pre-allocated usage: 0.35, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 142.18, #queue-req: 0
[2026-08-24 22:07:45 TP0] Decode batch, #running-req: 5, #token: 978624, token usage: 0.41, accept len: 3.93, accept rate: 0.59, pre-allocated usage: 0.30, #prealloc-req: 0, #transfer-req: 11, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 260.44, #queue-req: 0
[2026-08-24 22:07:47 TP0] Decode batch, #running-req: 5, #token: 982976, token usage: 0.42, accept len: 3.35, accept rate: 0.47, pre-allocated usage: 0.30, #prealloc-req: 0, #transfer-req: 11, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 351.04, #queue-req: 0
[2026-08-24 22:07:49 TP0] Decode batch, #running-req: 2, #token: 952512, token usage: 0.40, accept len: 4.55, accept rate: 0.71, pre-allocated usage: 0.35, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 369.10, #queue-req: 0
[2026-08-24 22:07:51 TP0] Decode batch, #running-req: 3, #token: 1027072, token usage: 0.43, accept len: 4.29, accept rate: 0.66, pre-allocated usage: 0.32, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 235.98, #queue-req: 0
[2026-08-24 22:07:53 TP0] Decode batch, #running-req: 6, #token: 948992, token usage: 0.40, accept len: 4.38, accept rate: 0.68, pre-allocated usage: 0.27, #prealloc-req: 0, #transfer-req: 10, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 436.10, #queue-req: 0
[2026-08-24 22:07:55 TP0] Decode batch, #running-req: 4, #token: 1035072, token usage: 0.44, accept len: 4.52, accept rate: 0.70, pre-allocated usage: 0.32, #prealloc-req: 0, #transfer-req: 11, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 430.26, #queue-req: 0
[2026-08-24 22:07:57 TP0] Decode batch, #running-req: 2, #token: 968512, token usage: 0.41, accept len: 4.94, accept rate: 0.79, pre-allocated usage: 0.34, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 373.77, #queue-req: 0
[2026-08-24 22:07:58 TP0] Decode batch, #running-req: 3, #token: 1051712, token usage: 0.45, accept len: 3.57, accept rate: 0.51, pre-allocated usage: 0.36, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 203.98, #queue-req: 0
[2026-08-24 22:08:00 TP0] Decode batch, #running-req: 3, #token: 1054080, token usage: 0.45, accept len: 4.11, accept rate: 0.62, pre-allocated usage: 0.36, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 276.57, #queue-req: 0
[2026-08-24 22:08:01 TP0] Decode batch, #running-req: 4, #token: 1059648, token usage: 0.45, accept len: 4.99, accept rate: 0.80, pre-allocated usage: 0.32, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 367.70, #queue-req: 0
[2026-08-24 22:08:03 TP0] Decode batch, #running-req: 3, #token: 1062912, token usage: 0.45, accept len: 4.18, accept rate: 0.64, pre-allocated usage: 0.35, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 316.88, #queue-req: 0
[2026-08-24 22:08:05 TP0] Decode batch, #running-req: 4, #token: 1010880, token usage: 0.43, accept len: 4.36, accept rate: 0.67, pre-allocated usage: 0.33, #prealloc-req: 0, #transfer-req: 11, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 442.54, #queue-req: 0
[2026-08-24 22:08:07 TP0] Decode batch, #running-req: 3, #token: 1078720, token usage: 0.46, accept len: 4.55, accept rate: 0.71, pre-allocated usage: 0.38, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 421.52, #queue-req: 0
[2026-08-24 22:08:08 TP0] Decode batch, #running-req: 3, #token: 1091520, token usage: 0.46, accept len: 4.18, accept rate: 0.64, pre-allocated usage: 0.37, #prealloc-req: 0, #transfer-req: 13, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 304.62, #queue-req: 0
[2026-08-24 22:08:10 TP0] Decode batch, #running-req: 3, #token: 1024320, token usage: 0.43, accept len: 5.02, accept rate: 0.80, pre-allocated usage: 0.35, #prealloc-req: 0, #transfer-req: 12, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 398.19, #queue-req: 0
[2026-08-24 22:08:12 TP0] Decode batch, #running-req: 1, #token: 1112704, token usage: 0.47, accept len: 5.79, accept rate: 0.96, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 287.09, #queue-req: 0
[2026-08-24 22:08:13 TP0] Decode batch, #running-req: 4, #token: 1048192, token usage: 0.44, accept len: 5.55, accept rate: 0.91, pre-allocated usage: 0.33, #prealloc-req: 0, #transfer-req: 11, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 439.75, #queue-req: 0
[2026-08-24 22:08:15 TP0] Decode batch, #running-req: 2, #token: 1020736, token usage: 0.43, accept len: 5.71, accept rate: 0.94, pre-allocated usage: 0.41, #prealloc-req: 0, #transfer-req: 14, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 434.78, #queue-req: 0
[2026-08-24 22:08:23 TP0] Decode batch, #running-req: 1, #token: 1094080, token usage: 0.46, accept len: 3.65, accept rate: 0.53, pre-allocated usage: 0.43, #prealloc-req: 0, #transfer-req: 15, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 18.12, #queue-req: 0
