[2026-08-24 23:49:35 TP0] Decode batch, #running-req: 1, #token: 63936, token usage: 0.03, accept len: 3.27, accept rate: 0.46, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 1.84, #queue-req: 0
[2026-08-24 23:49:37 TP0] Decode batch, #running-req: 1, #token: 65472, token usage: 0.03, accept len: 2.60, accept rate: 0.32, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 49.88, #queue-req: 0
[2026-08-24 23:49:39 TP0] Decode batch, #running-req: 1, #token: 66944, token usage: 0.03, accept len: 5.28, accept rate: 0.85, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 100.00, #queue-req: 0
[2026-08-24 23:49:41 TP0] Decode batch, #running-req: 1, #token: 0, token usage: 0.00, accept len: 5.47, accept rate: 0.90, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 167.60, #queue-req: 0
[2026-08-24 23:49:44 TP0] Decode batch, #running-req: 1, #token: 70528, token usage: 0.03, accept len: 5.85, accept rate: 0.97, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 78.00, #queue-req: 0
[2026-08-24 23:49:46 TP0] Decode batch, #running-req: 1, #token: 72128, token usage: 0.03, accept len: 5.67, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 103.31, #queue-req: 0
[2026-08-24 23:49:49 TP0] Decode batch, #running-req: 1, #token: 78848, token usage: 0.03, accept len: 5.67, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 79.51, #queue-req: 0
[2026-08-24 23:49:51 TP0] Decode batch, #running-req: 1, #token: 83904, token usage: 0.04, accept len: 5.90, accept rate: 0.98, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 91.22, #queue-req: 0
[2026-08-24 23:49:54 TP0] Decode batch, #running-req: 1, #token: 84864, token usage: 0.04, accept len: 5.85, accept rate: 0.97, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 100.31, #queue-req: 0
[2026-08-24 23:50:04 TP0] Decode batch, #running-req: 1, #token: 64704, token usage: 0.03, accept len: 5.25, accept rate: 0.85, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 20.69, #queue-req: 0
[2026-08-24 23:50:05 TP0] Decode batch, #running-req: 1, #token: 64832, token usage: 0.03, accept len: 3.65, accept rate: 0.53, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 111.85, #queue-req: 0
[2026-08-24 23:50:07 TP0] Decode batch, #running-req: 1, #token: 65088, token usage: 0.03, accept len: 3.45, accept rate: 0.49, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 65.92, #queue-req: 0
[2026-08-24 23:50:08 TP0] Decode batch, #running-req: 1, #token: 0, token usage: 0.00, accept len: 3.60, accept rate: 0.52, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 112.57, #queue-req: 0
[2026-08-24 23:50:11 TP0] Decode batch, #running-req: 1, #token: 65600, token usage: 0.03, accept len: 4.28, accept rate: 0.66, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 79.90, #queue-req: 0
[2026-08-24 23:50:13 TP0] Decode batch, #running-req: 1, #token: 65920, token usage: 0.03, accept len: 4.55, accept rate: 0.71, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 86.83, #queue-req: 0
[2026-08-24 23:50:24 TP0] Decode batch, #running-req: 1, #token: 65728, token usage: 0.03, accept len: 3.40, accept rate: 0.48, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 11.60, #queue-req: 0
[2026-08-24 23:50:26 TP0] Decode batch, #running-req: 1, #token: 65920, token usage: 0.03, accept len: 3.95, accept rate: 0.59, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 120.56, #queue-req: 0
[2026-08-24 23:50:28 TP0] Decode batch, #running-req: 1, #token: 67456, token usage: 0.03, accept len: 5.35, accept rate: 0.87, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 100.66, #queue-req: 0
[2026-08-24 23:50:30 TP0] Decode batch, #running-req: 1, #token: 68736, token usage: 0.03, accept len: 3.55, accept rate: 0.51, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 66.23, #queue-req: 0
[2026-08-24 23:50:32 TP0] Decode batch, #running-req: 1, #token: 70656, token usage: 0.03, accept len: 4.83, accept rate: 0.77, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 89.09, #queue-req: 0
[2026-08-24 23:50:34 TP0] Decode batch, #running-req: 1, #token: 71168, token usage: 0.03, accept len: 5.47, accept rate: 0.90, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 101.08, #queue-req: 0
[2026-08-24 23:50:41 TP0] Decode batch, #running-req: 1, #token: 42048, token usage: 0.02, accept len: 4.72, accept rate: 0.74, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 28.20, #queue-req: 0
[2026-08-24 23:50:42 TP0] Decode batch, #running-req: 1, #token: 0, token usage: 0.00, accept len: 5.03, accept rate: 0.81, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 160.32, #queue-req: 0
[2026-08-24 23:50:44 TP0] Decode batch, #running-req: 1, #token: 43712, token usage: 0.02, accept len: 3.85, accept rate: 0.57, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 83.95, #queue-req: 0
[2026-08-24 23:50:46 TP0] Decode batch, #running-req: 1, #token: 44992, token usage: 0.02, accept len: 5.05, accept rate: 0.81, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 109.68, #queue-req: 0
[2026-08-24 23:50:48 TP0] Decode batch, #running-req: 1, #token: 49856, token usage: 0.02, accept len: 6.00, accept rate: 1.00, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 105.92, #queue-req: 0
[2026-08-24 23:50:50 TP0] Decode batch, #running-req: 1, #token: 51520, token usage: 0.02, accept len: 6.00, accept rate: 1.00, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 126.13, #queue-req: 0
[2026-08-24 23:50:55 TP0] Decode batch, #running-req: 1, #token: 70272, token usage: 0.03, accept len: 5.90, accept rate: 0.98, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 51.52, #queue-req: 0
