[2026-08-24 23:21:27 TP0] Decode batch, #running-req: 2, #token: 127872, token usage: 0.05, accept len: 3.53, accept rate: 0.32, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 4.51, #queue-req: 0
[2026-08-24 23:21:33 TP0] Decode batch, #running-req: 2, #token: 131008, token usage: 0.06, accept len: 3.67, accept rate: 0.33, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 45.72, #queue-req: 0
[2026-08-24 23:21:35 TP0] Decode batch, #running-req: 2, #token: 131328, token usage: 0.06, accept len: 3.98, accept rate: 0.37, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 178.10, #queue-req: 0
[2026-08-24 23:21:40 TP0] Decode batch, #running-req: 2, #token: 134080, token usage: 0.06, accept len: 3.89, accept rate: 0.36, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 57.36, #queue-req: 0
[2026-08-24 23:21:44 TP0] Decode batch, #running-req: 2, #token: 136064, token usage: 0.06, accept len: 3.83, accept rate: 0.35, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 57.98, #queue-req: 0
[2026-08-24 23:21:46 TP0] Decode batch, #running-req: 2, #token: 136320, token usage: 0.06, accept len: 3.79, accept rate: 0.35, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 169.07, #queue-req: 0
[2026-08-24 23:21:50 TP0] Decode batch, #running-req: 2, #token: 141184, token usage: 0.06, accept len: 4.75, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 65.08, #queue-req: 0
[2026-08-24 23:21:54 TP0] Decode batch, #running-req: 1, #token: 144000, token usage: 0.06, accept len: 4.63, accept rate: 0.45, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 79.27, #queue-req: 0
[2026-08-24 23:21:56 TP0] Decode batch, #running-req: 1, #token: 150848, token usage: 0.06, accept len: 5.94, accept rate: 0.62, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 219.53, #queue-req: 0
[2026-08-24 23:21:58 TP0] Decode batch, #running-req: 1, #token: 157568, token usage: 0.07, accept len: 6.33, accept rate: 0.67, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 130.42, #queue-req: 0
[2026-08-24 23:22:03 TP0] Decode batch, #running-req: 2, #token: 162816, token usage: 0.07, accept len: 5.63, accept rate: 0.58, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 75.81, #queue-req: 0
[2026-08-24 23:22:05 TP0] Decode batch, #running-req: 1, #token: 168576, token usage: 0.07, accept len: 4.32, accept rate: 0.41, pre-allocated usage: 0.04, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 96.77, #queue-req: 0
[2026-08-24 23:22:06 TP0] Decode batch, #running-req: 1, #token: 169600, token usage: 0.07, accept len: 5.32, accept rate: 0.54, pre-allocated usage: 0.04, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 183.76, #queue-req: 0
[2026-08-24 23:22:08 TP0] Decode batch, #running-req: 1, #token: 149440, token usage: 0.06, accept len: 4.74, accept rate: 0.47, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 145.83, #queue-req: 0
[2026-08-24 23:22:19 TP0] Decode batch, #running-req: 2, #token: 129536, token usage: 0.05, accept len: 3.41, accept rate: 0.30, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 20.18, #queue-req: 0
[2026-08-24 23:22:21 TP0] Decode batch, #running-req: 1, #token: 129856, token usage: 0.05, accept len: 3.28, accept rate: 0.29, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 137.18, #queue-req: 0
[2026-08-24 23:22:22 TP0] Decode batch, #running-req: 2, #token: 130240, token usage: 0.06, accept len: 4.74, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 139.51, #queue-req: 0
[2026-08-24 23:22:25 TP0] Decode batch, #running-req: 2, #token: 131072, token usage: 0.06, accept len: 6.33, accept rate: 0.67, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 142.07, #queue-req: 0
