concurrency,ep_size,local_batch_size,verdict,tpot_ms,output_tokens_per_second,output_tokens_per_second_per_gpu,decode_seconds,load_pool_capture_seconds,verify_iterations,realized_accept_length,reserved_tokens,max_memory_allocated_bytes,point,problems
48,1,6,pass,10.558470914000646,4546.112821729848,568.264102716231,105.58467327000108,60.20144098199671,2768,3.6134393063583814,480384,253355502592,tp8_noep_dpa_on_c48_yihou,
64,1,8,pass,11.97458934430033,5344.650923704766,668.0813654630957,119.74588536296505,60.763772606966086,2768,3.6134393063583814,640512,253363892736,tp8_noep_dpa_on_c64_yihou,
96,1,12,pass,14.912221134098946,6437.67277434494,804.7090967931175,149.1221928910236,62.77998699096497,2768,3.6134393063583814,960768,253380674048,tp8_noep_dpa_on_c96_yihou,
128,1,16,pass,17.323120285704498,7388.969070752745,923.6211338440932,173.2311905970564,60.784372864000034,2768,3.6134393063583814,1281024,253541490688,tp8_noep_dpa_on_c128_yihou,
160,1,20,pass,19.727783564303536,8110.389060102637,1013.7986325128296,197.27774982398842,58.8091899069841,2768,3.6134393063583814,1601280,253993683456,tp8_noep_dpa_on_c160_yihou,
192,1,24,pass,21.995037140295608,8729.24190922369,1091.1552386529613,219.9503362129908,61.58999786700588,2768,3.6134393063583814,1921536,254455704064,tp8_noep_dpa_on_c192_yihou,
224,1,28,pass,24.26225534059922,9232.44755507827,1154.0559443847837,242.6225336159696,59.43016439903295,2768,3.6134393063583814,2241792,254906160128,tp8_noep_dpa_on_c224_yihou,
256,1,32,pass,25.674006026703864,9971.174725663424,1246.396840707928,256.7400118780206,60.44553819001885,2768,3.6134393063583814,2562048,255355257856,tp8_noep_dpa_on_c256_yihou,
288,1,36,pass,28.373165712103948,10150.435905611324,1268.8044882014156,283.73165209096624,59.39564632700058,2768,3.6134393063583814,2882304,255806500352,tp8_noep_dpa_on_c288_yihou,
320,1,40,pass,30.410779193398774,10522.58470475041,1315.3230880938013,304.1077036249917,60.11641401500674,2768,3.6134393063583814,3202560,256258065920,tp8_noep_dpa_on_c320_yihou,
