concurrency,ep_size,local_batch_size,verdict,tpot_ms,output_tokens_per_second,output_tokens_per_second_per_gpu,decode_seconds,load_pool_capture_seconds,verify_iterations,realized_accept_length,reserved_tokens,max_memory_allocated_bytes,point,problems
48,8,6,pass,12.083191042300314,3972.460572042904,496.557571505363,120.83186839299742,54.32593594503123,2768,3.6134393063583814,480384,253454164992,tp8_ep8_dpa_on_c48_yihou,
64,8,8,pass,13.142841791105457,4869.57090538156,608.696363172695,131.42838889098493,55.22018335404573,2768,3.6134393063583814,640512,253462555136,tp8_ep8_dpa_on_c64_yihou,
96,8,12,pass,16.237883286201395,5912.100629617084,739.0125787021356,162.37871910299873,55.53979628300294,2768,3.6134393063583814,960768,253479336448,tp8_ep8_dpa_on_c96_yihou,
128,8,16,pass,17.847756853699686,7171.769598231988,896.4711997789985,178.47753150801873,65.30290102696745,2768,3.6134393063583814,1281024,253638683648,tp8_ep8_dpa_on_c128_yihou,
160,8,20,pass,20.842523304204224,7676.613702896799,959.5767128620998,208.42523304204224,54.045808285009116,2768,3.6134393063583814,1601280,254090995712,tp8_ep8_dpa_on_c160_yihou,
192,8,24,pass,22.725100385496624,8448.807562695574,1056.1009453369468,227.25098077603616,66.15039576799609,2768,3.6134393063583814,1921536,254552539648,tp8_ep8_dpa_on_c192_yihou,
224,8,28,pass,24.21575831020018,9250.174912162323,1156.2718640202904,242.1573626450263,54.67262114502955,2768,3.6134393063583814,2241792,255003353088,tp8_ep8_dpa_on_c224_yihou,
256,8,32,pass,26.251939422101714,9751.660472920015,1218.957559115002,262.51926388201537,54.364337546983734,2768,3.6134393063583814,2562048,255453225472,tp8_ep8_dpa_on_c256_yihou,
288,8,36,pass,28.91812167810276,9959.15306000244,1244.894132500305,289.1811864929623,54.43470963800792,2768,3.6134393063583814,2882304,255903830016,tp8_ep8_dpa_on_c288_yihou,
320,8,40,pass,30.771934552298625,10399.086201621223,1299.885775202653,307.71934552298626,53.90197192999767,2768,3.6134393063583814,3202560,256355343360,tp8_ep8_dpa_on_c320_yihou,
