round,date,model,topology,transport,kvaware,kvd,metric,value,expected,verdict,evidence
r0_static,2026-07-30,GLM-5.2-MXFP4,n/a (arg parse only),n/a,n/a,n/a,arg_combos_ok,5/8,5 OK / 3 FAIL,PASS,../results/support_matrix.md
r0_static,2026-07-30,GLM-5.2-MXFP4,n/a,n/a,n/a,n/a,decode_leg_needs_kvaware_for_kvd,true,true,PASS,../results/support_matrix.md
r1_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,mooncake RDMA,on,on,legs_ready,0/2,2/2,FAIL,./step0_mvp_rounds.md
r1_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,mooncake RDMA,on,on,hicache_host_alloc_gb_per_rank,354.94,<=16,FAIL,./step0_mvp_rounds.md
r2_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,mooncake RDMA,on,on,hicache_host_alloc_gb_per_rank,8.00,<=16,PASS,./step0_mvp_rounds.md
r2_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,mooncake RDMA,on,on,legs_ready,1/2,2/2,FAIL,./step0_mvp_rounds.md
r2_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,mooncake RDMA,on,on,kv_events_port_collision,both=32764,distinct,FAIL,../patches/0001-note.md
r3_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,mooncake RDMA,on,on,legs_ready,2/2,2/2,PASS,./step0_mvp_rounds.md
r3_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,mooncake RDMA,on,on,kv_events_ports,17213/31215,distinct,PASS,../patches/0001-note.md
r3_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,mooncake RDMA,on,on,kv_transfer,failed,ok,FAIL,./step0_mvp_rounds.md
r4_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,MC_FORCE_TCP,on,on,correctness,garbled,coherent,FAIL,./step0_mvp_rounds.md
r5_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,MC_FORCE_TCP,off,off,correctness,garbled,coherent,FAIL,./step0_mvp_rounds.md
r5_mvp,2026-07-30,Qwen3-1.7B,1P1D TP4+TP4 single-node,MC_FORCE_TCP,n/a,n/a,differential_verdict,garbling_not_caused_by_features,attributable,PASS,./step0_mvp_rounds.md
baseline,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,off,off,correctness,4/4,>=3/4,PASS,../results/baseline_probe_4of4.txt
baseline,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,off,off,mc_force_tcp_hits,0,0,PASS,../results/transport_was_real_rdma.txt
baseline,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,off,off,rdma_rails_active,8,8,PASS,../results/transport_was_real_rdma.txt
baseline,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,off,off,kv_events_endpoint,null,null,PASS,../results/pd_dpa_flags_verified.txt
step1,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,correctness,4/4,>=3/4,PASS,../results/step1_kvaware_kvd_4of4.txt
step1,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_ranks_connected_per_leg,8,8,PASS,../results/step1_kvaware_kvd_4of4.txt
step1,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kv_plane_up,1,1,PASS,../results/step1_kvaware_kvd_4of4.txt
