Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3026.88,0.00,5439842.54,,,,,,78.77,,1732.78,3415.93,89787.13,15994.38
Active Decode Throughput Per User (tokens/sec/user),59.37,0.00,92486.84,,,,,,1.36,,47.25,85.64,1736.74,320.85
Active Prefill Throughput (tokens/sec),372178.95,1015.73,902740.30,,,,,,375239.50,,449264.64,477827.85,548799.36,76140.80
Active Prefill Throughput Per User (tokens/sec/user),2737.08,903.20,105795.92,,,,,,1629.67,,2297.42,11719.11,23698.34,4659.97
Active Total Throughput (tokens/sec),374828.92,69.83,3426473.57,,,,,,378418.13,,452581.21,481151.69,551618.88,77231.86
Credit-to-Start Latency (ms),2.57,0.27,275.62,29481.09,0.48,0.62,0.68,0.81,0.98,1.39,2.56,6.32,44.88,9.38
Decode Duration (ms),18068.16,0.00,1035377.98,207259865.08,4.32,64.77,145.38,1739.72,8401.29,18269.70,41867.09,70156.99,169858.05,37374.31
E2E Output Token Throughput (tokens/sec/user),12.70,0.00,106.59,145643.07,0.14,0.75,1.32,2.91,6.84,16.85,33.86,45.76,63.26,14.50
Effective Concurrency,279.14,0.00,351.00,,,,,,304.00,,332.00,337.00,345.00,74.33
Effective Decode Concurrency,56.94,0.00,106.00,,,,,,57.00,,82.00,88.00,99.00,19.79
Effective Decode Throughput (tokens/sec),3013.77,0.00,5439842.54,,,,,,78.45,,1718.55,3390.49,89745.77,15960.94
Effective Decode Throughput Per User (tokens/sec/user),59.11,0.00,92486.84,,,,,,1.35,,46.87,85.42,1734.38,320.18
Effective Latency (CO-aware) (ms),88579.42,501.81,1074208.68,1016094553.60,3939.56,7388.80,18014.64,46307.71,74512.13,113163.87,167962.63,215998.67,321617.29,68072.89
Effective Prefill Concurrency,222.20,0.00,311.00,,,,,,246.00,,284.00,291.00,300.00,72.56
Effective Prefill Throughput (tokens/sec),370691.44,0.00,902740.30,,,,,,375123.61,,449185.12,477827.85,547715.57,79533.99
Effective Prefill Throughput Per User (tokens/sec/user),2726.14,0.00,105795.92,,,,,,1626.73,,2293.66,11695.88,23622.78,4653.86
Effective Total Throughput (tokens/sec),373705.25,0.00,3426473.57,,,,,,378309.16,,452401.73,480671.82,550660.89,79792.22
Full Decode Duration (ms),18069.18,0.02,1035378.28,207271555.30,7.47,65.52,146.09,1742.71,8401.81,18270.09,41867.97,70158.28,169858.98,37374.24
Full-Response Inter Token Latency (ms),19.86,0.00,1429.87,227721.36,0.35,0.71,1.10,8.18,17.05,23.95,35.44,49.16,97.52,30.89
Full-Response Output Token Throughput Per User (tokens/sec/user),652.89,0.70,613172.05,7485393.61,10.25,20.34,28.22,41.76,58.65,122.27,909.56,1398.88,2823.96,11076.43
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,257.16,1.00,16170.00,2949829.00,4.00,19.00,30.00,49.00,112.00,253.00,583.00,963.50,2308.50,537.59
HTTP Chunks Sent,1.00,1.00,1.00,11471.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.12,0.00,212.02,1428.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,2.76
HTTP Connection Overhead (ms),0.12,0.00,212.02,1428.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,2.76
HTTP Connection Reused (ratio),0.96,0.00,1.00,11058.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.19
HTTP Data Received (KB),66.12,1.01,4138.85,758442.27,1.53,6.12,8.26,13.16,28.87,64.81,148.57,244.88,590.82,137.59
HTTP Data Sent (KB),458.32,0.61,3307.56,5257373.77,4.11,12.01,99.06,168.53,310.75,544.83,984.66,1477.24,2440.60,481.69
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),88576.78,498.30,1074207.63,1016064264.31,3938.81,7387.90,18013.79,46306.05,74511.21,113155.20,167961.50,215997.04,321616.45,68071.88
HTTP Receiving (ms),18068.84,0.00,1035378.03,207267712.07,5.43,64.85,145.75,1742.46,8401.32,18269.76,41867.13,70157.04,169858.72,37374.14
HTTP Sending (ms),0.33,0.05,212.43,3767.53,0.08,0.14,0.15,0.16,0.19,0.22,0.25,0.35,0.90,2.85
HTTP Total Time (ms),88576.91,498.30,1074207.63,1016065693.22,3938.81,7387.90,18013.79,46306.05,74511.21,113155.20,167961.50,215997.04,321616.45,68071.95
