Series,RunID,Shape,GPUs,Concurrency,TotalTokensPerSecondPerGPU,OutputTokensPerSecondPerGPU,TTFTp50Seconds,TTFTp90Seconds,FullResponseITLp50Ms,FullResponseITLp90Ms,UsageCacheHitPct,TheoreticalCacheHitPct,ClientEffectiveDecodeMean,DecodeMetric,AggregateSource,ProfileSource
TileLang,2p1d-20260921T151735Z,2P1D,24,80,14821.960181249999,115.93684791666668,3.2185,7.93997,15.559999999999999,22.11,95.95,96.60300000000001,42.84,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c080/agentx_conc80.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c080/profile_export_aiperf.csv
TileLang,2p1d-20260921T151735Z,2P1D,24,112,16886.233509583333,136.83368041666668,4.8381,11.57939,17.85,26.419999999999998,95.72,96.506,57.83,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c112/agentx_conc112.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c112/profile_export_aiperf.csv
TileLang,2p1d-20260921T151735Z,2P1D,24,144,18356.227202083333,152.81135333333333,8.97637,22.99781,18.11,30.93,94.95,96.453,68.4,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c144/agentx_conc144.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c144/profile_export_aiperf.csv
TileLang,2p1d-20260921T151735Z,2P1D,24,192,17504.510095,139.45613291666666,29.40807,66.61703,16.369999999999997,36.720000000000006,93.09,96.47200000000001,62.56,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c192/agentx_conc192.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c192/profile_export_aiperf.csv
TileLang,2p1d-20260921T151735Z,2P1D,24,256,14346.408924583333,115.36430250000001,68.22091,168.18561,17.13,28.84,89.15,96.272,48.94,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c256/agentx_conc256.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c256/profile_export_aiperf.csv
Triton DSA,2p1d-triton-dsa-20260922T124849Z,2P1D,24,80,14975.267436249998,115.51080375,2.41466,6.37717,16.02,23.150000000000002,96.08,96.615,43.86,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c080/agentx_conc80.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c080/profile_export_aiperf.csv
Triton DSA,2p1d-triton-dsa-20260922T124849Z,2P1D,24,112,17581.16330041667,140.51682541666665,4.1551,9.52925,17.52,27.400000000000002,95.77,96.568,58.51,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c112/agentx_conc112.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c112/profile_export_aiperf.csv
Triton DSA,2p1d-triton-dsa-20260922T124849Z,2P1D,24,144,18519.347287916666,154.14666208333333,10.48102,22.48036,16.830000000000002,32.0,95.06,96.453,67.16,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c144/agentx_conc144.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c144/profile_export_aiperf.csv
Triton DSA,2p1d-triton-dsa-20260922T124849Z,2P1D,24,192,18806.705405,149.43856375,26.45807,50.77665,16.47,36.55,93.13,96.5,68.42,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c192/agentx_conc192.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c192/profile_export_aiperf.csv
Triton DSA,2p1d-triton-dsa-20260922T124849Z,2P1D,24,256,15618.004439999999,126.08574166666666,60.13096,137.23565,17.05,35.44,88.37,96.251,56.94,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c256/agentx_conc256.json,/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c256/profile_export_aiperf.csv
