Shape,ConcurrencySessionTrees,GPUs,ClientEffectiveTotal,ClientPreFirstToken,ClientEffectiveDecode,ServerDecodeRunning,MeanTTFTSeconds,P50TTFTSeconds,P90TTFTSeconds,MeanDecodeSeconds,MeanISL,MeanOSL,UsageCacheHitPct,TheoreticalCacheHitPct,APIUncachedTokensPerSecond,CompletedRequests,CompletedRequestsPerSecond,TotalTokensPerSecond,OutputTokensPerSecond,Source
1P1D,80,16,63.99,26.27,37.72,,10.08426,5.69374,22.1236,14.47836,118523.04,965.44,94.81433308689263,96.44500000000001,16059.440595462467,9483,2.612901444870575,312211.61006,2522.5986,yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c080/profile_export_aiperf.csv
1P1D,112,16,103.84,64.95,38.88,,24.794,11.30104,64.46986,14.84224,114842.03,951.86,93.1929068353405,96.44800000000001,20538.073956955897,9536,2.627224380668701,304216.53356,2500.7578,yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c112/profile_export_aiperf.csv
1P1D,144,16,182.51,156.76,25.75,,83.15507000000001,52.451980000000006,209.33114,13.660020000000001,105248.01,959.75,88.29504280872806,95.84700000000001,23300.342558471122,6862,1.8913791171370833,200879.14011,1815.25456,yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c144/profile_export_aiperf.csv
1P1D,192,16,238.26,215.88,12.74,,181.1046,132.82344,443.82709,10.690040000000002,98205.96,958.22,80.1315909431235,95.526,23325.843449995133,4339,1.1954638036428082,118547.17922,1145.51221,yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c192/profile_export_aiperf.csv
1P1D,256,16,278.71,240.08,8.86,,238.83291,159.51144,510.11992,8.81931,83648.92,874.42,75.67459781378335,94.765,20525.76132316853,3659,1.0087392020140686,85262.00764,882.06124,yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c256/profile_export_aiperf.csv
2P1D,80,24,55.62,12.78,42.84,43.046,4.40879,3.2185,7.939970000000001,14.78108,121313.56,956.39,95.94927023301295,96.60300000000001,14296.830367002985,10551,2.90935783573491,355727.04435,2782.48435,yaocheng/2p1d-sweep/results/c080/profile_export_aiperf.csv
2P1D,112,24,79.9,22.07,57.83,58.6348,6.602930000000001,4.838100000000001,11.57939,17.302919999999997,119912.68,979.62,95.71557431443915,96.506,17222.77410696315,12166,3.352319200196047,405269.60423,3284.00833,yaocheng/2p1d-sweep/results/c112/profile_export_aiperf.csv
2P1D,144,24,112.51,44.11,68.4,69.245,12.039100000000001,8.976370000000001,22.99781,18.66779,118904.58,998.16,94.94522564801406,96.453,22083.398270004167,13337,3.6742233818666645,440549.45285,3667.47248,yaocheng/2p1d-sweep/results/c144/profile_export_aiperf.csv
2P1D,192,24,184.22,121.66,62.56,62.3943,35.74797,29.40807,66.61703,18.383490000000002,122020.85,979.93,93.08519796727465,96.47200000000001,28818.218503871743,12388,3.415492498068412,420108.24228,3346.94719,yaocheng/2p1d-sweep/results/c192/profile_export_aiperf.csv
2P1D,256,24,286.57,237.63,48.94,48.8695,82.27633,68.22091,168.18561,16.9455,117929.49,956.0,89.15163267267823,96.272,37052.06391093633,10513,2.8961804382838094,344313.81419,2768.74326,yaocheng/2p1d-sweep/results/c256/profile_export_aiperf.csv
