Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3671.00,0.00,4414426.26,,,,,,107.20,,2534.50,4820.19,96480.21,17660.60
Active Decode Throughput Per User (tokens/sec/user),56.19,0.00,98943.91,,,,,,1.49,,52.84,107.14,1411.69,263.98
Active Prefill Throughput (tokens/sec),437898.00,4827.52,1020060.91,,,,,,446307.41,,643431.39,691112.04,790702.23,161610.20
Active Prefill Throughput Per User (tokens/sec/user),11655.00,1980.77,124573.17,,,,,,10420.08,,18279.60,22038.30,36349.87,6354.55
Active Total Throughput (tokens/sec),440545.77,55.93,3582788.57,,,,,,450019.79,,646539.88,694689.51,793628.65,162930.65
Credit-to-Start Latency (ms),2.16,0.28,132.09,28836.26,0.55,0.71,0.80,0.94,1.14,1.58,2.54,3.97,25.24,6.42
Decode Duration (ms),18667.02,0.00,1102843.17,248962067.73,10.14,103.94,261.57,2047.72,8841.68,19313.68,42647.74,71586.32,169779.29,37310.88
E2E Output Token Throughput (tokens/sec/user),27.37,0.04,111.62,365095.24,0.98,4.46,7.57,14.51,25.84,37.94,47.13,54.57,80.03,16.50
Effective Concurrency,112.51,0.00,193.00,,,,,,110.00,,160.00,169.00,181.00,34.24
Effective Decode Concurrency,68.40,0.00,124.00,,,,,,69.00,,94.00,100.00,112.00,20.25
Effective Decode Throughput (tokens/sec),3653.59,0.00,4414426.26,,,,,,106.64,,2514.43,4792.81,96435.10,17620.48
Effective Decode Throughput Per User (tokens/sec/user),55.93,0.00,98943.91,,,,,,1.48,,52.62,106.38,1410.34,263.38
Effective Latency (CO-aware) (ms),30708.47,431.64,1104927.20,409558814.20,3171.81,5661.21,7649.96,12163.75,19973.83,34314.22,60065.22,88270.89,191179.53,40108.28
Effective Prefill Concurrency,44.11,0.00,129.00,,,,,,42.00,,72.00,83.00,115.00,21.67
Effective Prefill Throughput (tokens/sec),435667.48,0.00,1020060.91,,,,,,445639.45,,642945.17,690956.43,790406.85,164184.60
