Point,Concurrency,Endpoint,DPRank,MeanRunningRequests
c080,80,10.245.154.168:29003,0,5.2821
c080,80,10.245.154.168:29003,1,5.711
c080,80,10.245.154.168:29003,2,5.3905
c080,80,10.245.154.168:29003,3,5.0631
c080,80,10.245.154.168:29003,4,4.8089
c080,80,10.245.154.168:29003,5,5.0778
c080,80,10.245.154.168:29003,6,6.2332
c080,80,10.245.154.168:29003,7,5.4794
c112,112,10.245.154.168:29003,0,6.0002
c112,112,10.245.154.168:29003,1,8.2165
c112,112,10.245.154.168:29003,2,7.3358
c112,112,10.245.154.168:29003,3,8.1395
c112,112,10.245.154.168:29003,4,6.9202
c112,112,10.245.154.168:29003,5,7.7056
c112,112,10.245.154.168:29003,6,7.0256
c112,112,10.245.154.168:29003,7,7.2914
c144,144,10.245.154.168:29003,0,8.9953
c144,144,10.245.154.168:29003,1,8.0214
c144,144,10.245.154.168:29003,2,9.1454
c144,144,10.245.154.168:29003,3,6.9021
c144,144,10.245.154.168:29003,4,10.2632
c144,144,10.245.154.168:29003,5,9.7125
c144,144,10.245.154.168:29003,6,7.9408
c144,144,10.245.154.168:29003,7,8.2643
c192,192,10.245.154.168:29003,0,8.3316
c192,192,10.245.154.168:29003,1,6.464
c192,192,10.245.154.168:29003,2,8.1081
c192,192,10.245.154.168:29003,3,6.934
c192,192,10.245.154.168:29003,4,8.107
c192,192,10.245.154.168:29003,5,6.8378
c192,192,10.245.154.168:29003,6,9.1509
c192,192,10.245.154.168:29003,7,8.4609
c256,256,10.245.154.168:29003,0,6.8282
c256,256,10.245.154.168:29003,1,7.934
c256,256,10.245.154.168:29003,2,5.4102
c256,256,10.245.154.168:29003,3,6.2394
c256,256,10.245.154.168:29003,4,6.139
c256,256,10.245.154.168:29003,5,6.2465
c256,256,10.245.154.168:29003,6,5.5814
c256,256,10.245.154.168:29003,7,4.4908
