Shape,GPUs,Concurrency,TotalTokensPerSecondPerGPU,OutputTokensPerSecondPerGPU,TTFTp50Seconds,TTFTp90Seconds,FullResponseITLp50Ms,FullResponseITLp90Ms,UsageCacheHitPct,TheoreticalCacheHitPct,ClientEffectiveDecodeMean,DecodeMetric,AggregateSource
2P1D,24,80,14821.960181249999,115.93684791666668,3.2185,7.93997,15.559999999999999,22.11,95.95,96.60300000000001,42.84,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c080/agentx_conc80.json
2P1D,24,112,16886.233509583333,136.83368041666668,4.8381,11.57939,17.85,26.419999999999998,95.72,96.506,57.83,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c112/agentx_conc112.json
2P1D,24,144,18356.227202083333,152.81135333333333,8.97637,22.99781,18.11,30.93,94.95,96.453,68.4,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c144/agentx_conc144.json
2P1D,24,192,17504.510095,139.45613291666666,29.40807,66.61703,16.369999999999997,36.720000000000006,93.09,96.47200000000001,62.56,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c192/agentx_conc192.json
2P1D,24,256,14346.408924583333,115.36430250000001,68.22091,168.18561,17.13,28.84,89.15,96.272,48.94,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yaocheng/2p1d-sweep/results/c256/agentx_conc256.json
1P1D,16,80,19513.22562875,157.6624125,5.69374,22.1236,14.89,21.28,94.81,96.44500000000001,37.72,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c080/agentx_conc80.json
1P1D,16,112,19013.5333475,156.2973625,11.30104,64.46986,15.92,21.75,93.19,96.44800000000001,38.88,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c112/agentx_conc112.json
1P1D,16,144,12554.946256875,113.45341,52.45198,209.33114,14.4,19.88,88.3,95.84700000000001,25.75,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c144/agentx_conc144.json
1P1D,16,192,7409.19870125,71.594513125,132.82344,443.82709,11.23,15.75,80.13,95.526,12.74,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c192/agentx_conc192.json
1P1D,16,256,5328.8754775,55.1288275,159.51144,510.11992,10.18,13.82,75.67,94.765,8.86,AIPerf Effective Decode Concurrency (client mean),/shared_nfs/yaoc/work/GLM-5.2-pd-opt/Infera-isl-debug/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c256/agentx_conc256.json
