# InferenceX data: https://github.com/SemiAnalysisAI/InferenceX, Copyright 2026 SemiAnalysis LLC, Apache License 2.0; rows with Source=InferenceX are derived from it.
Series,Source,Hardware,Framework,Precision,SpecDecoding,Topology,Chips,Concurrency,P90Interactivity,TokenThroughputPerChip,InputThroughputPerChip,OutputThroughputPerChip,P90ITLSeconds,MedianInteractivity,OnParetoFrontier,Reference,Provenance
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,1,273.224043715847,2351.98952,2334.6771,17.31242,0.00366,282.4858757062147,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,4,254.45292620865138,3675.40267,3649.34443,26.05824,0.00393,282.4858757062147,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,8,194.17475728155338,6829.25675,6778.74551,50.51123,0.00515,259.0673575129534,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,12,167.22408026755852,8054.95093,7992.22679,62.72414,0.00598,236.96682464454977,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,16,126.26262626262627,12918.37789,12834.49365,83.88424,0.00792,204.91803278688525,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,20,98.61932938856016,15644.34753,15538.02295,106.32458,0.01014,171.8213058419244,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,24,85.83690987124463,18414.84464,18297.02036,117.82428,0.01165,150.15015015015015,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,28,51.22950819672131,18307.16163,18185.01687,122.14475,0.01952,121.35922330097087,False,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,32,46.468401486988846,16922.02249,16810.00624,112.01625,0.02152,91.15770282588878,False,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,40,31.9693094629156,13766.73125,13662.86078,103.87047,0.03128,68.25938566552901,False,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B300 SGLang (InferenceX),InferenceX,b300,sglang,fp4,mtp,TP8,8,48,16.534391534391535,8661.60152,8600.16949,61.43202,0.06048,58.892815076560666,False,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1
B200 SGLang (InferenceX),InferenceX,b200,sglang,fp4,mtp,TP8,8,1,301.2048192771084,2507.1772,2488.83044,18.34676,0.00332,318.47133757961785,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
B200 SGLang (InferenceX),InferenceX,b200,sglang,fp4,mtp,TP8,8,4,259.7402597402597,3894.73934,3867.23738,27.50196,0.00385,310.5590062111801,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
B200 SGLang (InferenceX),InferenceX,b200,sglang,fp4,mtp,TP8,8,8,196.85039370078738,6923.88665,6872.81309,51.07356,0.00508,263.85224274406335,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
B200 SGLang (InferenceX),InferenceX,b200,sglang,fp4,mtp,TP8,8,12,149.2537313432836,8083.82318,8020.75293,63.07025,0.0067,233.6448598130841,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
B200 SGLang (InferenceX),InferenceX,b200,sglang,fp4,mtp,TP8,8,16,95.69377990430623,11262.71714,11184.35039,78.36675,0.01045,188.67924528301887,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
MI355X ATOM (InferenceX),InferenceX,mi355x,atom,fp4,mtp,TP8,8,1,229.8850574712644,2142.82095,2126.86195,15.959,0.00435,239.23444976076556,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3
MI355X ATOM (InferenceX),InferenceX,mi355x,atom,fp4,mtp,TP8,8,2,220.26431718061676,2368.92064,2348.98956,19.93108,0.00454,251.8891687657431,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3
MI355X ATOM (InferenceX),InferenceX,mi355x,atom,fp4,mtp,TP8,8,4,199.60079840319364,3562.77923,3537.14829,25.63094,0.00501,245.70024570024572,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3
