# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Token Throughput per Chip (tok/s/chip),P90 Interactivity (tok/s/user),Throughput/Chip (tok/s),Output Throughput/Chip (tok/s),Input Throughput/Chip (tok/s),Mean TTFT (s),Median TTFT (s),P99 TTFT (s),Std TTFT (s),Mean TPOT (s),Median TPOT (s),P99 TPOT (s),Std TPOT (s),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (s),Median ITL (s),P99 ITL (s),Std ITL (s),Mean E2E Latency (s),Median E2E Latency (s),P99 E2E Latency (s),Std E2E Latency (s),Disaggregated,Num Prefill Chips,Num Decode Chips,Spec Decoding,EP,DP Attention,Is Multinode,Run URL,Physical Chips,DP
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,1,2026-09-22,2351.98952,273.224043715847,2351.98952,17.31242,2334.6771,0.84836,0.76937,,0.68327,0.00363,0.00354,,0.00052,275.4820936639118,282.4858757062147,,18.60357,0.00363,0.00354,,0.00052,7.70943,3.63029,,9.45046,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,4,2026-09-22,3675.40267,254.45292620865138,3675.40267,26.05824,3649.34443,0.58238,0.35399,,0.63724,0.00378,0.00354,,0.00225,264.55026455026456,282.4858757062147,,75.94742,0.00378,0.00354,,0.00225,5.25492,1.97373,,8.2448,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,8,2026-09-22,6829.25675,194.17475728155338,6829.25675,50.51123,6778.74551,0.58815,0.36526,,0.65549,0.00426,0.00386,,0.00154,234.7417840375587,259.0673575129534,,1002.36784,0.00426,0.00386,,0.00154,5.11503,2.43936,,7.59641,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,12,2026-09-22,8054.95093,167.22408026755852,8054.95093,62.72414,7992.22679,0.64142,0.37899,,0.97632,0.00543,0.00422,,0.01874,184.1620626151013,236.96682464454977,,718.14208,0.00543,0.00422,,0.01874,5.57501,2.27732,,10.05624,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,16,2026-09-22,12918.37789,126.26262626262627,12918.37789,83.88424,12834.49365,0.88562,0.46362,,1.49177,0.00595,0.00488,,0.01088,168.0672268907563,204.91803278688525,,1045.82502,0.00595,0.00488,,0.01088,6.1083,2.77823,,10.83139,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,20,2026-09-22,15644.34753,98.61932938856016,15644.34753,106.32458,15538.02295,0.91086,0.51932,,1.28926,0.00714,0.00582,,0.01389,140.0560224089636,171.8213058419244,,647.60329,0.00714,0.00582,,0.01389,7.67938,3.34342,,12.01756,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,24,2026-09-22,18414.84464,85.83690987124463,18414.84464,117.82428,18297.02036,1.15478,0.60229,,1.81853,0.00874,0.00666,,0.02128,114.41647597254006,150.15015015015015,,848.85545,0.00874,0.00666,,0.02128,8.81594,3.67328,,14.71917,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,28,2026-09-22,18307.16163,51.22950819672131,18307.16163,122.14475,18185.01687,2.32829,1.04339,,3.15274,0.01107,0.00824,,0.01317,90.3342366757001,121.35922330097087,,614.29736,0.01107,0.00824,,0.01317,12.79292,6.17492,,20.68876,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,32,2026-09-22,16922.02249,46.468401486988846,16922.02249,112.01625,16810.00624,6.12306,3.51312,,7.4682,0.01404,0.01097,,0.02613,71.22507122507122,91.15770282588878,,373.76872,0.01404,0.01097,,0.02613,19.04613,11.81959,,26.00945,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,40,2026-09-22,13766.73125,31.9693094629156,13766.73125,103.87047,13662.86078,16.93001,15.31223,,13.73338,0.01874,0.01465,,0.02325,53.36179295624333,68.25938566552901,,167.22264,0.01874,0.01465,,0.02325,34.60697,25.576,,36.92958,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b300,b300_sglang,sglang,fp4,8,48,2026-09-22,8661.60152,16.534391534391535,8661.60152,61.43202,8600.16949,55.39382,45.06276,,50.44483,0.03079,0.01698,,0.08467,32.478077297823965,58.892815076560666,,151.95896,0.03079,0.01698,,0.08467,80.7032,61.22176,,82.48905,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34528653758/attempts/1,8,
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,1,2026-09-22,2507.1772,301.2048192771084,2507.1772,18.34676,2488.83044,0.83364,0.72885,,0.65279,0.00321,0.00314,,0.0004,311.5264797507788,318.47133757961785,,23.60842,0.00321,0.00314,,0.0004,7.08463,3.38072,,8.47219,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1,8,
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,4,2026-09-22,3894.73934,259.7402597402597,3894.73934,27.50196,3867.23738,0.62781,0.38874,,0.77251,0.00351,0.00322,,0.00242,284.09090909090907,310.5590062111801,,1313.83696,0.00352,0.00322,,0.00242,4.99264,2.00248,,7.67609,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1,8,
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,8,2026-09-22,6923.88665,196.85039370078738,6923.88665,51.07356,6872.81309,0.64006,0.36589,,1.18503,0.00414,0.00379,,0.00163,241.5458937198068,263.85224274406335,,494.59716,0.00414,0.00379,,0.00163,5.05859,2.37432,,7.50568,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1,8,
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,12,2026-09-22,8083.82318,149.2537313432836,8083.82318,63.07025,8020.75293,0.75522,0.41277,,1.14282,0.00571,0.00428,,0.02152,175.13134851138355,233.6448598130841,,821.48306,0.00571,0.00428,,0.02152,5.83197,2.50597,,10.23683,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1,8,
GLM-5.2,,,b200,b200_sglang,sglang,fp4,8,16,2026-09-22,11262.71714,95.69377990430623,11262.71714,78.36675,11184.35039,2.04632,0.5588,,3.28525,0.00698,0.0053,,0.00842,143.26647564469914,188.67924528301887,,890.19022,0.00698,0.0053,,0.00842,8.12728,3.69094,,13.21382,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1,8,
