accept len: 4.53, accept rate: 0.70
accept len: 3.04, accept rate: 0.41
accept len: 2.60, accept rate: 0.32
accept len: 2.34, accept rate: 0.27
accept len: 4.21, accept rate: 0.64
accept len: 2.78, accept rate: 0.36
accept len: 2.57, accept rate: 0.31
accept len: 2.31, accept rate: 0.26
accept len: 4.16, accept rate: 0.63
accept len: 2.53, accept rate: 0.31
accept len: 2.58, accept rate: 0.32
accept len: 2.43, accept rate: 0.29
accept len: 3.34, accept rate: 0.47
accept len: 2.25, accept rate: 0.25
accept len: 2.87, accept rate: 0.37
accept len: 1.95, accept rate: 0.19
accept len: 3.58, accept rate: 0.52
accept len: 2.15, accept rate: 0.23
accept len: 2.92, accept rate: 0.38
accept len: 2.75, accept rate: 0.35
accept len: 3.66, accept rate: 0.53
accept len: 2.62, accept rate: 0.32
accept len: 2.65, accept rate: 0.33
accept len: 3.24, accept rate: 0.45
accept len: 2.67, accept rate: 0.33
accept len: 3.37, accept rate: 0.47
accept len: 2.77, accept rate: 0.35
accept len: 3.20, accept rate: 0.44
accept len: 2.99, accept rate: 0.40
accept len: 2.46, accept rate: 0.29
accept len: 2.98, accept rate: 0.40
accept len: 2.53, accept rate: 0.31
accept len: 2.29, accept rate: 0.26
accept len: 3.51, accept rate: 0.50
accept len: 2.29, accept rate: 0.26
accept len: 2.33, accept rate: 0.27
accept len: 4.50, accept rate: 0.70
accept len: 2.46, accept rate: 0.29
accept len: 3.29, accept rate: 0.46
accept len: 2.77, accept rate: 0.35
