accept len: 2.14, accept rate: 0.23
accept len: 1.14, accept rate: 0.03
accept len: 3.08, accept rate: 0.42
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 2.96, accept rate: 0.39
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 2.81, accept rate: 0.36
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
