accept len: 3.53, accept rate: 0.51
accept len: 2.38, accept rate: 0.28
accept len: 1.66, accept rate: 0.13
accept len: 2.83, accept rate: 0.36
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 2.58, accept rate: 0.32
accept len: 3.26, accept rate: 0.45
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 2.73, accept rate: 0.34
accept len: 2.51, accept rate: 0.30
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 3.65, accept rate: 0.53
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
accept len: 1.00, accept rate: 0.00
