Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),1817.49,0.00,2034178.43,,,,,,328.59,,2286.69,2836.52,60925.72,8565.40
Active Decode Throughput Per User (tokens/sec/user),78.50,0.00,104030.22,,,,,,13.33,,104.28,133.68,2000.47,366.76
Active Prefill Throughput (tokens/sec),199408.47,2784.49,558804.15,,,,,,193564.87,,279799.62,321288.79,392241.21,66767.89
Active Prefill Throughput Per User (tokens/sec/user),1673.98,463.03,11813.44,,,,,,1215.71,,3042.70,4966.92,7910.59,1474.20
Active Total Throughput (tokens/sec),200877.24,85.00,823877.69,,,,,,195366.87,,282117.65,323333.93,394625.39,67508.92
Credit-to-Start Latency (ms),2.33,0.30,284.95,15971.84,0.51,0.63,0.70,0.82,1.00,1.43,2.35,3.89,37.66,9.15
Decode Duration (ms),13658.94,0.00,671849.12,93727657.21,9.89,277.25,1166.87,2653.14,5988.78,14136.15,30736.40,51552.62,118302.66,27102.60
E2E Output Token Throughput (tokens/sec/user),15.04,0.00,112.78,103230.29,0.11,0.59,1.09,2.85,8.04,21.27,40.25,51.32,73.71,17.09
Effective Concurrency,182.51,0.00,248.00,,,,,,197.00,,229.00,234.00,243.00,52.25
Effective Decode Concurrency,25.75,0.00,69.00,,,,,,25.00,,42.00,46.00,56.00,12.34
Effective Decode Throughput (tokens/sec),1807.39,0.00,2034178.43,,,,,,323.30,,2279.95,2830.65,60734.42,8542.64
Effective Decode Throughput Per User (tokens/sec/user),78.06,0.00,104030.22,,,,,,13.26,,104.16,133.27,1992.65,365.79
Effective Latency (CO-aware) (ms),96816.85,1339.59,678126.85,664357232.65,4859.24,8749.35,13136.89,28442.15,66711.33,138383.81,228842.28,285924.75,371483.74,90126.84
Effective Prefill Concurrency,156.76,0.00,237.00,,,,,,169.00,,210.00,219.00,231.00,53.29
Effective Prefill Throughput (tokens/sec),198409.73,0.00,558804.15,,,,,,193397.82,,279642.79,320764.56,391811.06,68071.90
Effective Prefill Throughput Per User (tokens/sec/user),1665.60,0.00,11813.44,,,,,,1211.05,,3035.50,4961.56,7897.22,1475.24
Effective Total Throughput (tokens/sec),200217.12,0.00,823877.69,,,,,,195215.11,,281920.97,323111.65,393772.84,68371.37
Full Decode Duration (ms),13660.02,0.02,671849.45,93735030.29,10.95,282.44,1167.40,2653.54,5989.11,14137.20,30736.91,51555.16,118303.85,27102.50
Full-Response Inter Token Latency (ms),14.91,0.00,319.00,102239.91,0.44,5.32,9.13,11.57,14.40,17.30,19.88,23.02,40.26,9.27
Full-Response Output Token Throughput Per User (tokens/sec/user),214.57,3.13,251093.58,1471490.99,24.84,43.43,50.31,57.79,69.44,86.40,109.55,187.95,2253.50,3822.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,262.27,1.00,16361.00,1799689.00,5.00,22.00,32.00,53.00,117.00,270.00,549.00,953.70,2324.73,561.97
HTTP Chunks Sent,1.00,1.00,1.00,6862.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,48.09,281.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.70
HTTP Connection Overhead (ms),0.04,0.00,48.09,281.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.70
HTTP Connection Reused (ratio),0.95,0.00,1.00,6531.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.21
HTTP Data Received (KB),66.88,1.04,4119.19,458940.80,1.54,6.23,8.44,13.86,29.95,69.01,140.37,240.25,591.88,142.04
HTTP Data Sent (KB),409.94,0.62,3689.94,2812986.44,2.87,11.48,17.69,128.70,255.11,483.50,954.90,1404.11,2619.94,482.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),96814.45,1317.98,678126.02,664340765.24,4858.44,8747.53,13135.60,28440.23,66707.48,138382.85,228838.73,285923.58,371482.00,90126.03
HTTP Receiving (ms),13660.18,0.00,671849.17,93736187.63,10.94,280.00,1166.87,2653.16,5988.82,14136.17,30736.42,51552.71,118302.69,27102.56
HTTP Sending (ms),0.24,0.05,48.52,1675.57,0.07,0.14,0.15,0.17,0.19,0.22,0.27,0.52,0.81,0.72
HTTP Total Time (ms),96814.49,1317.98,678126.02,664341047.18,4858.44,8747.53,13135.60,28440.23,66707.48,138382.85,228838.73,285923.58,371482.00,90126.04
HTTP Waiting (TTFB) (ms),83154.02,1181.40,568315.95,570602902.04,2672.90,4110.60,6603.05,18269.37,52451.65,120701.70,209331.05,264945.47,350925.15,84744.48
Input Sequence Length (tokens),105248.01,150.00,950583.00,722211834.00,726.61,2966.00,4629.00,33010.75,65436.00,124274.50,245585.20,361496.95,673587.84,123722.56
Inter Chunk Latency (ms),51.34,0.00,18554.20,93727657.21,0.00,0.67,0.93,1.40,2.27,45.23,69.14,184.52,821.05,203.62
Inter Token Latency (ms),14.84,0.00,319.00,101773.85,0.42,5.16,9.11,11.57,14.39,17.28,19.79,22.73,39.89,8.92
OSL Mismatch Diff % (%),-1.26,-99.96,0.00,-8618.04,-80.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.41
Output Sequence Length (tokens),959.75,1.00,59903.00,6585817.00,9.00,75.00,108.00,185.00,422.00,992.00,2027.40,3491.90,8538.85,2068.38
Output Token Count (tokens),959.75,1.00,59903.00,6585817.00,9.00,75.00,108.00,185.00,422.00,992.00,2027.40,3491.90,8538.85,2068.38
Output Token Throughput Per User (tokens/sec/user),226.68,3.13,591982.31,1553686.88,25.06,43.99,50.52,57.86,69.46,86.40,109.56,184.62,2355.88,7158.34
Prefill Throughput Per User (tokens/sec/user),4600.98,0.52,92937.94,31571896.10,10.62,39.48,126.93,414.44,1283.47,4304.27,13504.19,21502.67,45326.72,8699.61
Request Latency (ms),96814.01,1318.03,678126.03,664337757.59,4858.50,8747.41,13135.64,28440.29,66707.53,138382.85,228838.78,285923.63,371482.05,90126.10
Time to First Output Token (ms),83203.75,2464.76,649874.33,27374035.30,3232.54,5025.28,7478.63,19405.18,49047.51,120295.98,204967.04,257212.71,399938.26,90235.55
Time to First Token (ms),83155.07,1181.65,568316.96,570610100.38,2673.16,4110.89,6603.21,18269.60,52451.98,120701.97,209331.14,264945.74,350925.39,84744.57
Time to Second Token (ms),68.01,0.00,5912.05,466416.81,0.00,0.53,1.18,2.05,3.83,56.49,88.37,274.70,1092.31,239.92
Tokens In Flight (tokens),22164086.92,0.00,28752052.62,,,,,,24402343.82,,26961429.83,27281933.38,27772996.60,6603969.44
Usage Completion Tokens (tokens),959.75,1.00,59903.00,6585817.00,9.00,75.00,108.00,185.00,422.00,992.00,2027.40,3491.90,8538.85,2068.38
Usage Prompt Cache Read Tokens (tokens),117284.76,64.00,752640.00,637677248.00,9904.64,23744.00,25024.00,40320.00,75392.00,130816.00,259801.60,386252.80,675788.80,126770.59
Usage Prompt Tokens (tokens),105248.01,150.00,950583.00,722211834.00,726.61,2966.00,4629.00,33010.75,65436.00,124274.50,245585.20,361496.95,673587.84,123722.56
Usage Total Tokens (tokens),106207.76,169.00,959116.00,728797651.00,836.54,4011.00,5258.20,33566.75,66285.00,125626.25,246685.80,362268.20,677891.64,124048.72

Metric,Value
Benchmark Duration (sec),3628.04
Input Token Throughput (tokens/sec),198409.73
OSL Mismatch Count,109.00
Output Token Throughput (tokens/sec),1809.29
Overall Usage Prompt Cache Read % (%),88.30
Request Count,6862.00
Request Throughput (requests/sec),1.89
Theoretical Prefix Cache Hit (%),95.85
Total Input Sequence Length (tokens),722211834.00
Total Output Sequence Length (tokens),6585817.00
Total Output Tokens (tokens),6585817.00
Total Token Throughput (tokens/sec),200219.02
Total Usage Completion Tokens (tokens),6585817.00
Total Usage Prompt Cache Read Tokens (tokens),637677248.00
Total Usage Prompt Tokens (tokens),722211834.00
Total Usage Total Tokens (tokens),728797651.00
