# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from https://inferencex.semianalysis.com/.
# Official API snapshot retrieved 2026-09-17; latest benchmark 2026-09-17; 82 rows.
Model,Hardware,Framework,Precision,Disaggregated,Prefill GPUs,Decode GPUs,Prefill TP,Decode TP,Prefill EP,Decode EP,Prefill DPA,Decode DPA,Concurrency,Date,P90 Interactivity (tok/s/user),Token Throughput per Chip (tok/s/chip),Run URL
GLM-5.2,b200,dynamo-sglang,fp4,false,8,0,8,0,1,0,false,false,1,2026-09-15,303.951367781155,2608.79169,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34580793856/attempts/4
GLM-5.2,b200,dynamo-sglang,fp4,false,8,0,8,0,1,0,false,false,4,2026-09-15,259.7402597402597,3919.41303,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34580793856/attempts/4
GLM-5.2,b200,dynamo-sglang,fp4,false,8,0,8,0,1,0,false,false,8,2026-09-15,192.30769230769232,7220.87394,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34580793856/attempts/4
GLM-5.2,b200,dynamo-sglang,fp4,true,8,8,8,8,8,8,true,true,64,2026-09-15,85.9106529209622,17108.9974,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34580793856/attempts/4
GLM-5.2,b200,dynamo-sglang,fp4,true,8,16,8,4,8,1,true,false,48,2026-09-15,173.61111111111111,9357.11713,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34580793856/attempts/4
GLM-5.2,b200,sglang,fp4,false,8,0,8,0,1,0,false,false,1,2026-09-02,301.2048192771084,2507.1772,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,b200,sglang,fp4,false,8,0,8,0,1,0,false,false,4,2026-09-02,259.7402597402597,3894.73934,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,b200,sglang,fp4,false,8,0,8,0,1,0,false,false,8,2026-09-02,196.85039370078738,6923.88665,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,b200,sglang,fp4,false,8,0,8,0,1,0,false,false,12,2026-09-02,149.2537313432836,8083.82318,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,b200,sglang,fp4,false,8,0,8,0,1,0,false,false,16,2026-09-02,95.69377990430623,11262.71714,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33683520699/attempts/1
GLM-5.2,b200,sglang,fp8,false,8,0,8,0,1,0,false,false,1,2026-09-17,232.5581395348837,2309.90086,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35013710860/attempts/1
GLM-5.2,b200,sglang,fp8,false,8,0,8,0,1,0,false,false,4,2026-09-17,200,3430.7303,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35013710860/attempts/1
GLM-5.2,b200,sglang,fp8,false,8,0,8,0,1,0,false,false,8,2026-09-17,105.70824524312897,5285.59244,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35013710860/attempts/1
GLM-5.2,b200,sglang,fp8,false,8,0,8,0,1,0,false,false,12,2026-09-17,115.07479861910242,7164.14554,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35013710860/attempts/1
GLM-5.2,b200,sglang,fp8,false,8,0,8,0,1,0,false,false,16,2026-09-17,66.711140760507,8175.27834,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35013710860/attempts/1
